"","X","workerId","gender","age","ethnicity","education","job","income","political_party","political_beliefs","comments_pretest","eligible_pretest","duration_pretest","hb_1_pretest","hb_2_pretest","hb_3_pretest","hb_4_pretest","hb_check_5_pretest","nat_1_pretest","nat_2r_pretest","nat_3_pretest","nat_4_pretest","nat_5_pretest","nat_6r_pretest","medSkept_1_pretest","medSkept_2r_pretest","medSkept_3_pretest","medSkept_4_pretest","medSkept_5r_pretest","medSkept_6r_pretest","diseaseRare_1_pretest","diseaseRare_2_pretest","diseaseRare_3r_pretest","diseaseRare_4_pretest","diseaseRare_5r_pretest","diseaseSevere_1r_pretest","diseaseSevere_2_pretest","diseaseSevere_3_pretest","diseaseSevere_4r_pretest","diseaseSevere_5_pretest","vaccEff_1_pretest","vaccEff_2r_pretest","vaccEff_3r_pretest","vaccEff_4_pretest","vaccEff_check_1_pretest","vaccDanger_1_pretest","vaccDanger_2r_pretest","vaccDanger_3_pretest","vaccDanger_4r_pretest","vaccDanger_check_3_pretest","vaccTox_1r_pretest","vaccTox_2_pretest","vaccTox_3_pretest","vaccTox_4r_pretest","vaccTox_check_6_pretest","vaccStrain_1_pretest","vaccStrain_2r_pretest","vaccStrain_3_pretest","vaccStrain_4r_pretest","vaccStrain_5_pretest","vaccIntent_1r_pretest","vaccIntent_2_pretest","vaccIntent_3r_pretest","vaccIntent_4_pretest","vaccIntent_5r_pretest","parentExpert_1_pretest","parentExpert_2_pretest","parentExpert_3_pretest","parentExpert_4r_pretest","parentExpert_5r_pretest","infantImmLimCap_1_pretest","infantImmLimCap_2r_pretest","infantImmLimCap_3_pretest","infantImmLimCap_4_pretest","infantImmLimCap_5r_pretest","infantImmWeak_1_pretest","infantImmWeak_2_pretest","infantImmWeak_3_pretest","infantImmWeak_4r_pretest","infantImmWeak_5r_pretest","overpar_1_pretest","overpar_2_pretest","overpar_3_pretest","overpar_4r_pretest","overpar_5r_pretest","is_parent_posttest","children_num_posttest","children_oldest_posttest","children_youngest_posttest","plan_parent_posttest","flushot_self_this_posttest","flushot_self_next_posttest","flushot_child_this_posttest","flushot_child_next_posttest","vax_delay_spread_posttest","vax_refuse_posttest","vax_exemption_posttest","attention_posttest","comments1_posttest","comments_posttest","condition","duration_posttest","hb_1_posttest","hb_2_posttest","hb_3_posttest","hb_4_posttest","hb_check_5_posttest","nat_1_posttest","nat_2r_posttest","nat_3_posttest","nat_4_posttest","nat_5_posttest","nat_6r_posttest","medSkept_1_posttest","medSkept_2r_posttest","medSkept_3_posttest","medSkept_4_posttest","medSkept_5r_posttest","medSkept_6r_posttest","diseaseRare_1_posttest","diseaseRare_2_posttest","diseaseRare_3r_posttest","diseaseRare_4_posttest","diseaseRare_5r_posttest","diseaseSevere_1r_posttest","diseaseSevere_2_posttest","diseaseSevere_3_posttest","diseaseSevere_4r_posttest","diseaseSevere_5_posttest","vaccEff_1_posttest","vaccEff_2r_posttest","vaccEff_3r_posttest","vaccEff_4_posttest","vaccEff_check_1_posttest","vaccDanger_1_posttest","vaccDanger_2r_posttest","vaccDanger_3_posttest","vaccDanger_4r_posttest","vaccDanger_check_3_posttest","vaccTox_1r_posttest","vaccTox_2_posttest","vaccTox_3_posttest","vaccTox_4r_posttest","vaccTox_check_6_posttest","vaccStrain_1_posttest","vaccStrain_2r_posttest","vaccStrain_3_posttest","vaccStrain_4r_posttest","vaccStrain_5_posttest","vaccIntent_1r_posttest","vaccIntent_2_posttest","vaccIntent_3r_posttest","vaccIntent_4_posttest","vaccIntent_5r_posttest","parentExpert_1_posttest","parentExpert_2_posttest","parentExpert_3_posttest","parentExpert_4r_posttest","parentExpert_5r_posttest","infantImmLimCap_1_posttest","infantImmLimCap_2r_posttest","infantImmLimCap_3_posttest","infantImmLimCap_4_posttest","infantImmLimCap_5r_posttest","infantImmWeak_1_posttest","infantImmWeak_2_posttest","infantImmWeak_3_posttest","infantImmWeak_4r_posttest","infantImmWeak_5r_posttest","overpar_1_posttest","overpar_2_posttest","overpar_3_posttest","overpar_4r_posttest","overpar_5r_posttest"
"1",1,"565b6ec57907da63",1,23,1,4,1,3,2,42,"","true",180,1,0,1,0,1,0,0,-1,1,1,0,2,0,2,1,-1,-1,-1,1,1,1,0,0,1,1,-2,2,0,-1,0,1,-3,0,-1,1,-2,-1,-1,0,2,-1,2,1,-2,2,0,1,0,-1,0,-1,1,0,0,1,1,0,0,-1,0,-1,2,1,0,1,0,-1,2,1,1,0,0,0,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,1,"","","noInterv",153,0,-1,2,0,1,-3,1,0,0,0,1,0,1,-2,1,1,0,1,0,1,-1,-2,0,-2,-1,1,-1,1,0,0,-1,-3,0,-1,0,-1,-1,0,1,0,0,2,-1,-2,0,-1,0,1,1,1,-1,-1,-1,1,-2,0,0,-1,0,-1,2,-2,-1,2,0,-1,1,2,-2,0,-2,-1
"2",2,"deb98b7c4ff00518",1,39,1,4,1,4,9,50,"no","true",254,1,-2,-2,-2,1,-1,-3,-2,-3,-3,-1,0,-2,1,-2,2,-2,-1,-2,0,1,1,1,0,1,0,1,3,1,2,3,-3,-3,-3,-1,-3,-1,-3,-3,-3,-2,2,-3,-3,-3,-2,-3,3,3,3,3,3,0,-1,-1,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2,0,-1,-1,-1,-1,1,2,10,9,NA,1,1,1,1,0,0,0,1,"no","no","diseaseRisk",274,2,-3,-3,-3,1,-2,-2,-2,-2,-2,-2,1,-2,1,-2,1,-2,-1,1,1,1,1,2,1,2,1,1,2,2,2,2,-3,-3,-3,-2,-3,-1,-2,-3,-2,-2,2,-1,-2,-2,-2,-2,2,3,2,3,3,1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1
"3",3,"a3e0b6585577b3a8",1,24,5,3,1,5,1,100,"No.","true",257,0,1,0,1,1,2,1,-1,-1,-1,1,-1,-2,-1,-1,0,-2,-2,2,-2,2,-2,-2,1,2,2,2,2,-2,0,2,-3,-2,0,-1,1,-1,-1,1,-1,0,2,-1,1,-1,1,-1,3,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,1,0,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,1,"","","noInterv",202,1,1,-1,-1,1,1,2,-2,-2,-2,-1,-2,-3,-2,-2,2,-3,-2,-2,2,-2,-1,-2,2,2,3,-1,-1,1,1,-1,-3,-2,0,0,-2,-1,0,-2,0,2,2,-2,2,-2,2,-2,3,3,1,3,3,1,1,2,-2,-1,-1,1,-1,1,-1,2,2,2,-2,-1,-2,-2,3,2,3
"4",4,"c24d90495b08eeb5",2,25,1,4,1,5,3,42,"I have not really thought about the effects of vaccines on children at all because I never plan to have children and haven't been interested.","true",210,-1,0,1,0,1,1,0,0,-3,-3,1,1,1,0,0,1,0,-1,-1,0,-1,1,2,0,0,0,0,2,0,1,1,-3,0,0,0,0,-1,0,-1,0,0,2,1,-2,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,0,1,0,0,0,0,1,1,1,1,1,1,-3,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,1,"","","noInterv",403,-2,-3,1,0,1,-1,1,-1,1,-3,1,0,0,0,-1,3,1,-3,-2,0,-1,-1,1,1,0,1,0,1,0,0,1,-3,0,0,0,0,-1,-1,-1,-1,-2,2,0,-3,0,0,0,0,1,0,0,1,-2,-2,-2,-1,-1,0,1,-1,1,1,0,1,1,1,0,1,-1,-1,1,0
"5",5,"4d66140b42c8e345",2,46,1,4,3,4,9,48,"","true",274,-3,1,-2,-3,1,0,-1,-1,0,-2,-1,-1,-2,-1,0,-1,-2,-2,-3,-2,-3,-1,2,0,1,0,1,0,1,2,3,-3,-3,-2,-1,-2,-1,-3,-3,0,-1,2,1,-3,1,-1,0,3,3,3,2,3,1,1,-1,0,-1,2,-1,1,1,1,0,0,0,0,-1,-1,0,-2,0,-3,1,3,15,9,NA,0,1,1,1,0,0,0,1,"The only thing that didn't affect me as probably intended was the 106 fever passage. I am typically pro- Western medicine, but I do not have the fear of fever that a lot of Americans have. I understand that higher fevers are sometimes correlated with more serious illnesses, but that is not always the case. And it's not unheard of for a baby or toddler to have high fevers. I believe you pay attention to symptoms, overall demeanor, hydration, etc., not the number on the thermometer.","","diseaseRisk",787,-2,0,-1,-1,1,-1,-1,-2,0,-1,1,-2,-2,0,-3,-2,-2,-1,-2,-1,-2,-2,0,1,2,1,-1,2,1,3,2,-3,-3,-2,-1,-2,-1,-3,-3,-1,-2,2,-1,-2,-1,-1,-1,3,3,1,2,3,-1,0,0,0,-1,0,0,0,0,0,-1,1,-1,1,-1,1,0,-2,-1,-2
"6",6,"50fd7d2e2b6d08b3",2,26,2,4,4,4,2,12,"no","true",289,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,3,3,3,3,3,3,-2,3,3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,2,-3,-3,-3,3,-3,3,3,3,3,3,-1,2,-3,1,-3,3,3,2,3,3,3,2,3,3,-1,3,3,3,2,0,1,1,5,NA,NA,1,1,1,1,0,0,0,1,"","","noInterv",273,-2,-2,-2,-2,1,0,-2,0,-2,-2,-2,2,-2,1,2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,-1,2,2,-3,-2,-1,-2,-2,-1,-2,-2,-2,-2,2,-2,-2,-2,2,-2,2,2,2,2,2,1,2,-2,1,-2,2,2,2,2,2,2,2,2,2,-1,-2,2,-1,1,-1
"7",7,"06abc0411af21533",2,26,1,6,2,2,2,0,"no","true",332,-1,-3,1,-2,1,2,-1,2,0,-3,2,2,-2,1,-2,2,-2,-3,-2,-2,-2,-1,3,3,3,3,3,3,2,2,3,-3,-2,0,-2,-3,-1,-2,0,0,-2,2,1,-2,-2,0,0,3,3,3,3,3,-1,-1,-1,0,-2,2,1,1,1,2,-1,2,2,1,2,0,1,-1,0,-2,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,1,"","","noInterv",335,-2,-2,-2,-2,1,2,-1,2,-2,-2,2,2,-2,1,-2,3,-3,-2,-2,-2,-2,-1,2,2,2,2,2,2,2,2,2,-3,-2,1,-1,-2,-1,0,-1,-1,-1,2,0,0,-1,0,0,2,2,2,2,2,-2,-2,-2,-1,-2,2,0,0,2,0,2,2,1,1,1,0,2,-1,-1,-2
"8",8,"f5a6a141fdc5e694",2,30,2,4,1,6,2,6,"No","true",269,1,-2,-2,-3,1,-1,-2,-2,-3,-3,-2,1,-2,0,-2,0,-1,-2,-1,1,1,-1,3,2,2,3,2,2,0,3,3,-3,-3,-2,-1,-3,-1,-1,-2,0,-2,2,-2,-3,-1,-1,-1,3,3,3,3,3,1,-1,-3,-2,-2,1,1,0,1,0,2,2,0,2,1,0,1,-1,2,-3,0,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,1,"no","no","diseaseRisk",704,-1,-3,-1,-3,1,0,-2,-3,-3,-3,-2,2,-2,-1,-2,0,-2,-3,-3,-1,-1,-2,3,3,3,3,3,2,0,3,2,-3,-3,-2,-2,-3,-1,-2,-3,-1,-2,2,-3,-2,-2,1,-2,3,3,2,3,3,-1,-3,-3,-1,-2,-1,0,-2,0,0,0,0,-2,0,0,1,0,-2,-2,-3
"9",9,"8346134c03d4c3f5",1,32,5,5,3,6,1,58,"","true",312,2,1,0,0,1,0,0,0,-2,-1,1,0,0,0,0,1,-1,0,0,0,-1,1,1,0,1,1,0,1,0,0,0,-3,0,0,0,-1,-1,1,-1,0,0,2,-1,-1,-1,0,0,0,1,0,1,2,0,-1,0,1,0,0,-1,-1,0,-1,0,-1,-1,-1,-1,0,1,-1,0,0,0,NA,NA,NA,2,0,0,NA,NA,NA,NA,NA,1,"","","noInterv",314,1,1,0,-1,1,1,-1,0,0,-2,0,0,0,0,-1,1,-1,-1,0,-1,-1,0,1,0,0,2,1,1,0,1,0,-3,0,0,0,0,-1,-1,-2,0,0,2,-1,-1,-2,0,-1,-1,0,0,1,1,1,0,0,1,0,1,0,-1,-1,0,0,-1,-1,-1,-1,0,1,-1,0,-1
"10",10,"101778f54bcc1edb",2,40,5,6,1,0,2,20,"","true",303,-1,1,0,2,1,1,-2,1,0,-1,2,0,-2,-1,-2,-2,-3,-3,-2,-3,-2,-3,2,2,3,2,3,1,1,2,1,-3,-2,-2,-2,-2,-1,-2,-3,1,-2,2,-2,-2,-2,-2,-2,3,3,3,3,3,2,2,2,-1,-2,2,2,2,1,2,2,2,1,1,-1,1,0,0,-1,-2,1,2,9,4,NA,1,1,1,1,0,0,0,1,"","","diseaseRisk",317,0,1,1,1,1,0,-2,1,-2,-2,-2,1,-2,-1,-1,-2,-2,-2,-1,-2,-2,-2,2,2,2,2,3,2,2,2,2,-3,-3,-2,-2,-2,-1,-2,-3,1,-2,2,-2,-2,-2,-1,-2,2,3,3,3,3,1,1,1,-2,-2,2,2,2,1,2,1,2,2,1,1,1,1,-1,-1,-1
