StartDate,EndDate,Status,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,interv_t_First.Click,interv_t_Last.Click,interv_t_Page.Submit,interv_t_Click.Count,hb_1,hb_2,hb_3,hb_4,check_5,hb_t_First.Click,hb_t_Last.Click,hb_t_Page.Submit,hb_t_Click.Count,nat_1,nat_2r,nat_3,nat_4,nat_5,nat_6r,nat_t_First.Click,nat_t_Last.Click,nat_t_Page.Submit,nat_t_Click.Count,medSkept_1,medSkept_2r,medSkept_3,medSkept_4,medSkept_5r,medSkept_6r,medSkept_t_First.Click,medSkept_t_Last.Click,medSkept_t_Page.Submit,medSkept_t_Click.Count,diseaseRare_1,diseaseRare_2,diseaseRare_3r,diseaseRare_4,diseaseRare_5r,diseaseRare_t_First.Click,diseaseRare_t_Last.Click,diseaseRare_t_Page.Submit,diseaseRare_t_Click.Count,diseaseSevere_1r,diseaseSevere_2,diseaseSevere_3,diseaseSevere_4r,diseaseSevere_5,diseaseSevere_t_First.Click,diseaseSevere_t_Last.Click,diseaseSevere_t_Page.Submit,diseaseSevere_t_Click.Count,vaccEff_1,vaccEff_2r,vaccEff_3r,vaccEff_4,vaccEff_t_First.Click,vaccEff_t_Last.Click,vaccEff_t_Page.Submit,vaccEff_t_Click.Count,vaccDanger_1,vaccDanger_2r,vaccDanger_3,vaccDanger_4r,check_3,vaccDanger_t_First.Click,vaccDanger_t_Last.Click,vaccDanger_t_Page.Submit,vaccDanger_t_Click.Count,vaccTox_1r,vaccTox_2,vaccTox_3,vaccTox_4r,vaccTox_t_First.Click,vaccTox_t_Last.Click,vaccTox_t_Page.Submit,vaccTox_t_Click.Count,vaccStrain_1,vaccStrain_2r,vaccStrain_3,vaccStrain_4r,vaccStrain_5,vaccStrain_t_First.Click,vaccStrain_t_Last.Click,vaccStrain_t_Page.Submit,vaccStrain_t_Click.Count,vaccIntent_1r,vaccIntent_2,vaccIntent_3r,vaccIntent_4,vaccIntent_5r,vaccIntent_t_First.Click,vaccIntent_t_Last.Click,vaccIntent_t_Page.Submit,vaccIntent_t_Click.Count,parentExpert_1,parentExpert_2,parentExpert_3,parentExpert_4r,parentExpert_5r,parentExpert_t_First.Click,parentExpert_t_Last.Click,parentExpert_t_Page.Submit,parentExpert_t_Click.Count,infantImmLimCap_1,infantImmLimCap_2r,infantImmLimCap_3,infantImmLimCap_4,infantImmLimCap_5r,infantImmLimCap_t_First.Click,infantImmLimCap_t_Last.Click,infantImmLimCap_t_Page.Submit,infantImmLimCap_t_Click.Count,infantImmWeak_1,infantImmWeak_2,infantImmWeak_3,infantImmWeak_4r,infantImmWeak_5r,infantImmWeak_t_First.Click,infantImmWeak_t_Last.Click,infantImmWeak_t_Page.Submit,infantImmWeak_t_Click.Count,overpar_1,overpar_2,overpar_3,overpar_4r,overpar_5r,overpar_t_First.Click,overpar_t_Last.Click,overpar_t_Page.Submit,overpar_t_Click.Count,comments,workerId,assignmentId,hitId,study_time,payment,condition
Start Date,End Date,Response Type,07ceb499159bef0b,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,NA,NA,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - The body is essentially self-healing and the task of a health care provider is to assist the healing process.,Please indicate how much you agree or disagree with each of the following statements. - Physical and mental health are maintained by an underlying energy or vital force.,Please indicate how much you agree or disagree with each of the following statements. - A patient’s symptoms should be regarded as a manifestation of a general imbalance or dysfunction affecting the whole body.,Please indicate how much you agree or disagree with each of the following statements. - Health and disease are a reflection of balance between positive life enhancing forces and negative destructive forces.,Please indicate how much you agree or disagree with each of the following statements. - Please select somewhat agree.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - Natural things are always better than synthetic alternatives.,"Please indicate how much you agree or disagree with each of the following statements. - In some cases, it’s fair to say that science has improved on nature.",Please indicate how much you agree or disagree with each of the following statements. - I’m always wary of any chemicals that were developed in a lab.,"Please indicate how much you agree or disagree with each of the following statements. - Overall, advances in chemistry and the creation of synthetic chemicals have done more harm than good for human health.",Please indicate how much you agree or disagree with each of the following statements. - Childbirth should take place at home rather than in a hospital.,Please indicate how much you agree or disagree with each of the following statements. - I’m not concerned about preservatives in food.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies are more interested in making money than in helping people be healthy.,Please indicate how much you agree or disagree with each of the following statements. - FDA regulations ensure that approved pharmaceutical drugs are safe.,Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies put pressure on the FDA and CDC to suppress negative findings.,Please indicate how much you agree or disagree with each of the following statements. - Most researchers are biased against the idea that medications or vaccinations could cause health problems.,Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies don’t make huge profits from the sale of vaccines.,"Please indicate how much you agree or disagree with each of the following statements. - For researchers developing vaccines, safety is a top priority.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - Diseases like measles and whooping cough are so rare that there is no real need to worry about them.,Please indicate how much you agree or disagree with each of the following statements. - Nowadays parents can feel certain their children will not contract measles or mumps.,Please indicate how much you agree or disagree with each of the following statements. - It’s not  paranoid for parents to  worry about their children getting measles.,Please indicate how much you agree or disagree with each of the following statements. - It is almost impossible for a child currently living in the US to catch whooping cough.,Please indicate how much you agree or disagree with each of the following statements. - Measles and whooping cough are more common than people realize.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please indicate how much you agree or disagree with each of the following statements. - Measles, mumps, and whooping cough are no more severe than the flu.",Please indicate how much you agree or disagree with each of the following statements. - Childhood diseases are serious diseases.,"Please indicate how much you agree or disagree with each of the following statements. - Diseases like measles, mumps, and whooping cough can cause permanent damage to a child who contracts them.",Please indicate how much you agree or disagree with each of the following statements. - Childhood diseases are not that big a deal.,Please indicate how much you agree or disagree with each of the following statements. - Diseases like measles and whooping cough are extremely dangerous for young children.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - Your chances of getting a disease after being vaccinated against it are incredibly low.,Please indicate how much you agree or disagree with each of the following statements. - Improved nutrition and sanitation played a larger role than vaccines in the decline of diseases like measles.,Please indicate how much you agree or disagree with each of the following statements. - Recent outbreaks of diseases like measles and whooping cough show that vaccines don’t work very well.,Please indicate how much you agree or disagree with each of the following statements. - Vaccines are one of the most effective medical treatments.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - Childhood vaccines can cause autism.,Please indicate how much you agree or disagree with each of the following statements. - It is safe for infants to receive multiple vaccines at once.,Please indicate how much you agree or disagree with each of the following statements. - Many children have severe adverse reactions to the MMR vaccine.,Please indicate how much you agree or disagree with each of the following statements. - Vaccines are a very safe medical treatment.,Please indicate how much you agree or disagree with each of the following statements. - Please select somewhat disagree.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - Vaccines do not contain dangerous amounts of toxins.,Please indicate how much you agree or disagree with each of the following statements. - Vaccines are actually highly toxic to humans.,Please indicate how much you agree or disagree with each of the following statements. - Exposure to certain additives in vaccines can cause major health problems.,Please indicate how much you agree or disagree with each of the following statements. - The quantities of chemical additives in vaccines are so small that they do not pose any health risks.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - Vaccines strain the immune system much like the actual disease.,Please indicate how much you agree or disagree with each of the following statements. - One great benefit of vaccines is that they provide immunity without the immune system having to work so hard.,"Please indicate how much you agree or disagree with each of the following statements. - Vaccines can use up the capacity of the immune system, leaving a baby vulnerable.",Please indicate how much you agree or disagree with each of the following statements. - Vaccines are not very taxing for an infant's immune system.,Please indicate how much you agree or disagree with each of the following statements. - Getting multiple vaccines at once can exhaust an infant’s immune system.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - The risk of side effects outweighs any protective benefits of vaccines.,Please indicate how much you agree or disagree with each of the following statements. - If I had a young baby I would have him or her vaccinated.,"Please indicate how much you agree or disagree with each of the following statements. - If I had a baby, I would opt to spread out his or her vaccinations, rather than following the traditional schedule.",Please indicate how much you agree or disagree with each of the following statements. - I feel confident that vaccinating children is the right thing to do.,Please indicate how much you agree or disagree with each of the following statements. - I would never vaccinate my child.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - Every individual is different and a parent knows their own child best.,Please indicate how much you agree or disagree with each of the following statements. - Parents have insights into their children’s health and well-being that no health professional can match.,"Please indicate how much you agree or disagree with each of the following statements. - When a child encounters health problems, the child’s parents are often better equipped than doctors to identify the many subtle causes of those issues.",Please indicate how much you agree or disagree with each of the following statements. - Parents should trust a doctor’s advice even if it goes against their intuitions.,Please indicate how much you agree or disagree with each of the following statements. - Advice from doctors is the best resource for keeping your child healthy.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - When babies are exposed to one illness it leaves them especially vulnerable to other viruses and infections.,Please indicate how much you agree or disagree with each of the following statements. - Babies are able to fight off multiple viruses at the same time.,Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems can only develop a limited number of antibodies.,Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems are severely limited in how much they can cope with at one time.,Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems can deal with many threats at one time.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - Babies should be sheltered from exposure to viruses and bacteria to the greatest extent possible.,Please indicate how much you agree or disagree with each of the following statements. - Babies have a very limited ability to fight off diseases.,Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems are weak.,Please indicate how much you agree or disagree with each of the following statements. - Babies have an innate ability to fight off diseases.,Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems are more robust than many people think.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - Parents should strive to control their baby’s environments as much as possible.,Please indicate how much you agree or disagree with each of the following statements. - Parents of babies should never leave anything to chance.,Please indicate how much you agree or disagree with each of the following statements. - There is no such thing as being overprotective of a baby.,Please indicate how much you agree or disagree with each of the following statements. - Many things that parents of babies worry about won’t actually have major consequences.,Please indicate how much you agree or disagree with each of the following statements. - Some parents go overboard trying to make everything perfect for their babies.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Thank you for your participation in this study. Do you have any comments about the study or about your responses?,b953548792ca98d5,assignmentId,hitId,study_time,payment,condition
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}",c91890b20bf88706,"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",NA,NA,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID128_FIRST_CLICK""}","{""ImportId"":""QID128_LAST_CLICK""}","{""ImportId"":""QID128_PAGE_SUBMIT""}","{""ImportId"":""QID128_CLICK_COUNT""}","{""ImportId"":""QID82_4""}","{""ImportId"":""QID82_5""}","{""ImportId"":""QID82_6""}","{""ImportId"":""QID82_7""}","{""ImportId"":""QID82_8""}","{""ImportId"":""QID110_FIRST_CLICK""}","{""ImportId"":""QID110_LAST_CLICK""}","{""ImportId"":""QID110_PAGE_SUBMIT""}","{""ImportId"":""QID110_CLICK_COUNT""}","{""ImportId"":""QID83_23""}","{""ImportId"":""QID83_24""}","{""ImportId"":""QID83_25""}","{""ImportId"":""QID83_26""}","{""ImportId"":""QID83_27""}","{""ImportId"":""QID83_28""}","{""ImportId"":""QID111_FIRST_CLICK""}","{""ImportId"":""QID111_LAST_CLICK""}","{""ImportId"":""QID111_PAGE_SUBMIT""}","{""ImportId"":""QID111_CLICK_COUNT""}","{""ImportId"":""QID84_30""}","{""ImportId"":""QID84_31""}","{""ImportId"":""QID84_32""}","{""ImportId"":""QID84_33""}","{""ImportId"":""QID84_34""}","{""ImportId"":""QID84_35""}","{""ImportId"":""QID112_FIRST_CLICK""}","{""ImportId"":""QID112_LAST_CLICK""}","{""ImportId"":""QID112_PAGE_SUBMIT""}","{""ImportId"":""QID112_CLICK_COUNT""}","{""ImportId"":""QID85_31""}","{""ImportId"":""QID85_32""}","{""ImportId"":""QID85_33""}","{""ImportId"":""QID85_34""}","{""ImportId"":""QID85_35""}","{""ImportId"":""QID113_FIRST_CLICK""}","{""ImportId"":""QID113_LAST_CLICK""}","{""ImportId"":""QID113_PAGE_SUBMIT""}","{""ImportId"":""QID113_CLICK_COUNT""}","{""ImportId"":""QID114_50""}","{""ImportId"":""QID114_51""}","{""ImportId"":""QID114_52""}","{""ImportId"":""QID114_53""}","{""ImportId"":""QID114_54""}","{""ImportId"":""QID116_FIRST_CLICK""}","{""ImportId"":""QID116_LAST_CLICK""}","{""ImportId"":""QID116_PAGE_SUBMIT""}","{""ImportId"":""QID116_CLICK_COUNT""}","{""ImportId"":""QID87_37""}","{""ImportId"":""QID87_38""}","{""ImportId"":""QID87_39""}","{""ImportId"":""QID87_40""}","{""ImportId"":""QID117_FIRST_CLICK""}","{""ImportId"":""QID117_LAST_CLICK""}","{""ImportId"":""QID117_PAGE_SUBMIT""}","{""ImportId"":""QID117_CLICK_COUNT""}","{""ImportId"":""QID88_41""}","{""ImportId"":""QID88_42""}","{""ImportId"":""QID88_43""}","{""ImportId"":""QID88_44""}","{""ImportId"":""QID88_45""}","{""ImportId"":""QID118_FIRST_CLICK""}","{""ImportId"":""QID118_LAST_CLICK""}","{""ImportId"":""QID118_PAGE_SUBMIT""}","{""ImportId"":""QID118_CLICK_COUNT""}","{""ImportId"":""QID89_45""}","{""ImportId"":""QID89_46""}","{""ImportId"":""QID89_47""}","{""ImportId"":""QID89_48""}","{""ImportId"":""QID119_FIRST_CLICK""}","{""ImportId"":""QID119_LAST_CLICK""}","{""ImportId"":""QID119_PAGE_SUBMIT""}","{""ImportId"":""QID119_CLICK_COUNT""}","{""ImportId"":""QID90_56""}","{""ImportId"":""QID90_57""}","{""ImportId"":""QID90_58""}","{""ImportId"":""QID90_59""}","{""ImportId"":""QID90_60""}","{""ImportId"":""QID120_FIRST_CLICK""}","{""ImportId"":""QID120_LAST_CLICK""}","{""ImportId"":""QID120_PAGE_SUBMIT""}","{""ImportId"":""QID120_CLICK_COUNT""}","{""ImportId"":""QID91_63""}","{""ImportId"":""QID91_64""}","{""ImportId"":""QID91_65""}","{""ImportId"":""QID91_66""}","{""ImportId"":""QID91_67""}","{""ImportId"":""QID121_FIRST_CLICK""}","{""ImportId"":""QID121_LAST_CLICK""}","{""ImportId"":""QID121_PAGE_SUBMIT""}","{""ImportId"":""QID121_CLICK_COUNT""}","{""ImportId"":""QID94_69""}","{""ImportId"":""QID94_70""}","{""ImportId"":""QID94_71""}","{""ImportId"":""QID94_72""}","{""ImportId"":""QID94_73""}","{""ImportId"":""QID122_FIRST_CLICK""}","{""ImportId"":""QID122_LAST_CLICK""}","{""ImportId"":""QID122_PAGE_SUBMIT""}","{""ImportId"":""QID122_CLICK_COUNT""}","{""ImportId"":""QID95_79""}","{""ImportId"":""QID95_80""}","{""ImportId"":""QID95_81""}","{""ImportId"":""QID95_82""}","{""ImportId"":""QID95_83""}","{""ImportId"":""QID123_FIRST_CLICK""}","{""ImportId"":""QID123_LAST_CLICK""}","{""ImportId"":""QID123_PAGE_SUBMIT""}","{""ImportId"":""QID123_CLICK_COUNT""}","{""ImportId"":""QID97_76""}","{""ImportId"":""QID97_77""}","{""ImportId"":""QID97_78""}","{""ImportId"":""QID97_79""}","{""ImportId"":""QID97_80""}","{""ImportId"":""QID124_FIRST_CLICK""}","{""ImportId"":""QID124_LAST_CLICK""}","{""ImportId"":""QID124_PAGE_SUBMIT""}","{""ImportId"":""QID124_CLICK_COUNT""}","{""ImportId"":""QID98_80""}","{""ImportId"":""QID98_81""}","{""ImportId"":""QID98_82""}","{""ImportId"":""QID98_83""}","{""ImportId"":""QID98_84""}","{""ImportId"":""QID125_FIRST_CLICK""}","{""ImportId"":""QID125_LAST_CLICK""}","{""ImportId"":""QID125_PAGE_SUBMIT""}","{""ImportId"":""QID125_CLICK_COUNT""}","{""ImportId"":""QID132_TEXT""}",1e4c866bda044438,"{""ImportId"":""assignmentId""}","{""ImportId"":""hitId""}","{""ImportId"":""study_time""}","{""ImportId"":""payment""}","{""ImportId"":""condition""}"
4/4/19 9:55,4/4/19 9:58,0,da4b49141073cfcd,100,205,1,4/4/19 9:58,R_31RbXbZIiWabbvO,,,,,,,anonymous,EN,95.396,95.396,102.948,1,4,4,3,4,5,0.177,2.725,4.408,7,4,4,3,3,3,5,0.57,6.891,9.568,10,5,5,5,3,4,4,0.559,3.201,6.604,9,3,3,4,5,4,0.801,3.677,4.596,10,5,3,4,3,4,0.247,3.247,4.196,8,4,4,4,5,0.941,2.083,3.096,6,2,6,2,6,3,1.054,10.162,11.598,15,5,3,4,4,0.174,1.064,2.335,5,4,5,4,3,4,0.187,1.319,2.816,5,4,5,3,5,3,0.509,5.563,8.13,6,3,5,4,4,3,0.534,2.754,3.978,8,5,3,3,4,5,1.31,3.14,4.76,7,3,4,5,4,4,0.278,1.349,2.697,6,5,3,5,5,3,0.54,1.471,3.211,7,,c4ef46c3e86f7831,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,intervention
4/4/19 9:55,4/4/19 10:00,0,4620d6c9d8b094d7,100,309,1,4/4/19 10:00,R_5jBSXxxuQl1RRUR,,,,,,,anonymous,EN,0,0,92.954,0,5,2,4,2,5,3.651,13.939,14.512,5,1,7,1,1,1,7,2.086,12.245,12.866,6,5,7,2,5,7,7,2.139,16.068,16.624,7,1,4,7,1,6,3.074,10.609,16.766,5,1,7,7,1,7,0.984,5.472,5.899,5,7,2,1,7,1.202,8.89,9.424,5,1,7,1,7,3,1.385,6.849,7.317,5,7,1,1,7,3.468,9.677,13.29,6,1,7,1,6,1,4.751,17.471,18.123,5,1,7,1,7,1,1.216,6.64,7.173,5,4,4,4,6,6,1.439,8.623,9.1,5,1,7,1,1,7,2.116,9.636,10.064,5,5,2,4,5,6,2.162,10.858,11.439,7,3,4,3,5,5,1.733,10.421,10.97,5,I'm 1000% pro-vaccine and evangelical about it to anyone who is stupidly anti-vax. ,7852f2fdd0a6bd5f,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,intervention
4/4/19 9:54,4/4/19 10:00,0,ef8b15d17d1e8b3d,100,361,1,4/4/19 10:00,R_3QW4F5JWUOAdPib,,,,,,,anonymous,EN,43.695,83.436,91.49,6,5,3,4,4,5,1.594,21.109,21.877,6,4,6,3,6,2,2,2.67,18.555,19.235,6,5,4,7,6,5,4,3.142,22.429,23.227,8,4,3,5,2,5,2.251,13.451,14.368,5,1,7,7,1,7,2.053,10.622,11.749,5,7,4,2,6,2.992,11.379,12.308,4,4,4,4,5,3,2.57,11.806,12.754,5,5,2,4,5,3.823,14.341,15.046,4,5,5,4,3,5,3.095,24.855,26.05,5,2,6,5,6,2,2.322,13.627,14.289,5,5,5,4,3,5,3.029,14.066,15.059,5,6,4,6,4,4,2.346,11.921,13.383,5,3,4,4,6,5,2.763,12.822,13.602,5,6,5,3,6,7,3.849,14.481,15.119,5,,18ae10096551a0a5,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,intervention
4/4/19 9:57,4/4/19 10:01,0,f6b72874d3116671,100,203,1,4/4/19 10:01,R_1CatsH98RGy2T8x,,,,,,,anonymous,EN,0.574,73.318,95.814,9,3,4,3,4,5,0.722,5.119,7.819,13,5,4,3,5,4,4,0.521,2.799,4.325,13,5,3,4,5,4,3,0.416,2.302,3.302,15,5,3,5,4,4,0.02,2.216,2.833,12,4,5,5,4,3,1.1,2.605,4.158,12,4,5,4,5,0.4,1.086,1.592,8,4,4,4,4,3,0.474,4.2,5.871,13,5,4,4,5,0.485,1.2,1.644,8,3,4,4,4,5,0.365,2.617,3.373,13,3,4,5,4,5,0.515,2.955,3.954,13,4,4,5,5,4,0.387,2.041,3.047,13,5,4,5,4,4,0.472,2.061,2.662,11,4,3,3,5,5,0.465,1.997,3.776,11,4,4,3,4,4,0.404,2.276,2.592,11,none,a923646f149ff5af,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,intervention
4/4/19 9:54,4/4/19 10:01,0,a7b972c1024e1d93,100,430,1,4/4/19 10:01,R_2EGcl3GLO6GhMSQ,,,,,,,anonymous,EN,4.844,6.355,99.99,3,5,6,6,7,5,52.779,58.932,59.725,6,6,5,6,6,5,3,0.847,4.967,8.928,6,5,6,6,6,7,5,1.988,5.212,8.517,6,5,5,6,6,7,2.422,5.718,6.663,5,6,3,5,5,6,31.761,35.64,36.355,6,5,5,6,6,0.914,2.442,5.501,4,5,6,5,6,3,0.938,7.219,8.34,5,3,6,5,3,0.739,5.403,6.347,5,5,5,6,3,5,5.086,9.047,10.288,5,2,6,5,5,3,5.434,9.322,10.523,5,7,5,6,5,6,0.9,5.092,6.43,5,5,6,7,7,6,0.889,3.513,4.643,5,5,5,6,6,6,0.975,3.343,4.273,5,5,5,2,6,6,4.577,8.233,9.073,5,awesome,81944d724ea8e696,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,noInterv
4/4/19 9:55,4/4/19 10:01,0,b22dc6add8442ae8,100,388,1,4/4/19 10:01,R_WkfSzyou1AfPapj,,,,,,,anonymous,EN,0,0,130.393,0,1,1,1,2,5,2.452,8.721,10.409,7,2,7,3,7,2,5,2.105,15.417,16.269,6,4,5,2,3,6,7,20.42,28.856,29.691,6,1,2,6,2,6,2.006,9.64,10.355,5,2,5,6,2,6,2.187,7.535,8.363,6,7,2,1,7,1.732,11.023,21.936,4,1,7,1,7,3,1.623,7.117,7.702,6,7,1,1,6,12.556,34.24,34.947,4,1,7,1,7,1,2.461,9.641,11.777,5,1,7,2,7,1,2.279,13.502,14.23,5,4,4,2,5,6,2.613,20.983,21.726,7,4,4,4,4,4,2.166,10.315,11.984,9,4,4,4,4,4,2.804,6.284,6.971,6,4,4,4,4,5,1.855,9.387,10.11,6,,933197338f135b4a,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,intervention
4/4/19 9:54,4/4/19 10:01,0,6257cbd5c8688d60,100,453,1,4/4/19 10:01,R_247xGmtFaORpjYr,,,,,,,anonymous,EN,105.801,106.101,106.492,2,3,2,2,3,5,6.128,17.347,21.191,6,2,7,2,1,1,5,3.485,16.984,18.415,7,7,4,6,4,1,6,3.253,16.309,18.722,6,4,5,4,5,2,4.031,20.147,20.76,6,1,7,7,1,7,3.062,10.494,11.499,5,6,2,1,6,3.347,12.494,13.202,7,2,4,4,6,3,2.287,11.415,15.314,5,4,2,4,4,3.374,10.422,11.101,4,4,4,4,4,4,3.463,13.635,14.03,7,1,7,5,7,1,1.873,12.865,13.549,5,3,2,1,5,5,3.502,13.542,14.333,8,6,2,4,4,3,5.749,13.161,14.179,5,2,4,4,6,4,3.26,8.316,9.061,5,5,5,4,4,4,2.974,16.521,17.206,6,"I wish there was a 'I don't know' option on the questions. For example, I have no idea if using a lot of vaccines at once on a baby will tax the immune system...and the article only mentioned the safety of ingredients, not the safety of the process.",b399956da2f72426,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,noInterv
4/4/19 9:55,4/4/19 10:02,0,a0146d4079de5292,100,385,1,4/4/19 10:02,R_29aFroWYeYCfN7H,,,,,,,anonymous,EN,0,0,106.084,0,4,5,4,4,5,3.162,9.999,10.651,5,4,5,5,5,4,3,4.27,18.398,19.122,6,5,7,5,4,3,6,3.698,23.785,24.535,6,1,3,3,3,2,4.189,21.053,21.806,6,1,7,7,1,7,2.656,10.928,11.402,5,7,4,1,7,3.151,15.114,15.87,4,1,4,3,7,3,4.37,17.111,17.812,5,5,1,1,5,3.466,12.458,13.286,7,4,5,4,4,4,7.558,12.783,13.58,5,7,7,4,7,1,2.055,11.468,12.067,5,5,4,3,5,5,32.716,43.683,44.747,6,5,4,4,4,4,3.662,9.759,10.49,6,4,4,4,4,4,2.195,4.511,5.286,5,4,4,4,5,5,6.095,14.765,15.492,5,NA,60bd39fb00994aba,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,intervention
