"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","hb_1","hb_2","hb_3","hb_4","check_5","hb_t_First.Click","hb_t_Last.Click","hb_t_Page.Submit","hb_t_Click.Count","nat_1","nat_2r","nat_3","nat_4","nat_5","nat_6r","nat_t_First.Click","nat_t_Last.Click","nat_t_Page.Submit","nat_t_Click.Count","medSkept_1","medSkept_2r","medSkept_3","medSkept_4","medSkept_5r","medSkept_6r","medSkept_t_First.Click","medSkept_t_Last.Click","medSkept_t_Page.Submit","medSkept_t_Click.Count","diseaseRare_1","diseaseRare_2","diseaseRare_3r","diseaseRare_4","diseaseRare_5r","diseaseRare_t_First.Click","diseaseRare_t_Last.Click","diseaseRare_t_Page.Submit","diseaseRare_t_Click.Count","diseaseSevere_1r","diseaseSevere_2","diseaseSevere_3","diseaseSevere_4r","diseaseSevere_5","diseaseSevere_t_First.Click","diseaseSevere_t_Last.Click","diseaseSevere_t_Page.Submit","diseaseSevere_t_Click.Count","vaccEff_1","vaccEff_2r","vaccEff_3r","vaccEff_4","vaccEff_t_First.Click","vaccEff_t_Last.Click","vaccEff_t_Page.Submit","vaccEff_t_Click.Count","vaccDanger_1","vaccDanger_2r","vaccDanger_3","vaccDanger_4r","check_3","vaccDanger_t_First.Click","vaccDanger_t_Last.Click","vaccDanger_t_Page.Submit","vaccDanger_t_Click.Count","vaccTox_1r","vaccTox_2","vaccTox_3","vaccTox_4r","vaccTox_t_First.Click","vaccTox_t_Last.Click","vaccTox_t_Page.Submit","vaccTox_t_Click.Count","vaccStrain_1","vaccStrain_2r","vaccStrain_3","vaccStrain_4r","vaccStrain_5","vaccStrain_t_First.Click","vaccStrain_t_Last.Click","vaccStrain_t_Page.Submit","vaccStrain_t_Click.Count","vaccIntent_1r","vaccIntent_2","vaccIntent_3r","vaccIntent_4","vaccIntent_5r","vaccIntent_t_First.Click","vaccIntent_t_Last.Click","vaccIntent_t_Page.Submit","vaccIntent_t_Click.Count","parentExpert_1","parentExpert_2","parentExpert_3","parentExpert_4r","parentExpert_5r","parentExpert_t_First.Click","parentExpert_t_Last.Click","parentExpert_t_Page.Submit","parentExpert_t_Click.Count","infantImmLimCap_1","infantImmLimCap_2r","infantImmLimCap_3","infantImmLimCap_4","infantImmLimCap_5r","infantImmLimCap_t_First.Click","infantImmLimCap_t_Last.Click","infantImmLimCap_t_Page.Submit","infantImmLimCap_t_Click.Count","infantImmWeak_1","infantImmWeak_2","infantImmWeak_3","infantImmWeak_4r","infantImmWeak_5r","infantImmWeak_t_First.Click","infantImmWeak_t_Last.Click","infantImmWeak_t_Page.Submit","infantImmWeak_t_Click.Count","overpar_1","overpar_2","overpar_3","overpar_4r","overpar_5r","overpar_t_First.Click","overpar_t_Last.Click","overpar_t_Page.Submit","overpar_t_Click.Count","sex","age","race","religion","educ","income","parent","expecting","children","youngest_child","refuse","return","comments","workerId","assignmentId","hitId","study_time","payment"
"Start Date","End Date","Response Type","07ceb499159bef0b","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference",NA,NA,"Distribution Channel","User Language","Please indicate how much you agree or disagree with each of the following statements. - The body is essentially self-healing and the task of a health care provider is to assist the healing process.","Please indicate how much you agree or disagree with each of the following statements. - Physical and mental health are maintained by an underlying energy or vital force.","Please indicate how much you agree or disagree with each of the following statements. - A patient’s symptoms should be regarded as a manifestation of a general imbalance or dysfunction affecting the whole body.","Please indicate how much you agree or disagree with each of the following statements. - Health and disease are a reflection of balance between positive life enhancing forces and negative destructive forces.","Please indicate how much you agree or disagree with each of the following statements. - Please select somewhat agree.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Natural things are always better than synthetic alternatives.","Please indicate how much you agree or disagree with each of the following statements. - In some cases, it’s fair to say that science has improved on nature.","Please indicate how much you agree or disagree with each of the following statements. - I’m always wary of any chemicals that were developed in a lab.","Please indicate how much you agree or disagree with each of the following statements. - Overall, advances in chemistry and the creation of synthetic chemicals have done more harm than good for human health.","Please indicate how much you agree or disagree with each of the following statements. - Childbirth should take place at home rather than in a hospital.","Please indicate how much you agree or disagree with each of the following statements. - I’m not concerned about preservatives in food.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies are more interested in making money than in helping people be healthy.","Please indicate how much you agree or disagree with each of the following statements. - FDA regulations ensure that approved pharmaceutical drugs are safe.","Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies put pressure on the FDA and CDC to suppress negative findings.","Please indicate how much you agree or disagree with each of the following statements. - Most researchers are biased against the idea that medications or vaccinations could cause health problems.","Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies don’t make huge profits from the sale of vaccines.","Please indicate how much you agree or disagree with each of the following statements. - For researchers developing vaccines, safety is a top priority.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Diseases like measles and whooping cough are so rare that there is no real need to worry about them.","Please indicate how much you agree or disagree with each of the following statements. - Nowadays parents can feel certain their children will not contract measles or mumps.","Please indicate how much you agree or disagree with each of the following statements. - It’s not  paranoid for parents to  worry about their children getting measles.","Please indicate how much you agree or disagree with each of the following statements. - It is almost impossible for a child currently living in the US to catch whooping cough.","Please indicate how much you agree or disagree with each of the following statements. - Measles and whooping cough are more common than people realize.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Measles, mumps, and whooping cough are no more severe than the flu.","Please indicate how much you agree or disagree with each of the following statements. - Childhood diseases are serious diseases.","Please indicate how much you agree or disagree with each of the following statements. - Diseases like measles, mumps, and whooping cough can cause permanent damage to a child who contracts them.","Please indicate how much you agree or disagree with each of the following statements. - Childhood diseases are not that big a deal.","Please indicate how much you agree or disagree with each of the following statements. - Diseases like measles and whooping cough are extremely dangerous for young children.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Your chances of getting a disease after being vaccinated against it are incredibly low.","Please indicate how much you agree or disagree with each of the following statements. - Improved nutrition and sanitation played a larger role than vaccines in the decline of diseases like measles.","Please indicate how much you agree or disagree with each of the following statements. - Recent outbreaks of diseases like measles and whooping cough show that vaccines don’t work very well.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are one of the most effective medical treatments.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Childhood vaccines can cause autism.","Please indicate how much you agree or disagree with each of the following statements. - It is safe for infants to receive multiple vaccines at once.","Please indicate how much you agree or disagree with each of the following statements. - Many children have severe adverse reactions to the MMR vaccine.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are a very safe medical treatment.","Please indicate how much you agree or disagree with each of the following statements. - Please select somewhat disagree.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Vaccines do not contain dangerous amounts of toxins.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are actually highly toxic to humans.","Please indicate how much you agree or disagree with each of the following statements. - Exposure to certain additives in vaccines can cause major health problems.","Please indicate how much you agree or disagree with each of the following statements. - The quantities of chemical additives in vaccines are so small that they do not pose any health risks.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Vaccines strain the immune system much like the actual disease.","Please indicate how much you agree or disagree with each of the following statements. - One great benefit of vaccines is that they provide immunity without the immune system having to work so hard.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines can use up the capacity of the immune system, leaving a baby vulnerable.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are not very taxing for an infant's immune system.","Please indicate how much you agree or disagree with each of the following statements. - Getting multiple vaccines at once can exhaust an infant’s immune system.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - The risk of side effects outweighs any protective benefits of vaccines.","Please indicate how much you agree or disagree with each of the following statements. - If I had a young baby I would have him or her vaccinated.","Please indicate how much you agree or disagree with each of the following statements. - If I had a baby, I would opt to spread out his or her vaccinations, rather than following the traditional schedule.","Please indicate how much you agree or disagree with each of the following statements. - I feel confident that vaccinating children is the right thing to do.","Please indicate how much you agree or disagree with each of the following statements. - I would never vaccinate my child.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Every individual is different and a parent knows their own child best.","Please indicate how much you agree or disagree with each of the following statements. - Parents have insights into their children’s health and well-being that no health professional can match.","Please indicate how much you agree or disagree with each of the following statements. - When a child encounters health problems, the child’s parents are often better equipped than doctors to identify the many subtle causes of those issues.","Please indicate how much you agree or disagree with each of the following statements. - Parents should trust a doctor’s advice even if it goes against their intuitions.","Please indicate how much you agree or disagree with each of the following statements. - Advice from doctors is the best resource for keeping your child healthy.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - When babies are exposed to one illness it leaves them especially vulnerable to other viruses and infections.","Please indicate how much you agree or disagree with each of the following statements. - Babies are able to fight off multiple viruses at the same time.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems can only develop a limited number of antibodies.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems are severely limited in how much they can cope with at one time.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems can deal with many threats at one time.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Babies should be sheltered from exposure to viruses and bacteria to the greatest extent possible.","Please indicate how much you agree or disagree with each of the following statements. - Babies have a very limited ability to fight off diseases.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems are weak.","Please indicate how much you agree or disagree with each of the following statements. - Babies have an innate ability to fight off diseases.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems are more robust than many people think.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Parents should strive to control their baby’s environments as much as possible.","Please indicate how much you agree or disagree with each of the following statements. - Parents of babies should never leave anything to chance.","Please indicate how much you agree or disagree with each of the following statements. - There is no such thing as being overprotective of a baby.","Please indicate how much you agree or disagree with each of the following statements. - Many things that parents of babies worry about won’t actually have major consequences.","Please indicate how much you agree or disagree with each of the following statements. - Some parents go overboard trying to make everything perfect for their babies.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate your gender","Please enter your age","What is your race or ethnicity?","Which of the following best describes your religious affiliation?","What is the highest level of education or degree that you have attained?","What is your annual household income?","Are you a parent?","Are you or your partner currently pregnant or expecting a child?","How many children do you have?","How old is your youngest child?","Have you ever refused a recommended vaccination for one of your children?","This was the first part of a two-part study. Part two will be conducted later this week. Would you be willing to return for part two of the study?","Thank you for your participation in this study. Do you have any comments about the study or about your responses?","b953548792ca98d5","assignmentId","hitId","study_time","payment"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","c91890b20bf88706","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",NA,NA,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID82_4""}","{""ImportId"":""QID82_5""}","{""ImportId"":""QID82_6""}","{""ImportId"":""QID82_7""}","{""ImportId"":""QID82_8""}","{""ImportId"":""QID110_FIRST_CLICK""}","{""ImportId"":""QID110_LAST_CLICK""}","{""ImportId"":""QID110_PAGE_SUBMIT""}","{""ImportId"":""QID110_CLICK_COUNT""}","{""ImportId"":""QID83_23""}","{""ImportId"":""QID83_24""}","{""ImportId"":""QID83_25""}","{""ImportId"":""QID83_26""}","{""ImportId"":""QID83_27""}","{""ImportId"":""QID83_28""}","{""ImportId"":""QID111_FIRST_CLICK""}","{""ImportId"":""QID111_LAST_CLICK""}","{""ImportId"":""QID111_PAGE_SUBMIT""}","{""ImportId"":""QID111_CLICK_COUNT""}","{""ImportId"":""QID84_30""}","{""ImportId"":""QID84_31""}","{""ImportId"":""QID84_32""}","{""ImportId"":""QID84_33""}","{""ImportId"":""QID84_34""}","{""ImportId"":""QID84_35""}","{""ImportId"":""QID112_FIRST_CLICK""}","{""ImportId"":""QID112_LAST_CLICK""}","{""ImportId"":""QID112_PAGE_SUBMIT""}","{""ImportId"":""QID112_CLICK_COUNT""}","{""ImportId"":""QID85_31""}","{""ImportId"":""QID85_32""}","{""ImportId"":""QID85_33""}","{""ImportId"":""QID85_34""}","{""ImportId"":""QID85_35""}","{""ImportId"":""QID113_FIRST_CLICK""}","{""ImportId"":""QID113_LAST_CLICK""}","{""ImportId"":""QID113_PAGE_SUBMIT""}","{""ImportId"":""QID113_CLICK_COUNT""}","{""ImportId"":""QID114_50""}","{""ImportId"":""QID114_51""}","{""ImportId"":""QID114_52""}","{""ImportId"":""QID114_53""}","{""ImportId"":""QID114_54""}","{""ImportId"":""QID116_FIRST_CLICK""}","{""ImportId"":""QID116_LAST_CLICK""}","{""ImportId"":""QID116_PAGE_SUBMIT""}","{""ImportId"":""QID116_CLICK_COUNT""}","{""ImportId"":""QID87_37""}","{""ImportId"":""QID87_38""}","{""ImportId"":""QID87_39""}","{""ImportId"":""QID87_40""}","{""ImportId"":""QID117_FIRST_CLICK""}","{""ImportId"":""QID117_LAST_CLICK""}","{""ImportId"":""QID117_PAGE_SUBMIT""}","{""ImportId"":""QID117_CLICK_COUNT""}","{""ImportId"":""QID88_41""}","{""ImportId"":""QID88_42""}","{""ImportId"":""QID88_43""}","{""ImportId"":""QID88_44""}","{""ImportId"":""QID88_45""}","{""ImportId"":""QID118_FIRST_CLICK""}","{""ImportId"":""QID118_LAST_CLICK""}","{""ImportId"":""QID118_PAGE_SUBMIT""}","{""ImportId"":""QID118_CLICK_COUNT""}","{""ImportId"":""QID89_45""}","{""ImportId"":""QID89_46""}","{""ImportId"":""QID89_47""}","{""ImportId"":""QID89_48""}","{""ImportId"":""QID119_FIRST_CLICK""}","{""ImportId"":""QID119_LAST_CLICK""}","{""ImportId"":""QID119_PAGE_SUBMIT""}","{""ImportId"":""QID119_CLICK_COUNT""}","{""ImportId"":""QID90_56""}","{""ImportId"":""QID90_57""}","{""ImportId"":""QID90_58""}","{""ImportId"":""QID90_59""}","{""ImportId"":""QID90_60""}","{""ImportId"":""QID120_FIRST_CLICK""}","{""ImportId"":""QID120_LAST_CLICK""}","{""ImportId"":""QID120_PAGE_SUBMIT""}","{""ImportId"":""QID120_CLICK_COUNT""}","{""ImportId"":""QID91_63""}","{""ImportId"":""QID91_64""}","{""ImportId"":""QID91_65""}","{""ImportId"":""QID91_66""}","{""ImportId"":""QID91_67""}","{""ImportId"":""QID121_FIRST_CLICK""}","{""ImportId"":""QID121_LAST_CLICK""}","{""ImportId"":""QID121_PAGE_SUBMIT""}","{""ImportId"":""QID121_CLICK_COUNT""}","{""ImportId"":""QID94_69""}","{""ImportId"":""QID94_70""}","{""ImportId"":""QID94_71""}","{""ImportId"":""QID94_72""}","{""ImportId"":""QID94_73""}","{""ImportId"":""QID122_FIRST_CLICK""}","{""ImportId"":""QID122_LAST_CLICK""}","{""ImportId"":""QID122_PAGE_SUBMIT""}","{""ImportId"":""QID122_CLICK_COUNT""}","{""ImportId"":""QID95_79""}","{""ImportId"":""QID95_80""}","{""ImportId"":""QID95_81""}","{""ImportId"":""QID95_82""}","{""ImportId"":""QID95_83""}","{""ImportId"":""QID123_FIRST_CLICK""}","{""ImportId"":""QID123_LAST_CLICK""}","{""ImportId"":""QID123_PAGE_SUBMIT""}","{""ImportId"":""QID123_CLICK_COUNT""}","{""ImportId"":""QID97_76""}","{""ImportId"":""QID97_77""}","{""ImportId"":""QID97_78""}","{""ImportId"":""QID97_79""}","{""ImportId"":""QID97_80""}","{""ImportId"":""QID124_FIRST_CLICK""}","{""ImportId"":""QID124_LAST_CLICK""}","{""ImportId"":""QID124_PAGE_SUBMIT""}","{""ImportId"":""QID124_CLICK_COUNT""}","{""ImportId"":""QID98_80""}","{""ImportId"":""QID98_81""}","{""ImportId"":""QID98_82""}","{""ImportId"":""QID98_83""}","{""ImportId"":""QID98_84""}","{""ImportId"":""QID125_FIRST_CLICK""}","{""ImportId"":""QID125_LAST_CLICK""}","{""ImportId"":""QID125_PAGE_SUBMIT""}","{""ImportId"":""QID125_CLICK_COUNT""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID106""}","{""ImportId"":""QID105""}","{""ImportId"":""QID77""}","{""ImportId"":""QID104""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID99""}","{""ImportId"":""QID101""}","{""ImportId"":""QID107""}","{""ImportId"":""QID109""}","{""ImportId"":""QID72_TEXT""}","1e4c866bda044438","{""ImportId"":""assignmentId""}","{""ImportId"":""hitId""}","{""ImportId"":""study_time""}","{""ImportId"":""payment""}"
"2019-04-03 10:01:05","2019-04-03 10:03:08","0","da4b49141073cfcd","100","122","1","2019-04-03 10:03:08","R_3r0t3UbFJ3bi2rR","","","","",43.03,-76.01,"anonymous","EN","3","4","5","3","5","0.266","2.837","4.719","8","5","3","3","5","5","3","0.556","1.65","5.452","8","2","4","3","4","3","5","0.147","1.201","3.824","7","4","3","4","5","3","0.477","3.891","4.13","9","5","5","6","3","4","0.473","16.228","17.235","11","5","4","4","3","0.403","1.613","2.346","5","2","3","4","5","3","1.47","2.66","7.905","6","4","3","5","4","0.412","2.724","3.488","7","5","4","5","5","3","0.25","2.336","7.381","8","3","5","3","6","1","1.403","14.2","15.299","13","4","5","6","4","5","0.264","1.216","2.643","7","5","4","3","3","4","1.058","2.478","3.485","7","3","4","4","5","3","0.501","1.157","2.366","5","5","4","5","3","3","0.5","1.438","3.247","7","1","28","1","6","6","6","24","24","","","","26","","c4ef46c3e86f7831","33SA9F9TRXUDQCQLVHGYYRMWIEQEWI","309D674SHZL3JRA2EX95X5EJXQZBCG","10","1.35"
"2019-04-03 10:01:00","2019-04-03 10:03:15","0","e8635755ac4214cc","100","135","1","2019-04-03 10:03:16","R_2PsSYHQGWyr7QDI","","","","",31.31,-89.38,"anonymous","EN","4","3","4","6","4","1.48","3.933","4.951","7","4","5","4","3","4","3","1.205","4.974","5.97","9","4","6","3","4","5","4","0.315","4.186","5.091","10","5","6","4","4","4","1.075","4.034","5.153","9","6","4","4","4","3","2.328","5.647","6.429","8","6","3","4","4","0.547","2.842","4.22","6","2","4","4","4","5","0.918","5.113","7.843","9","5","2","4","4","0.579","3.358","4.646","6","4","2","5","4","4","1.058","3.443","5.564","7","6","4","3","4","4","1.522","5.133","7.884","9","4","2","6","4","4","3.719","6.002","6.955","7","4","2","5","4","4","2.514","5.225","6.412","7","5","4","4","3","4","1.169","3.722","4.707","8","6","4","4","4","3","1.361","7.154","7.847","7","1","43","1","1","3","1","24","24","","","","26","none","17e0c69d59fc0d99","3RSDURM96AMHFHLLAIYMJO7CTMQEYH","309D674SHZL3JRA2EX95X5EJXQZBCG","10","1.35"
"2019-04-03 10:00:46","2019-04-03 10:04:39","0","c153b57efb9dd2ad","100","232","1","2019-04-03 10:04:39","R_ypTYroyrsOJwKeR","","","","",47.31,-122.37,"anonymous","EN","6","6","6","6","5","2.334","4.343","5.042","7","3","5","5","3","6","5","0.177","2.969","3.325","10","5","5","3","5","4","5","1.284","4.068","5.143","9","4","5","4","4","4","0.432","1.905","2.106","6","3","6","6","2","6","3.532","10.076","10.836","10","4","4","3","3","0.392","1.432","2.418","6","5","5","2","5","3","13.739","17.699","18.317","6","7","1","3","7","1.636","7.74","8.112","5","2","2","2","2","2","1.501","7.885","8.965","12","1","7","3","7","1","34.681","46.474","47.104","9","5","4","4","5","4","9.872","12.13","13.4","7","5","5","5","4","5","12.604","14.347","15.076","6","5","6","6","6","6","1.295","5.246","7.564","10","3","5","3","4","5","0.692","2.852","3.316","8","0","31","1","7","2","3","24","24","","","","26","","34851c856710d136","3VW6495TLJ0FLM2CAJAGQRZSBYUYYF","309D674SHZL3JRA2EX95X5EJXQZBCG","10","1.35"
"2019-04-03 10:03:03","2019-04-03 10:05:18","0","d92bb4db2319c06c","100","135","1","2019-04-03 10:05:19","R_qw7JANbCFD2eAfv","","","","",0,0,"anonymous","EN","4","4","2","4","5","5.576","5.576","7.971","1","7","3","4","1","1","3","0","0","2.516","0","7","3","5","4","1","4","0","0","3.694","0","7","3","1","5","7","0","0","1.836","0","3","1","5","5","6","0","0","3.301","0","7","2","2","1","0","0","3.226","0","1","2","2","2","5","0","0","2.537","0","4","2","4","4","0","0","2.179","0","4","3","7","4","2","0","0","2.36","0","4","2","3","6","2","0","0","3.879","0","6","6","4","7","2","0","0","3.281","0","6","3","2","5","1","0","0","2.5","0","4","7","3","5","5","0","0","5.389","0","6","5","4","5","3","0","0","2.394","0","1","25","1","2","4","2","24","24","","","","26","no","1da3d5922babb76f","3LRKMWOKB5HPPRJADK54VU7P2D3Z2Q","309D674SHZL3JRA2EX95X5EJXQZBCG","10","1.35"
"2019-04-03 10:03:55","2019-04-03 10:05:25","0","f6b72874d3116671","100","89","1","2019-04-03 10:05:25","R_3awpT8JVJFaFuVz","","","","",34.02,-84.24,"anonymous","EN","4","5","4","5","5","0.682","4.404","5.289","15","5","4","5","3","4","4","0.588","3.097","3.772","15","5","3","4","3","4","5","0.357","4.889","5.654","17","3","5","5","4","4","0.276","1.509","1.878","11","5","4","4","5","4","0.418","2.072","2.406","11","4","4","4","3","0.634","1.335","1.936","8","4","4","4","4","3","0.809","3.741","4.654","13","5","4","4","5","0.797","3.098","3.418","12","4","5","4","5","4","0.233","3.639","3.877","15","4","5","5","4","4","0.434","1.599","2.779","10","5","4","5","4","4","0.348","1.993","2.46","11","5","5","4","4","4","0.58","2.002","2.254","11","5","5","5","4","4","0.37","1.35","2.152","11","4","4","3","4","4","0.619","1.44","1.9","10","1","31","1","6","6","1","24","24","","","","26","none","a923646f149ff5af","37U1UTWH9VMR9FZ8JKKSJIITFWE8RB","309D674SHZL3JRA2EX95X5EJXQZBCG","10","1.35"
"2019-04-03 10:03:07","2019-04-03 10:05:30","0","60fa7cca5f4626cd","100","143","1","2019-04-03 10:05:30","R_31mf6pxVGdTJukI","","","","",38.86,-77.27,"anonymous","EN","3","3","3","4","5","1.502","5.838","7.444","5","5","4","5","5","5","4","2.083","4.602","5.192","6","4","2","4","4","2","4","1.27","4.711","5.607","7","2","2","3","3","2","1.06","2.836","5.035","5","5","2","4","2","3","2.179","5.534","6.614","5","4","5","5","4","1.441","3.065","3.615","4","2","5","5","5","3","2.614","9.182","10.056","6","2","4","2","3","1.838","4.501","5.96","4","4","2","4","2","4","0.991","3.135","4.24","5","2","3","4","2","3","1.021","4.652","5.811","5","3","3","5","5","5","1.62","3.772","5.813","5","4","5","4","5","5","1.259","3.811","7.606","5","5","4","5","4","4","2.835","5.004","5.807","5","3","5","5","3","5","0.844","3.356","4.132","5","0","29","1","1","4","3","23","24","2","9","24","26","no comments","ecb493dbb8d94e5f","3RANCT1ZVFH2R5PWQQZ7FVVEU11UBY","309D674SHZL3JRA2EX95X5EJXQZBCG","10","1.35"
"2019-04-03 10:00:52","2019-04-03 10:05:34","0","74fa672f416679a5","100","281","1","2019-04-03 10:05:34","R_3dXHIAPy6CpleOh","","","","",39.97,-82.83,"anonymous","EN","1","2","1","1","5","0","0","14.671","0","2","7","1","1","1","6","0","0","21.665","0","5","7","6","4","6","7","16.892","25.956","26.739","5","1","3","5","2","4","0","0","23.974","0","2","6","6","1","6","0","0","14.005","0","7","1","1","7","0","0","13.284","0","1","7","3","7","3","0","0","12.247","0","7","1","1","7","0","0","8.607","0","1","5","4","5","1","0","0","20.43","0","1","7","1","7","1","0","0","15.598","0","4","5","4","7","6","0","0","15.364","0","5","4","6","5","3","0","0","17.996","0","6","5","6","2","3","0","0","12.196","0","6","4","4","4","6","0","0","17.384","0","1","35","1","6","3","3","24","24","","","","26","No thank you","8a597f7d99dacf46","3MX2NQ3YC9USJT2IULJHWGUQENWX5S","309D674SHZL3JRA2EX95X5EJXQZBCG","10","1.35"
"2019-04-03 10:01:04","2019-04-03 10:05:34","0","926d3cd7cbc9691d","100","270","1","2019-04-03 10:05:35","R_4ISck7f2IRaE729","","","","",45.55,-122.64,"anonymous","EN","5","4","4","4","5","0.634","11.468","12.278","11","6","4","5","4","2","2","0.571","19.803","20.697","15","5","4","4","5","2","4","0.388","12.319","12.826","14","5","4","3","4","6","6.826","15.247","15.823","15","4","5","6","2","6","0.515","22.272","24.54","15","6","2","2","6","2.031","15.017","15.87","8","3","5","4","5","3","4.467","16.719","18.909","15","4","4","5","5","0.267","5.059","6.766","11","5","4","5","4","5","0.199","5.871","10.409","13","4","6","5","5","1","4.496","16.997","17.707","11","4","5","4","4","5","0.588","14.011","14.932","14","5","5","5","4","4","4.521","11.001","11.694","11","5","4","5","4","5","3.489","6.546","7.255","11","4","5","4","5","5","3.797","16.1","17.309","11","0","38","1","6","4","4","23","24","2","9","24","26","no comments","0443311899478395","3WQ3B2KGE8GMI8YYO2PN4TQHJ441B6","309D674SHZL3JRA2EX95X5EJXQZBCG","10","1.35"
