"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","interv_t_First.Click","interv_t_Last.Click","interv_t_Page.Submit","interv_t_Click.Count","hb_1","hb_2","hb_3","hb_4","check_5","hb_t_First.Click","hb_t_Last.Click","hb_t_Page.Submit","hb_t_Click.Count","nat_1","nat_2r","nat_3","nat_4","nat_5","nat_6r","nat_t_First.Click","nat_t_Last.Click","nat_t_Page.Submit","nat_t_Click.Count","medSkept_1","medSkept_2r","medSkept_3","medSkept_4","medSkept_5r","medSkept_6r","medSkept_t_First.Click","medSkept_t_Last.Click","medSkept_t_Page.Submit","medSkept_t_Click.Count","diseaseRare_1","diseaseRare_2","diseaseRare_3r","diseaseRare_4","diseaseRare_5r","diseaseRare_t_First.Click","diseaseRare_t_Last.Click","diseaseRare_t_Page.Submit","diseaseRare_t_Click.Count","diseaseSevere_1r","diseaseSevere_2","diseaseSevere_3","diseaseSevere_4r","diseaseSevere_5","diseaseSevere_t_First.Click","diseaseSevere_t_Last.Click","diseaseSevere_t_Page.Submit","diseaseSevere_t_Click.Count","vaccEff_1","vaccEff_2r","vaccEff_3r","vaccEff_4","vaccEff_t_First.Click","vaccEff_t_Last.Click","vaccEff_t_Page.Submit","vaccEff_t_Click.Count","vaccDanger_1","vaccDanger_2r","vaccDanger_3","vaccDanger_4r","check_3","vaccDanger_t_First.Click","vaccDanger_t_Last.Click","vaccDanger_t_Page.Submit","vaccDanger_t_Click.Count","vaccTox_1r","vaccTox_2","vaccTox_3","vaccTox_4r","vaccTox_t_First.Click","vaccTox_t_Last.Click","vaccTox_t_Page.Submit","vaccTox_t_Click.Count","vaccStrain_1","vaccStrain_2r","vaccStrain_3","vaccStrain_4r","vaccStrain_5","vaccStrain_t_First.Click","vaccStrain_t_Last.Click","vaccStrain_t_Page.Submit","vaccStrain_t_Click.Count","vaccIntent_1r","vaccIntent_2","vaccIntent_3r","vaccIntent_4","vaccIntent_5r","vaccIntent_t_First.Click","vaccIntent_t_Last.Click","vaccIntent_t_Page.Submit","vaccIntent_t_Click.Count","parentExpert_1","parentExpert_2","parentExpert_3","parentExpert_4r","parentExpert_5r","parentExpert_t_First.Click","parentExpert_t_Last.Click","parentExpert_t_Page.Submit","parentExpert_t_Click.Count","infantImmLimCap_1","infantImmLimCap_2r","infantImmLimCap_3","infantImmLimCap_4","infantImmLimCap_5r","infantImmLimCap_t_First.Click","infantImmLimCap_t_Last.Click","infantImmLimCap_t_Page.Submit","infantImmLimCap_t_Click.Count","infantImmWeak_1","infantImmWeak_2","infantImmWeak_3","infantImmWeak_4r","infantImmWeak_5r","infantImmWeak_t_First.Click","infantImmWeak_t_Last.Click","infantImmWeak_t_Page.Submit","infantImmWeak_t_Click.Count","overpar_1","overpar_2","overpar_3","overpar_4r","overpar_5r","overpar_t_First.Click","overpar_t_Last.Click","overpar_t_Page.Submit","overpar_t_Click.Count","comments","workerId","assignmentId","hitId","study_time","payment","condition"
"1","Start Date","End Date","Response Type","b47f18abed823a1b","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference",NA,NA,"Distribution Channel","User Language","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - The body is essentially self-healing and the task of a health care provider is to assist the healing process.","Please indicate how much you agree or disagree with each of the following statements. - Physical and mental health are maintained by an underlying energy or vital force.","Please indicate how much you agree or disagree with each of the following statements. - A patient’s symptoms should be regarded as a manifestation of a general imbalance or dysfunction affecting the whole body.","Please indicate how much you agree or disagree with each of the following statements. - Health and disease are a reflection of balance between positive life enhancing forces and negative destructive forces.","Please indicate how much you agree or disagree with each of the following statements. - Please select somewhat agree.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Natural things are always better than synthetic alternatives.","Please indicate how much you agree or disagree with each of the following statements. - In some cases, it’s fair to say that science has improved on nature.","Please indicate how much you agree or disagree with each of the following statements. - I’m always wary of any chemicals that were developed in a lab.","Please indicate how much you agree or disagree with each of the following statements. - Overall, advances in chemistry and the creation of synthetic chemicals have done more harm than good for human health.","Please indicate how much you agree or disagree with each of the following statements. - Childbirth should take place at home rather than in a hospital.","Please indicate how much you agree or disagree with each of the following statements. - I’m not concerned about preservatives in food.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies are more interested in making money than in helping people be healthy.","Please indicate how much you agree or disagree with each of the following statements. - FDA regulations ensure that approved pharmaceutical drugs are safe.","Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies put pressure on the FDA and CDC to suppress negative findings.","Please indicate how much you agree or disagree with each of the following statements. - Most researchers are biased against the idea that medications or vaccinations could cause health problems.","Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies don’t make huge profits from the sale of vaccines.","Please indicate how much you agree or disagree with each of the following statements. - For researchers developing vaccines, safety is a top priority.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Diseases like measles and whooping cough are so rare that there is no real need to worry about them.","Please indicate how much you agree or disagree with each of the following statements. - Nowadays parents can feel certain their children will not contract measles or mumps.","Please indicate how much you agree or disagree with each of the following statements. - It’s not  paranoid for parents to  worry about their children getting measles.","Please indicate how much you agree or disagree with each of the following statements. - It is almost impossible for a child currently living in the US to catch whooping cough.","Please indicate how much you agree or disagree with each of the following statements. - Measles and whooping cough are more common than people realize.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Measles, mumps, and whooping cough are no more severe than the flu.","Please indicate how much you agree or disagree with each of the following statements. - Childhood diseases are serious diseases.","Please indicate how much you agree or disagree with each of the following statements. - Diseases like measles, mumps, and whooping cough can cause permanent damage to a child who contracts them.","Please indicate how much you agree or disagree with each of the following statements. - Childhood diseases are not that big a deal.","Please indicate how much you agree or disagree with each of the following statements. - Diseases like measles and whooping cough are extremely dangerous for young children.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Your chances of getting a disease after being vaccinated against it are incredibly low.","Please indicate how much you agree or disagree with each of the following statements. - Improved nutrition and sanitation played a larger role than vaccines in the decline of diseases like measles.","Please indicate how much you agree or disagree with each of the following statements. - Recent outbreaks of diseases like measles and whooping cough show that vaccines don’t work very well.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are one of the most effective medical treatments.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Childhood vaccines can cause autism.","Please indicate how much you agree or disagree with each of the following statements. - It is safe for infants to receive multiple vaccines at once.","Please indicate how much you agree or disagree with each of the following statements. - Many children have severe adverse reactions to the MMR vaccine.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are a very safe medical treatment.","Please indicate how much you agree or disagree with each of the following statements. - Please select somewhat disagree.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Vaccines do not contain dangerous amounts of toxins.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are actually highly toxic to humans.","Please indicate how much you agree or disagree with each of the following statements. - Exposure to certain additives in vaccines can cause major health problems.","Please indicate how much you agree or disagree with each of the following statements. - The quantities of chemical additives in vaccines are so small that they do not pose any health risks.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Vaccines strain the immune system much like the actual disease.","Please indicate how much you agree or disagree with each of the following statements. - One great benefit of vaccines is that they provide immunity without the immune system having to work so hard.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines can use up the capacity of the immune system, leaving a baby vulnerable.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are not very taxing for an infant's immune system.","Please indicate how much you agree or disagree with each of the following statements. - Getting multiple vaccines at once can exhaust an infant’s immune system.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - The risk of side effects outweighs any protective benefits of vaccines.","Please indicate how much you agree or disagree with each of the following statements. - If I had a young baby I would have him or her vaccinated.","Please indicate how much you agree or disagree with each of the following statements. - If I had a baby, I would opt to spread out his or her vaccinations, rather than following the traditional schedule.","Please indicate how much you agree or disagree with each of the following statements. - I feel confident that vaccinating children is the right thing to do.","Please indicate how much you agree or disagree with each of the following statements. - I would never vaccinate my child.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Every individual is different and a parent knows their own child best.","Please indicate how much you agree or disagree with each of the following statements. - Parents have insights into their children’s health and well-being that no health professional can match.","Please indicate how much you agree or disagree with each of the following statements. - When a child encounters health problems, the child’s parents are often better equipped than doctors to identify the many subtle causes of those issues.","Please indicate how much you agree or disagree with each of the following statements. - Parents should trust a doctor’s advice even if it goes against their intuitions.","Please indicate how much you agree or disagree with each of the following statements. - Advice from doctors is the best resource for keeping your child healthy.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - When babies are exposed to one illness it leaves them especially vulnerable to other viruses and infections.","Please indicate how much you agree or disagree with each of the following statements. - Babies are able to fight off multiple viruses at the same time.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems can only develop a limited number of antibodies.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems are severely limited in how much they can cope with at one time.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems can deal with many threats at one time.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Babies should be sheltered from exposure to viruses and bacteria to the greatest extent possible.","Please indicate how much you agree or disagree with each of the following statements. - Babies have a very limited ability to fight off diseases.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems are weak.","Please indicate how much you agree or disagree with each of the following statements. - Babies have an innate ability to fight off diseases.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems are more robust than many people think.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Parents should strive to control their baby’s environments as much as possible.","Please indicate how much you agree or disagree with each of the following statements. - Parents of babies should never leave anything to chance.","Please indicate how much you agree or disagree with each of the following statements. - There is no such thing as being overprotective of a baby.","Please indicate how much you agree or disagree with each of the following statements. - Many things that parents of babies worry about won’t actually have major consequences.","Please indicate how much you agree or disagree with each of the following statements. - Some parents go overboard trying to make everything perfect for their babies.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Thank you for your participation in this study. Do you have any comments about the study or about your responses?","0fda0d991e69d398","assignmentId","hitId","study_time","payment","condition"
"2","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","03e24735412ff810","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",NA,NA,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID128_FIRST_CLICK""}","{""ImportId"":""QID128_LAST_CLICK""}","{""ImportId"":""QID128_PAGE_SUBMIT""}","{""ImportId"":""QID128_CLICK_COUNT""}","{""ImportId"":""QID82_4""}","{""ImportId"":""QID82_5""}","{""ImportId"":""QID82_6""}","{""ImportId"":""QID82_7""}","{""ImportId"":""QID82_8""}","{""ImportId"":""QID110_FIRST_CLICK""}","{""ImportId"":""QID110_LAST_CLICK""}","{""ImportId"":""QID110_PAGE_SUBMIT""}","{""ImportId"":""QID110_CLICK_COUNT""}","{""ImportId"":""QID83_23""}","{""ImportId"":""QID83_24""}","{""ImportId"":""QID83_25""}","{""ImportId"":""QID83_26""}","{""ImportId"":""QID83_27""}","{""ImportId"":""QID83_28""}","{""ImportId"":""QID111_FIRST_CLICK""}","{""ImportId"":""QID111_LAST_CLICK""}","{""ImportId"":""QID111_PAGE_SUBMIT""}","{""ImportId"":""QID111_CLICK_COUNT""}","{""ImportId"":""QID84_30""}","{""ImportId"":""QID84_31""}","{""ImportId"":""QID84_32""}","{""ImportId"":""QID84_33""}","{""ImportId"":""QID84_34""}","{""ImportId"":""QID84_35""}","{""ImportId"":""QID112_FIRST_CLICK""}","{""ImportId"":""QID112_LAST_CLICK""}","{""ImportId"":""QID112_PAGE_SUBMIT""}","{""ImportId"":""QID112_CLICK_COUNT""}","{""ImportId"":""QID85_31""}","{""ImportId"":""QID85_32""}","{""ImportId"":""QID85_33""}","{""ImportId"":""QID85_34""}","{""ImportId"":""QID85_35""}","{""ImportId"":""QID113_FIRST_CLICK""}","{""ImportId"":""QID113_LAST_CLICK""}","{""ImportId"":""QID113_PAGE_SUBMIT""}","{""ImportId"":""QID113_CLICK_COUNT""}","{""ImportId"":""QID114_50""}","{""ImportId"":""QID114_51""}","{""ImportId"":""QID114_52""}","{""ImportId"":""QID114_53""}","{""ImportId"":""QID114_54""}","{""ImportId"":""QID116_FIRST_CLICK""}","{""ImportId"":""QID116_LAST_CLICK""}","{""ImportId"":""QID116_PAGE_SUBMIT""}","{""ImportId"":""QID116_CLICK_COUNT""}","{""ImportId"":""QID87_37""}","{""ImportId"":""QID87_38""}","{""ImportId"":""QID87_39""}","{""ImportId"":""QID87_40""}","{""ImportId"":""QID117_FIRST_CLICK""}","{""ImportId"":""QID117_LAST_CLICK""}","{""ImportId"":""QID117_PAGE_SUBMIT""}","{""ImportId"":""QID117_CLICK_COUNT""}","{""ImportId"":""QID88_41""}","{""ImportId"":""QID88_42""}","{""ImportId"":""QID88_43""}","{""ImportId"":""QID88_44""}","{""ImportId"":""QID88_45""}","{""ImportId"":""QID118_FIRST_CLICK""}","{""ImportId"":""QID118_LAST_CLICK""}","{""ImportId"":""QID118_PAGE_SUBMIT""}","{""ImportId"":""QID118_CLICK_COUNT""}","{""ImportId"":""QID89_45""}","{""ImportId"":""QID89_46""}","{""ImportId"":""QID89_47""}","{""ImportId"":""QID89_48""}","{""ImportId"":""QID119_FIRST_CLICK""}","{""ImportId"":""QID119_LAST_CLICK""}","{""ImportId"":""QID119_PAGE_SUBMIT""}","{""ImportId"":""QID119_CLICK_COUNT""}","{""ImportId"":""QID90_56""}","{""ImportId"":""QID90_57""}","{""ImportId"":""QID90_58""}","{""ImportId"":""QID90_59""}","{""ImportId"":""QID90_60""}","{""ImportId"":""QID120_FIRST_CLICK""}","{""ImportId"":""QID120_LAST_CLICK""}","{""ImportId"":""QID120_PAGE_SUBMIT""}","{""ImportId"":""QID120_CLICK_COUNT""}","{""ImportId"":""QID91_63""}","{""ImportId"":""QID91_64""}","{""ImportId"":""QID91_65""}","{""ImportId"":""QID91_66""}","{""ImportId"":""QID91_67""}","{""ImportId"":""QID121_FIRST_CLICK""}","{""ImportId"":""QID121_LAST_CLICK""}","{""ImportId"":""QID121_PAGE_SUBMIT""}","{""ImportId"":""QID121_CLICK_COUNT""}","{""ImportId"":""QID94_69""}","{""ImportId"":""QID94_70""}","{""ImportId"":""QID94_71""}","{""ImportId"":""QID94_72""}","{""ImportId"":""QID94_73""}","{""ImportId"":""QID122_FIRST_CLICK""}","{""ImportId"":""QID122_LAST_CLICK""}","{""ImportId"":""QID122_PAGE_SUBMIT""}","{""ImportId"":""QID122_CLICK_COUNT""}","{""ImportId"":""QID95_79""}","{""ImportId"":""QID95_80""}","{""ImportId"":""QID95_81""}","{""ImportId"":""QID95_82""}","{""ImportId"":""QID95_83""}","{""ImportId"":""QID123_FIRST_CLICK""}","{""ImportId"":""QID123_LAST_CLICK""}","{""ImportId"":""QID123_PAGE_SUBMIT""}","{""ImportId"":""QID123_CLICK_COUNT""}","{""ImportId"":""QID97_76""}","{""ImportId"":""QID97_77""}","{""ImportId"":""QID97_78""}","{""ImportId"":""QID97_79""}","{""ImportId"":""QID97_80""}","{""ImportId"":""QID124_FIRST_CLICK""}","{""ImportId"":""QID124_LAST_CLICK""}","{""ImportId"":""QID124_PAGE_SUBMIT""}","{""ImportId"":""QID124_CLICK_COUNT""}","{""ImportId"":""QID98_80""}","{""ImportId"":""QID98_81""}","{""ImportId"":""QID98_82""}","{""ImportId"":""QID98_83""}","{""ImportId"":""QID98_84""}","{""ImportId"":""QID125_FIRST_CLICK""}","{""ImportId"":""QID125_LAST_CLICK""}","{""ImportId"":""QID125_PAGE_SUBMIT""}","{""ImportId"":""QID125_CLICK_COUNT""}","{""ImportId"":""QID132_TEXT""}","561ad4607b71d5a1","{""ImportId"":""assignmentId""}","{""ImportId"":""hitId""}","{""ImportId"":""study_time""}","{""ImportId"":""payment""}","{""ImportId"":""condition""}"
"3","2019-06-06 10:18:54","2019-06-06 10:21:03","0","061cef5ed269dd84","100","129","1","2019-06-06 10:21:04","R_tGM6RYpvy11LCKJ","","","","",41.85,-87.67,"anonymous","EN","","","","","4","5","6","6","5","0.829","10.18","11.837","6","4","4","5","5","4","5","1.237","3.694","4.849","6","5","3","4","4","5","3","2.623","5.598","6.79","6","5","4","4","5","3","2.629","4.471","5.612","5","3","5","5","4","5","1.48","3.466","4.531","5","5","5","6","6","1.015","2.591","4.634","4","4","4","5","5","3","4.393","11.252","12.441","5","5","6","5","6","1.004","2.86","4.125","4","6","4","6","5","4","1.212","5.198","6.108","6","6","5","7","6","1","0.824","12.436","14.871","10","5","5","6","4","3","2.915","4.698","5.256","5","4","5","3","6","5","1.942","3.831","4.718","5","4","5","6","5","5","1.687","4.441","5.534","5","5","4","5","6","5","1.687","4.118","4.702","5","good","612f47b943482c20","3KWTYT08703XJZLTG2GTLMZ3NCU5LY","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","noInterv"
"4","2019-06-06 10:17:39","2019-06-06 10:21:35","0","a6784afafd44d7c7","100","235","1","2019-06-06 10:21:35","R_3gZ40eLAywcJVRx","","","","",10.99,76.97,"anonymous","EN","","","","","6","7","7","5","7","0.851","7.786","12.438","7","7","6","6","7","6","7","1.062","3.811","7.732","6","6","7","6","7","6","7","0.91","4.871","6.099","6","7","7","6","6","6","0.75","2.662","4.923","5","7","6","6","6","7","0.874","4.734","6.901","5","7","6","7","6","2.445","4.531","7.458","5","6","7","6","7","3","0.88","6.455","8.282","6","7","6","6","7","0.774","2.195","4.657","4","7","6","6","7","6","0.92","5.64","6.761","8","7","7","6","6","6","1.35","6.78","7.752","7","7","6","6","7","6","80.543","83.671","89.558","7","7","6","7","6","6","0.92","3.016","6.574","5","6","7","6","6","7","0.685","2.621","4.648","5","7","6","7","7","6","0.69","6.001","6.441","7","good","fcc8dd756e4f7ac3","3PH3VY7DJLXB17HHR4UBJ1NEMI5WZO","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","noInterv"
"5","2019-06-06 10:17:14","2019-06-06 10:21:48","0","f555d76e5cf790f3","100","273","1","2019-06-06 10:21:48","R_1NwdsQVH0wprDT8","","","","",39.77,-75.78,"anonymous","EN","0.83","0.83","92.975","1","6","4","5","5","5","6.633","6.633","13.2","1","6","5","3","5","4","5","0","0","10.261","0","5","4","5","5","2","6","0","0","8.542","0","4","4","5","3","4","0","0","14.081","0","3","5","4","4","3","0","0","6.773","0","2","6","5","5","1.942","1.942","7.459","1","5","4","4","6","3","0","0","7.66","0","5","2","3","4","0","0","6.472","0","2","3","4","5","2","2.507","2.507","12.925","1","4","5","5","5","1","0","0","9.889","0","5","5","5","6","6","0","0","7.572","0","6","7","5","4","6","0","0","9.09","0","5","3","2","5","4","0","0","8.217","0","2","4","3","5","6","0.208","0.208","10.937","1","","330da22b1a63759e","3SKRO2GZ71RNBB2SUF2G3W97MWJK1R","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","intervention"
"6","2019-06-06 10:17:45","2019-06-06 10:22:31","0","d2314a561bdc6bd5","100","286","1","2019-06-06 10:22:32","R_3KUUdRRenJyol7Z","","","","",42.64,-71.3,"anonymous","EN","","","","","4","6","3","2","5","3.094","19.241","20.102","6","6","6","4","2","1","4","2.163","15.604","17.534","7","7","2","6","5","1","2","4.357","17.61","18.039","7","2","2","3","2","5","4.345","16.675","17.449","5","2","5","4","3","2","49.345","61.239","62.098","5","6","6","1","7","3.544","11.008","12.034","6","1","6","3","7","3","3.121","10.097","11.113","5","7","1","2","6","4.251","12.776","13.3","5","2","6","1","4","4","3.549","16.657","17.186","6","2","6","6","6","1","4.676","13.417","13.996","6","6","1","1","7","7","3.799","19.669","20.854","5","2","5","3","5","5","2.71","8.893","9.769","7","4","2","3","6","5","3.803","10.327","11.317","7","6","4","2","7","4","3.941","11.469","12.429","7","","bc9572ece1101834","37TD41K0AH95MXPYFL02BEJ87NNSC6","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","noInterv"
"7","2019-06-06 10:17:29","2019-06-06 10:23:20","0","03d2c025e130f76e","100","351","1","2019-06-06 10:23:20","R_1IuTre6WtwThcEC","","","","",33.63,-112.13,"anonymous","EN","0","0","94.746","0","6","3","5","3","5","3.329","21.166","21.601","5","3","7","1","1","2","7","1.73","14.631","15.249","8","2","7","2","4","1","7","4.129","17.949","18.634","6","2","1","6","2","6","2.031","19.863","20.44","5","1","7","7","1","7","2.175","10.452","11.36","5","7","1","1","7","2.917","10.124","11.021","4","1","7","1","7","3","1.354","7.873","8.859","5","7","1","1","7","1.742","10.691","11.641","4","1","7","1","1","1","2.421","13.246","13.84","5","1","7","1","7","1","2.5","10.213","11.12","5","2","3","1","5","7","2.511","18.244","18.938","5","5","6","1","2","5","1.742","11.943","12.501","5","5","3","5","5","4","3.307","15.187","15.711","7","4","4","3","5","6","3.643","13.77","14.457","5","","e05d26a315f61cd7","3BC8WZX3V3WXRKE4ITQSAZDYLM7RRN","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","intervention"
"8","2019-06-06 10:18:40","2019-06-06 10:23:32","0","7450623941835ce3","100","291","1","2019-06-06 10:23:33","R_TctTbOZfFcFQjIZ","","","","",38.16,-79.06,"anonymous","EN","","","","","4","4","2","3","5","7.903","31.492","32.025","5","5","5","2","1","4","7","2.573","14.736","15.255","6","5","7","3","4","4","7","0.667","20.515","20.769","16","1","1","7","1","7","1.801","10.672","11.213","5","1","7","7","1","7","1.588","8.484","8.953","5","7","1","1","7","3.721","23.144","23.758","5","1","7","1","7","3","1.651","11.947","12.768","5","7","1","1","7","14.348","34.847","35.508","4","1","7","1","1","1","2.616","13.08","14.014","7","1","7","1","7","1","2.426","8.154","8.656","6","2","2","2","6","6","3.379","23.541","24.258","7","7","1","7","7","1","0.434","10.762","11.28","10","7","7","7","2","2","0.902","13.302","14.459","11","7","7","7","1","2","3.933","15.229","15.706","7","","5f195f942c6c0a86","3S3AMIZX3U5ZK86GIV5DGFX86KECDX","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","noInterv"
"9","2019-06-06 10:17:36","2019-06-06 10:24:11","0","11d1bfcb5e0bb370","100","394","1","2019-06-06 10:24:11","R_3231bR4ABNAyVf6","","","","",36.09,-80.33,"anonymous","EN","","","","","5","3","6","5","5","1.281","13.217","13.446","6","5","6","7","5","2","3","3.67","27.582","28.859","9","5","6","5","3","5","6","4.664","42.166","42.741","8","2","5","7","3","6","4.776","13.64","14.3","6","2","1","2","1","1","9.807","14.327","14.589","7","7","3","1","7","2.332","35.618","35.872","6","1","6","2","7","3","2.424","15.664","16.293","5","3","2","7","5","4.275","17.299","18.41","6","3","7","1","5","2","3.662","18.07","18.667","7","2","3","1","5","1","3.741","21.542","22.17","6","5","5","3","7","7","34.128","50.248","52.246","9","5","6","1","3","2","13.252","36.052","36.538","6","7","6","6","2","6","1.616","9.936","10.525","5","5","6","6","3","5","9.184","16.56","16.988","7","","09fb5d44ff57e1aa","33UKMF9319KNNE4OQ70IATFYXS1TTF","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","noInterv"
"10","2019-06-06 10:17:06","2019-06-06 10:24:11","0","4688cc5a7c092008","100","425","1","2019-06-06 10:24:12","R_2EyGO3SEwoaXdfc","","","","",33.98,-84.15,"anonymous","EN","0","0","95.13","0","5","2","4","2","5","3.634","18.482","18.96","5","2","7","2","2","1","6","3.761","19.146","20.032","7","3","5","2","2","5","7","4.387","34.228","34.879","6","1","1","1","1","7","3.719","12.464","13.266","5","1","7","7","1","7","2.842","11.849","12.573","5","7","1","1","7","4.011","12.501","13.479","4","1","6","1","7","3","2.469","10.559","11.046","5","7","1","1","7","3.273","12.657","13.269","4","3","7","3","5","4","5.036","18.656","19.247","5","1","7","4","7","1","2.087","11.646","12.454","5","1","1","1","7","7","1.726","10.221","10.932","5","7","1","7","7","1","1.616","13.913","14.387","5","5","7","7","1","1","1.947","11.104","11.536","6","5","6","6","2","4","9.164","32.758","33.281","6","No comments.","4a42ce3a4066c4bb","308Q0PEVB8DEULFZYPWX5MCDS4J9IF","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","intervention"
