"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","hb_1","hb_2","hb_3","hb_4","check_5","hb_t_First.Click","hb_t_Last.Click","hb_t_Page.Submit","hb_t_Click.Count","nat_1","nat_2r","nat_3","nat_4","nat_5","nat_6r","nat_t_First.Click","nat_t_Last.Click","nat_t_Page.Submit","nat_t_Click.Count","medSkept_1","medSkept_2r","medSkept_3","medSkept_4","medSkept_5r","medSkept_6r","medSkept_t_First.Click","medSkept_t_Last.Click","medSkept_t_Page.Submit","medSkept_t_Click.Count","diseaseRare_1","diseaseRare_2","diseaseRare_3r","diseaseRare_4","diseaseRare_5r","diseaseRare_t_First.Click","diseaseRare_t_Last.Click","diseaseRare_t_Page.Submit","diseaseRare_t_Click.Count","diseaseSevere_1r","diseaseSevere_2","diseaseSevere_3","diseaseSevere_4r","diseaseSevere_5","diseaseSevere_t_First.Click","diseaseSevere_t_Last.Click","diseaseSevere_t_Page.Submit","diseaseSevere_t_Click.Count","vaccEff_1","vaccEff_2r","vaccEff_3r","vaccEff_4","vaccEff_t_First.Click","vaccEff_t_Last.Click","vaccEff_t_Page.Submit","vaccEff_t_Click.Count","vaccDanger_1","vaccDanger_2r","vaccDanger_3","vaccDanger_4r","check_3","vaccDanger_t_First.Click","vaccDanger_t_Last.Click","vaccDanger_t_Page.Submit","vaccDanger_t_Click.Count","vaccTox_1r","vaccTox_2","vaccTox_3","vaccTox_4r","vaccTox_t_First.Click","vaccTox_t_Last.Click","vaccTox_t_Page.Submit","vaccTox_t_Click.Count","vaccStrain_1","vaccStrain_2r","vaccStrain_3","vaccStrain_4r","vaccStrain_5","vaccStrain_t_First.Click","vaccStrain_t_Last.Click","vaccStrain_t_Page.Submit","vaccStrain_t_Click.Count","vaccIntent_1r","vaccIntent_2","vaccIntent_3r","vaccIntent_4","vaccIntent_5r","vaccIntent_t_First.Click","vaccIntent_t_Last.Click","vaccIntent_t_Page.Submit","vaccIntent_t_Click.Count","parentExpert_1","parentExpert_2","parentExpert_3","parentExpert_4r","parentExpert_5r","parentExpert_t_First.Click","parentExpert_t_Last.Click","parentExpert_t_Page.Submit","parentExpert_t_Click.Count","infantImmLimCap_1","infantImmLimCap_2r","infantImmLimCap_3","infantImmLimCap_4","infantImmLimCap_5r","infantImmLimCap_t_First.Click","infantImmLimCap_t_Last.Click","infantImmLimCap_t_Page.Submit","infantImmLimCap_t_Click.Count","infantImmWeak_1","infantImmWeak_2","infantImmWeak_3","infantImmWeak_4r","infantImmWeak_5r","infantImmWeak_t_First.Click","infantImmWeak_t_Last.Click","infantImmWeak_t_Page.Submit","infantImmWeak_t_Click.Count","overpar_1","overpar_2","overpar_3","overpar_4r","overpar_5r","overpar_t_First.Click","overpar_t_Last.Click","overpar_t_Page.Submit","overpar_t_Click.Count","sex","age","race","religion","educ","income","parent","expecting","children","youngest_child","refuse","return","comments","workerId","assignmentId","hitId","study_time","payment"
"1","Start Date","End Date","Response Type","b47f18abed823a1b","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference",NA,NA,"Distribution Channel","User Language","Please indicate how much you agree or disagree with each of the following statements. - The body is essentially self-healing and the task of a health care provider is to assist the healing process.","Please indicate how much you agree or disagree with each of the following statements. - Physical and mental health are maintained by an underlying energy or vital force.","Please indicate how much you agree or disagree with each of the following statements. - A patient’s symptoms should be regarded as a manifestation of a general imbalance or dysfunction affecting the whole body.","Please indicate how much you agree or disagree with each of the following statements. - Health and disease are a reflection of balance between positive life enhancing forces and negative destructive forces.","Please indicate how much you agree or disagree with each of the following statements. - Please select somewhat agree.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Natural things are always better than synthetic alternatives.","Please indicate how much you agree or disagree with each of the following statements. - In some cases, it’s fair to say that science has improved on nature.","Please indicate how much you agree or disagree with each of the following statements. - I’m always wary of any chemicals that were developed in a lab.","Please indicate how much you agree or disagree with each of the following statements. - Overall, advances in chemistry and the creation of synthetic chemicals have done more harm than good for human health.","Please indicate how much you agree or disagree with each of the following statements. - Childbirth should take place at home rather than in a hospital.","Please indicate how much you agree or disagree with each of the following statements. - I’m not concerned about preservatives in food.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies are more interested in making money than in helping people be healthy.","Please indicate how much you agree or disagree with each of the following statements. - FDA regulations ensure that approved pharmaceutical drugs are safe.","Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies put pressure on the FDA and CDC to suppress negative findings.","Please indicate how much you agree or disagree with each of the following statements. - Most researchers are biased against the idea that medications or vaccinations could cause health problems.","Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies don’t make huge profits from the sale of vaccines.","Please indicate how much you agree or disagree with each of the following statements. - For researchers developing vaccines, safety is a top priority.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Diseases like measles and whooping cough are so rare that there is no real need to worry about them.","Please indicate how much you agree or disagree with each of the following statements. - Nowadays parents can feel certain their children will not contract measles or mumps.","Please indicate how much you agree or disagree with each of the following statements. - It’s not  paranoid for parents to  worry about their children getting measles.","Please indicate how much you agree or disagree with each of the following statements. - It is almost impossible for a child currently living in the US to catch whooping cough.","Please indicate how much you agree or disagree with each of the following statements. - Measles and whooping cough are more common than people realize.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Measles, mumps, and whooping cough are no more severe than the flu.","Please indicate how much you agree or disagree with each of the following statements. - Childhood diseases are serious diseases.","Please indicate how much you agree or disagree with each of the following statements. - Diseases like measles, mumps, and whooping cough can cause permanent damage to a child who contracts them.","Please indicate how much you agree or disagree with each of the following statements. - Childhood diseases are not that big a deal.","Please indicate how much you agree or disagree with each of the following statements. - Diseases like measles and whooping cough are extremely dangerous for young children.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Your chances of getting a disease after being vaccinated against it are incredibly low.","Please indicate how much you agree or disagree with each of the following statements. - Improved nutrition and sanitation played a larger role than vaccines in the decline of diseases like measles.","Please indicate how much you agree or disagree with each of the following statements. - Recent outbreaks of diseases like measles and whooping cough show that vaccines don’t work very well.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are one of the most effective medical treatments.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Childhood vaccines can cause autism.","Please indicate how much you agree or disagree with each of the following statements. - It is safe for infants to receive multiple vaccines at once.","Please indicate how much you agree or disagree with each of the following statements. - Many children have severe adverse reactions to the MMR vaccine.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are a very safe medical treatment.","Please indicate how much you agree or disagree with each of the following statements. - Please select somewhat disagree.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Vaccines do not contain dangerous amounts of toxins.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are actually highly toxic to humans.","Please indicate how much you agree or disagree with each of the following statements. - Exposure to certain additives in vaccines can cause major health problems.","Please indicate how much you agree or disagree with each of the following statements. - The quantities of chemical additives in vaccines are so small that they do not pose any health risks.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Vaccines strain the immune system much like the actual disease.","Please indicate how much you agree or disagree with each of the following statements. - One great benefit of vaccines is that they provide immunity without the immune system having to work so hard.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines can use up the capacity of the immune system, leaving a baby vulnerable.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are not very taxing for an infant's immune system.","Please indicate how much you agree or disagree with each of the following statements. - Getting multiple vaccines at once can exhaust an infant’s immune system.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - The risk of side effects outweighs any protective benefits of vaccines.","Please indicate how much you agree or disagree with each of the following statements. - If I had a young baby I would have him or her vaccinated.","Please indicate how much you agree or disagree with each of the following statements. - If I had a baby, I would opt to spread out his or her vaccinations, rather than following the traditional schedule.","Please indicate how much you agree or disagree with each of the following statements. - I feel confident that vaccinating children is the right thing to do.","Please indicate how much you agree or disagree with each of the following statements. - I would never vaccinate my child.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Every individual is different and a parent knows their own child best.","Please indicate how much you agree or disagree with each of the following statements. - Parents have insights into their children’s health and well-being that no health professional can match.","Please indicate how much you agree or disagree with each of the following statements. - When a child encounters health problems, the child’s parents are often better equipped than doctors to identify the many subtle causes of those issues.","Please indicate how much you agree or disagree with each of the following statements. - Parents should trust a doctor’s advice even if it goes against their intuitions.","Please indicate how much you agree or disagree with each of the following statements. - Advice from doctors is the best resource for keeping your child healthy.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - When babies are exposed to one illness it leaves them especially vulnerable to other viruses and infections.","Please indicate how much you agree or disagree with each of the following statements. - Babies are able to fight off multiple viruses at the same time.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems can only develop a limited number of antibodies.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems are severely limited in how much they can cope with at one time.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems can deal with many threats at one time.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Babies should be sheltered from exposure to viruses and bacteria to the greatest extent possible.","Please indicate how much you agree or disagree with each of the following statements. - Babies have a very limited ability to fight off diseases.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems are weak.","Please indicate how much you agree or disagree with each of the following statements. - Babies have an innate ability to fight off diseases.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems are more robust than many people think.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate how much you agree or disagree with each of the following statements. - Parents should strive to control their baby’s environments as much as possible.","Please indicate how much you agree or disagree with each of the following statements. - Parents of babies should never leave anything to chance.","Please indicate how much you agree or disagree with each of the following statements. - There is no such thing as being overprotective of a baby.","Please indicate how much you agree or disagree with each of the following statements. - Many things that parents of babies worry about won’t actually have major consequences.","Please indicate how much you agree or disagree with each of the following statements. - Some parents go overboard trying to make everything perfect for their babies.","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate your gender","Please enter your age","What is your race or ethnicity?","Which of the following best describes your religious affiliation?","What is the highest level of education or degree that you have attained?","What is your annual household income?","Are you a parent?","Are you or your partner currently pregnant or expecting a child?","How many children do you have?","How old is your youngest child?","Have you ever refused a recommended vaccination for one of your children?","This was the first part of a two-part study. Part two will be conducted later this week. Would you be willing to return for part two of the study?","Thank you for your participation in this study. Do you have any comments about the study or about your responses?","0fda0d991e69d398","assignmentId","hitId","study_time","payment"
"2","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","03e24735412ff810","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",NA,NA,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID82_4""}","{""ImportId"":""QID82_5""}","{""ImportId"":""QID82_6""}","{""ImportId"":""QID82_7""}","{""ImportId"":""QID82_8""}","{""ImportId"":""QID110_FIRST_CLICK""}","{""ImportId"":""QID110_LAST_CLICK""}","{""ImportId"":""QID110_PAGE_SUBMIT""}","{""ImportId"":""QID110_CLICK_COUNT""}","{""ImportId"":""QID83_23""}","{""ImportId"":""QID83_24""}","{""ImportId"":""QID83_25""}","{""ImportId"":""QID83_26""}","{""ImportId"":""QID83_27""}","{""ImportId"":""QID83_28""}","{""ImportId"":""QID111_FIRST_CLICK""}","{""ImportId"":""QID111_LAST_CLICK""}","{""ImportId"":""QID111_PAGE_SUBMIT""}","{""ImportId"":""QID111_CLICK_COUNT""}","{""ImportId"":""QID84_30""}","{""ImportId"":""QID84_31""}","{""ImportId"":""QID84_32""}","{""ImportId"":""QID84_33""}","{""ImportId"":""QID84_34""}","{""ImportId"":""QID84_35""}","{""ImportId"":""QID112_FIRST_CLICK""}","{""ImportId"":""QID112_LAST_CLICK""}","{""ImportId"":""QID112_PAGE_SUBMIT""}","{""ImportId"":""QID112_CLICK_COUNT""}","{""ImportId"":""QID85_31""}","{""ImportId"":""QID85_32""}","{""ImportId"":""QID85_33""}","{""ImportId"":""QID85_34""}","{""ImportId"":""QID85_35""}","{""ImportId"":""QID113_FIRST_CLICK""}","{""ImportId"":""QID113_LAST_CLICK""}","{""ImportId"":""QID113_PAGE_SUBMIT""}","{""ImportId"":""QID113_CLICK_COUNT""}","{""ImportId"":""QID114_50""}","{""ImportId"":""QID114_51""}","{""ImportId"":""QID114_52""}","{""ImportId"":""QID114_53""}","{""ImportId"":""QID114_54""}","{""ImportId"":""QID116_FIRST_CLICK""}","{""ImportId"":""QID116_LAST_CLICK""}","{""ImportId"":""QID116_PAGE_SUBMIT""}","{""ImportId"":""QID116_CLICK_COUNT""}","{""ImportId"":""QID87_37""}","{""ImportId"":""QID87_38""}","{""ImportId"":""QID87_39""}","{""ImportId"":""QID87_40""}","{""ImportId"":""QID117_FIRST_CLICK""}","{""ImportId"":""QID117_LAST_CLICK""}","{""ImportId"":""QID117_PAGE_SUBMIT""}","{""ImportId"":""QID117_CLICK_COUNT""}","{""ImportId"":""QID88_41""}","{""ImportId"":""QID88_42""}","{""ImportId"":""QID88_43""}","{""ImportId"":""QID88_44""}","{""ImportId"":""QID88_45""}","{""ImportId"":""QID118_FIRST_CLICK""}","{""ImportId"":""QID118_LAST_CLICK""}","{""ImportId"":""QID118_PAGE_SUBMIT""}","{""ImportId"":""QID118_CLICK_COUNT""}","{""ImportId"":""QID89_45""}","{""ImportId"":""QID89_46""}","{""ImportId"":""QID89_47""}","{""ImportId"":""QID89_48""}","{""ImportId"":""QID119_FIRST_CLICK""}","{""ImportId"":""QID119_LAST_CLICK""}","{""ImportId"":""QID119_PAGE_SUBMIT""}","{""ImportId"":""QID119_CLICK_COUNT""}","{""ImportId"":""QID90_56""}","{""ImportId"":""QID90_57""}","{""ImportId"":""QID90_58""}","{""ImportId"":""QID90_59""}","{""ImportId"":""QID90_60""}","{""ImportId"":""QID120_FIRST_CLICK""}","{""ImportId"":""QID120_LAST_CLICK""}","{""ImportId"":""QID120_PAGE_SUBMIT""}","{""ImportId"":""QID120_CLICK_COUNT""}","{""ImportId"":""QID91_63""}","{""ImportId"":""QID91_64""}","{""ImportId"":""QID91_65""}","{""ImportId"":""QID91_66""}","{""ImportId"":""QID91_67""}","{""ImportId"":""QID121_FIRST_CLICK""}","{""ImportId"":""QID121_LAST_CLICK""}","{""ImportId"":""QID121_PAGE_SUBMIT""}","{""ImportId"":""QID121_CLICK_COUNT""}","{""ImportId"":""QID94_69""}","{""ImportId"":""QID94_70""}","{""ImportId"":""QID94_71""}","{""ImportId"":""QID94_72""}","{""ImportId"":""QID94_73""}","{""ImportId"":""QID122_FIRST_CLICK""}","{""ImportId"":""QID122_LAST_CLICK""}","{""ImportId"":""QID122_PAGE_SUBMIT""}","{""ImportId"":""QID122_CLICK_COUNT""}","{""ImportId"":""QID95_79""}","{""ImportId"":""QID95_80""}","{""ImportId"":""QID95_81""}","{""ImportId"":""QID95_82""}","{""ImportId"":""QID95_83""}","{""ImportId"":""QID123_FIRST_CLICK""}","{""ImportId"":""QID123_LAST_CLICK""}","{""ImportId"":""QID123_PAGE_SUBMIT""}","{""ImportId"":""QID123_CLICK_COUNT""}","{""ImportId"":""QID97_76""}","{""ImportId"":""QID97_77""}","{""ImportId"":""QID97_78""}","{""ImportId"":""QID97_79""}","{""ImportId"":""QID97_80""}","{""ImportId"":""QID124_FIRST_CLICK""}","{""ImportId"":""QID124_LAST_CLICK""}","{""ImportId"":""QID124_PAGE_SUBMIT""}","{""ImportId"":""QID124_CLICK_COUNT""}","{""ImportId"":""QID98_80""}","{""ImportId"":""QID98_81""}","{""ImportId"":""QID98_82""}","{""ImportId"":""QID98_83""}","{""ImportId"":""QID98_84""}","{""ImportId"":""QID125_FIRST_CLICK""}","{""ImportId"":""QID125_LAST_CLICK""}","{""ImportId"":""QID125_PAGE_SUBMIT""}","{""ImportId"":""QID125_CLICK_COUNT""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID106""}","{""ImportId"":""QID105""}","{""ImportId"":""QID77""}","{""ImportId"":""QID104""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID99""}","{""ImportId"":""QID101""}","{""ImportId"":""QID107""}","{""ImportId"":""QID109""}","{""ImportId"":""QID72_TEXT""}","561ad4607b71d5a1","{""ImportId"":""assignmentId""}","{""ImportId"":""hitId""}","{""ImportId"":""study_time""}","{""ImportId"":""payment""}"
"3","2019-06-05 10:56:02","2019-06-05 10:58:22","0","6483fa824cf182bd","100","140","1","2019-06-05 10:58:24","R_2DUnEq1HGzf8XS8","","","","",40.02,-83.09,"anonymous","EN","7","5","6","6","5","0.928","5.04","5.623","5","7","3","6","6","7","3","0.72","5.298","5.858","7","5","2","6","5","3","6","1.052","3.356","4.333","6","7","6","5","6","6","1.455","2.847","4.152","5","6","7","6","6","7","0.791","3.406","4.487","5","5","5","1","5","1.048","11.68","11.976","6","7","6","6","4","3","1.148","5.612","6.356","5","2","2","2","2","1.557","3.358","4.252","4","3","4","4","5","5","0.647","3.527","4.321","5","7","7","2","7","1","0.772","12.349","14.748","9","6","3","3","2","3","0.688","2.471","3.256","5","6","7","6","5","6","0.679","1.966","2.701","5","2","6","7","2","6","0.398","5.982","6.597","9","7","7","2","7","7","2.463","9.044","9.603","7","0","29","1","1","3","2","23","23","2","5","24","26","","83b5f03294d7f9ab","35BLDD71I6XYMIHC1UPFXZ40FZLVZB","3CIS7GGG65JXCO3MAFWVSJ6ACL0UER","10","1.35"
"4","2019-06-05 10:56:17","2019-06-05 10:58:33","0","5494bed743fb83ec","100","135","1","2019-06-05 10:58:33","R_21cWbA9KoiEYIMQ","","","","",-8.41,-36.76,"anonymous","EN","4","4","4","4","5","0","0","8.134","0","4","4","4","4","4","4","0","0","5.642","0","4","4","4","4","4","4","0","0","4.228","0","4","4","4","4","4","0","0","4.263","0","4","4","4","4","4","0","0","4.322","0","4","4","4","4","0","0","3.521","0","4","4","4","4","3","0","0","7.115","0","4","4","4","4","0","0","4.934","0","4","4","4","4","4","0","0","5.75","0","4","4","4","4","5","0","0","4.191","0","4","4","4","4","4","0","0","5.124","0","4","4","4","4","4","0","0","4.048","0","4","4","4","4","4","0","0","3.943","0","4","4","4","4","4","0","0","5.107","0","1","41","1","1","6","4","23","24","2","4","24","26","","a02ebc309a28d7ab","3X4JMASXCM9MBJDGSJLNQO77U0N0BJ","3CIS7GGG65JXCO3MAFWVSJ6ACL0UER","10","1.35"
"5","2019-06-05 10:56:48","2019-06-05 10:58:33","0","bb3c269a6a19b486","100","104","1","2019-06-05 10:58:33","R_22RnbVztUMej3Eu","","","","",39,-77.1,"anonymous","EN","3","3","3","3","5","2.347","3.871","4.566","5","4","5","4","5","5","5","0.56","4.432","4.682","8","4","3","4","4","4","3","0.402","2.957","4.075","6","5","4","5","5","5","1.154","3.068","3.782","5","2","3","3","1","3","1.283","3.413","4.244","5","5","3","3","4","0.454","2.111","3.006","4","4","4","4","3","3","1.38","4.295","6.314","6","3","3","3","4","0.272","3.48","4.027","5","3","4","3","3","4","0.565","3.163","4.15","5","2","3","3","3","2","0.745","2.47","3.968","5","3","3","4","3","4","0.474","2.277","2.966","5","4","4","4","5","5","1.439","3.082","3.715","6","2","3","3","3","3","1.388","2.728","3.715","5","3","4","3","2","3","0.469","2.295","3.833","7","1","29","2","3","4","2","23","24","2","12","24","26","","9937cc5332d08af6","3T111IHZ5EQRNKIIOCQ6JED4FQKR9Z","3CIS7GGG65JXCO3MAFWVSJ6ACL0UER","10","1.35"
"6","2019-06-05 10:55:42","2019-06-05 10:59:18","0","2b05972f21e95479","100","216","1","2019-06-05 10:59:19","R_1Cfqq4x1Zni1321","","","","",36.4,-97.86,"anonymous","EN","7","1","4","7","5","5.701","12.58","13.562","6","2","4","4","4","7","7","1.575","6.494","8.117","7","3","4","5","6","7","2","1.21","5.266","6.04","6","4","7","2","4","7","2.013","5.869","6.539","5","7","6","3","6","4","1.081","4.785","6.2","5","4","6","7","3","1.316","4.06","4.892","4","6","5","5","6","3","0.777","8.961","10.135","8","7","4","2","6","1.009","3.137","4.382","4","7","6","6","2","4","1.129","4.2","5.582","5","7","7","4","5","3","0.667","4.107","6.048","5","6","7","3","4","4","1.471","5.231","6.164","5","3","4","7","6","4","0.686","7.63","9.234","8","3","6","4","7","3","0.973","3.853","8.085","5","4","6","2","7","4","1.051","5.155","6.433","6","1","29","1","1","4","3","24","24","","","","26","Nothing","6574dca836a15b53","3WI0P0II61S3QAVZ0SV85AWU6BYRDF","3CIS7GGG65JXCO3MAFWVSJ6ACL0UER","10","1.35"
"7","2019-06-05 10:55:46","2019-06-05 10:59:21","0","2ceb325d6fd1eae9","100","215","1","2019-06-05 10:59:22","R_VI0KQkipqLe8Lst","","","","",40.59,-74.62,"anonymous","EN","3","3","2","3","5","3.802","8.101","8.969","5","5","5","5","2","2","5","4.841","13.196","13.983","6","5","6","5","5","3","5","3.101","16.598","17.377","7","3","2","6","2","5","2.862","9.268","10.054","5","2","6","6","1","6","2.348","7.921","8.609","5","6","4","2","6","2.575","7.817","8.572","4","1","5","2","6","3","2.041","7.856","9.807","6","6","1","2","6","2.88","5.976","6.872","4","2","6","2","2","1","2.316","10.312","11.107","5","2","7","2","6","1","2.114","8.539","9.273","6","5","5","2","4","5","3.897","9.578","10.198","5","6","1","5","6","2","2.1","6.489","7.161","5","3","6","5","3","2","3.487","8.162","8.698","5","3","5","2","6","5","3.937","11.497","12.099","5","0","34","1","1","6","4","23","24","2","7","24","26","","0e4c9d0d63652030","3W92K5RLWUH0F4XNU6IZ8VX5E0DV54","3CIS7GGG65JXCO3MAFWVSJ6ACL0UER","10","1.35"
"8","2019-06-05 10:55:32","2019-06-05 10:59:26","0","5409a3e665a24ed3","100","234","1","2019-06-05 10:59:27","R_1OiuH04DtlgguSI","","","","",42.35,-71.16,"anonymous","EN","2","2","2","2","5","3.06","12.224","13.545","6","7","7","5","4","3","1","2.402","14.216","15.034","6","7","4","7","2","6","6","4.75","17.444","18.339","8","1","1","7","1","7","4.211","13.643","14.482","5","1","7","7","1","7","2.501","8.5","9.386","5","7","1","1","7","2.289","11.715","12.543","4","1","7","1","7","3","2.051","7.112","8.351","5","7","1","1","7","3.324","7.132","8.123","4","1","7","1","7","1","2.667","10.175","11.194","5","1","7","4","7","1","2.015","11.582","12.245","5","6","4","6","7","7","2.058","24.075","24.888","5","4","3","3","6","3","2.67","11.323","12.088","5","7","7","7","7","1","1.513","8.185","9.063","5","5","2","5","5","6","2.35","13.783","14.686","5","0","28","1","6","6","4","24","24","","","","26","","f58723aa5ec5bbfd","3HYA4D452RJJKASAC8BXS2R76WZ2FN","3CIS7GGG65JXCO3MAFWVSJ6ACL0UER","10","1.35"
"9","2019-06-05 10:55:28","2019-06-05 10:59:39","0","a85fe8a183317bc8","100","251","1","2019-06-05 10:59:40","R_3I3FEoiBdgnorg7","","","","",42.24,-83.58,"anonymous","EN","4","4","2","1","5","5.219","18.84","19.618","6","4","7","3","2","1","4","2.97","18.49","19.267","6","6","6","6","1","1","6","2.745","18.906","19.587","7","5","5","4","5","2","5.658","17.833","18.414","5","1","7","7","1","7","2.659","9.155","9.921","5","7","1","1","7","3.067","11.129","11.85","4","1","7","1","7","3","2.127","9.356","10.496","5","7","1","1","7","4.005","10.605","11.2","4","1","7","1","7","1","2.708","10.93","11.947","5","1","7","1","7","1","1.333","9.424","11.822","5","1","1","1","4","4","3.077","16.488","17.226","5","3","4","1","2","4","1.979","12.551","13.622","6","1","3","3","5","6","1.984","10.544","11.097","6","2","3","1","5","7","4.995","17.224","17.956","6","1","29","1","6","4","5","24","24","","","","26","","cd5efd9728a8dc01","3KWTYT08703XJZLTG2GTLMZ3N2BL5B","3CIS7GGG65JXCO3MAFWVSJ6ACL0UER","10","1.35"
"10","2019-06-05 10:55:40","2019-06-05 10:59:47","0","1a8090e685ca356f","100","246","1","2019-06-05 10:59:47","R_2Va876u8fVN6Wz2","","","","",40.8,-72.87,"anonymous","EN","6","2","4","4","5","3.73","16.053","16.7","6","3","5","1","1","1","6","2.216","10.855","12.301","7","2","6","2","2","6","7","2.624","14.759","15.66","7","3","3","7","4","4","2.628","13.733","14.524","6","1","7","7","1","7","1.647","12.36","13.358","5","6","2","1","6","2.837","9.45","10.712","4","1","6","2","7","3","2.768","9.333","10.133","6","6","2","2","6","4.384","10.274","11.187","4","3","6","2","6","3","3.836","13.344","14.678","5","1","7","1","7","1","2.205","9.14","10.335","5","5","5","2","5","7","3.102","11.797","12.593","6","2","2","6","2","6","1.769","8.837","12.801","6","4","2","2","3","6","2.415","8.918","9.767","5","5","5","6","6","7","10.501","18.279","19.491","6","0","32","1","1","4","5","23","24","3","6","24","26","","3bd6ce1edaaa2839","3YDGXNSEOZUK89XA88OFBP7J36I848","3CIS7GGG65JXCO3MAFWVSJ6ACL0UER","10","1.35"
