StartDate,EndDate,Status,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q66_First.Click,Q66_Last.Click,Q66_Page.Submit,Q66_Click.Count,Q49,Q51,Q53,Q55,Q57,Q59,Q61,Q63_1,hb_1,hb_2,hb_3,hb_4,hb_check_5,Q38_First.Click,Q38_Last.Click,Q38_Page.Submit,Q38_Click.Count,nat_1,nat_2r,nat_3,nat_4,nat_5,nat_6r,Q39_First.Click,Q39_Last.Click,Q39_Page.Submit,Q39_Click.Count,medSkept_1,medSkept_2r,medSkept_3,medSkept_4,medSkept_5r,medSkept_6r,Q40_First.Click,Q40_Last.Click,Q40_Page.Submit,Q40_Click.Count,diseaseRare_1,diseaseRare_2,diseaseRare_3r,diseaseRare_4,diseaseRare_5r,Q41_First.Click,Q41_Last.Click,Q41_Page.Submit,Q41_Click.Count,diseaseSevere_1r,diseaseSevere_2,diseaseSevere_3,diseaseSevere_4r,diseaseSevere_5,Q44_First.Click,Q44_Last.Click,Q44_Page.Submit,Q44_Click.Count,vaccEff_1,vaccEff_2r,vaccEff_3r,vaccEff_4,vaccEff_check_1,Q45_First.Click,Q45_Last.Click,Q45_Page.Submit,Q45_Click.Count,vaccDanger_1,vaccDanger_2r,vaccDanger_3,vaccDanger_4r,vaccDanger_check_3,Q46_First.Click,Q46_Last.Click,Q46_Page.Submit,Q46_Click.Count,vaccTox_1r,vaccTox_2,vaccTox_3,vaccTox_4r,vaccTox_check_6,Q47_First.Click,Q47_Last.Click,Q47_Page.Submit,Q47_Click.Count,vaccStrain_1,vaccStrain_2r,vaccStrain_3,vaccStrain_4r,vaccStrain_5,Q48_First.Click,Q48_Last.Click,Q48_Page.Submit,Q48_Click.Count,vaccIntent_1r,vaccIntent_2,vaccIntent_3r,vaccIntent_4,vaccIntent_5r,Q49_First.Click,Q49_Last.Click,Q49_Page.Submit,Q49_Click.Count,parentExpert_1,parentExpert_2,parentExpert_3,parentExpert_4r,parentExpert_5r,Q50_First.Click,Q50_Last.Click,Q50_Page.Submit,Q50_Click.Count,infantImmLimCap_1,infantImmLimCap_2r,infantImmLimCap_3,infantImmLimCap_4,infantImmLimCap_5r,Q51_First.Click,Q51_Last.Click,Q51_Page.Submit,Q51_Click.Count,infantImmWeak_1,infantImmWeak_2,infantImmWeak_3,infantImmWeak_4r,infantImmWeak_5r,Q52_First.Click,Q52_Last.Click,Q52_Page.Submit,Q52_Click.Count,overpar_1,overpar_2,overpar_3,overpar_4r,overpar_5r,Q53_First.Click,Q53_Last.Click,Q53_Page.Submit,Q53_Click.Count,comments,workerId,assignmentId,hitId,study_time,payment,eligible
Start Date,End Date,Response Type,07ceb499159bef0b,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,NA,NA,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate your gender,Please enter your age,What is your race or ethnicity?,What is the highest level of education or degree that you have attained?,"In addition to completing HITs on Mechanical Turk, are you employed?",What is your annual household income?,Which political party do your own beliefs most closely resemble?,"How would you describe your political beliefs?    



Please use the slider below to indicate where your political beliefs fall between liberal and conservative. - Political Beliefs",Please indicate how much you agree or disagree with each of the following statements. - The body is essentially self-healing and the task of a health care provider is to assist the healing process.,Please indicate how much you agree or disagree with each of the following statements. - Physical and mental health are maintained by an underlying energy or vital force.,Please indicate how much you agree or disagree with each of the following statements. - A patient’s symptoms should be regarded as a manifestation of a general imbalance or dysfunction affecting the whole body.,Please indicate how much you agree or disagree with each of the following statements. - Health and disease are a reflection of balance between positive life enhancing forces and negative destructive forces.,Please indicate how much you agree or disagree with each of the following statements. - Please select somewhat agree.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - Natural things are always better than synthetic alternatives.,"Please indicate how much you agree or disagree with each of the following statements. - In some cases, it’s fair to say that science has improved on nature.",Please indicate how much you agree or disagree with each of the following statements. - I’m always wary of any chemicals that were developed in a lab.,"Please indicate how much you agree or disagree with each of the following statements. - Overall, advances in chemistry and the creation of synthetic chemicals have done more harm than good for human health.",Please indicate how much you agree or disagree with each of the following statements. - Childbirth should take place at home rather than in a hospital.,Please indicate how much you agree or disagree with each of the following statements. - I’m not concerned about preservatives in food.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies are more interested in making money than in helping people be healthy.,Please indicate how much you agree or disagree with each of the following statements. - FDA regulations ensure that approved pharmaceutical drugs are safe.,Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies put pressure on the FDA and CDC to suppress negative findings.,Please indicate how much you agree or disagree with each of the following statements. - Most researchers are biased against the idea that medications or vaccinations could cause health problems.,Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies don’t make huge profits from the sale of vaccines.,"Please indicate how much you agree or disagree with each of the following statements. - For researchers developing vaccines, safety is a top priority.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - Diseases like measles and whooping cough are so rare that there is no real need to worry about them.,Please indicate how much you agree or disagree with each of the following statements. - Nowadays parents can feel certain their children will not contract measles or mumps.,Please indicate how much you agree or disagree with each of the following statements. - It’s not  paranoid for parents to  worry about their children getting measles.,Please indicate how much you agree or disagree with each of the following statements. - It is almost impossible for a child currently living in the US to catch whooping cough.,Please indicate how much you agree or disagree with each of the following statements. - Measles and whooping cough are more common than people realize.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please indicate how much you agree or disagree with each of the following statements. - Measles, mumps, and whooping cough are no more severe than the flu.",Please indicate how much you agree or disagree with each of the following statements. - Childhood diseases are serious diseases.,"Please indicate how much you agree or disagree with each of the following statements. - Diseases like measles, mumps, and whooping cough can cause permanent damage to a child who contracts them.",Please indicate how much you agree or disagree with each of the following statements. - Childhood diseases are not that big a deal.,Please indicate how much you agree or disagree with each of the following statements. - Diseases like measles and whooping cough are extremely dangerous for young children.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - Your chances of getting a disease after being vaccinated against it are incredibly low.,Please indicate how much you agree or disagree with each of the following statements. - Improved nutrition and sanitation played a larger role than vaccines in the decline of diseases like measles.,Please indicate how much you agree or disagree with each of the following statements. - Recent outbreaks of diseases like measles and whooping cough show that vaccines don’t work very well.,Please indicate how much you agree or disagree with each of the following statements. - Vaccines are one of the most effective medical treatments.,Please indicate how much you agree or disagree with each of the following statements. - Please select strongly disagree.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - Childhood vaccines can cause autism.,Please indicate how much you agree or disagree with each of the following statements. - It is safe for infants to receive multiple vaccines at once.,Please indicate how much you agree or disagree with each of the following statements. - Many children have severe adverse reactions to the MMR vaccine.,Please indicate how much you agree or disagree with each of the following statements. - Vaccines are a very safe medical treatment.,Please indicate how much you agree or disagree with each of the following statements. - Please select somewhat disagree.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - Vaccines do not contain dangerous amounts of toxins.,Please indicate how much you agree or disagree with each of the following statements. - Vaccines are actually highly toxic to humans.,Please indicate how much you agree or disagree with each of the following statements. - Exposure to certain additives in vaccines can cause major health problems.,Please indicate how much you agree or disagree with each of the following statements. - The quantities of chemical additives in vaccines are so small that they do not pose any health risks.,Please indicate how much you agree or disagree with each of the following statements. - Please select agree.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - Vaccines strain the immune system much like the actual disease.,Please indicate how much you agree or disagree with each of the following statements. - One great benefit of vaccines is that they provide immunity without the immune system having to work so hard.,"Please indicate how much you agree or disagree with each of the following statements. - Vaccines can use up the capacity of the immune system, leaving a baby vulnerable.",Please indicate how much you agree or disagree with each of the following statements. - Vaccines are not very taxing for an infant's immune system.,Please indicate how much you agree or disagree with each of the following statements. - Getting multiple vaccines at once can exhaust an infant’s immune system.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - The risk of side effects outweighs any protective benefits of vaccines.,Please indicate how much you agree or disagree with each of the following statements. - If I had a young baby I would have him or her vaccinated.,"Please indicate how much you agree or disagree with each of the following statements. - If I had a baby, I would opt to spread out his or her vaccinations, rather than following the traditional schedule.",Please indicate how much you agree or disagree with each of the following statements. - I feel confident that vaccinating children is the right thing to do.,Please indicate how much you agree or disagree with each of the following statements. - I would never vaccinate my child.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - Every individual is different and a parent knows their own child best.,Please indicate how much you agree or disagree with each of the following statements. - Parents have insights into their children’s health and well-being that no health professional can match.,"Please indicate how much you agree or disagree with each of the following statements. - When a child encounters health problems, the child’s parents are often better equipped than doctors to identify the many subtle causes of those issues.",Please indicate how much you agree or disagree with each of the following statements. - Parents should trust a doctor’s advice even if it goes against their intuitions.,Please indicate how much you agree or disagree with each of the following statements. - Advice from doctors is the best resource for keeping your child healthy.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - When babies are exposed to one illness it leaves them especially vulnerable to other viruses and infections.,Please indicate how much you agree or disagree with each of the following statements. - Babies are able to fight off multiple viruses at the same time.,Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems can only develop a limited number of antibodies.,Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems are severely limited in how much they can cope with at one time.,Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems can deal with many threats at one time.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - Babies should be sheltered from exposure to viruses and bacteria to the greatest extent possible.,Please indicate how much you agree or disagree with each of the following statements. - Babies have a very limited ability to fight off diseases.,Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems are weak.,Please indicate how much you agree or disagree with each of the following statements. - Babies have an innate ability to fight off diseases.,Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems are more robust than many people think.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please indicate how much you agree or disagree with each of the following statements. - Parents should strive to control their baby’s environments as much as possible.,Please indicate how much you agree or disagree with each of the following statements. - Parents of babies should never leave anything to chance.,Please indicate how much you agree or disagree with each of the following statements. - There is no such thing as being overprotective of a baby.,Please indicate how much you agree or disagree with each of the following statements. - Many things that parents of babies worry about won’t actually have major consequences.,Please indicate how much you agree or disagree with each of the following statements. - Some parents go overboard trying to make everything perfect for their babies.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you have any comments about the study or about your responses?,b953548792ca98d5,assignmentId,hitId,study_time,payment,eligible
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}",c91890b20bf88706,"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",NA,NA,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID167_FIRST_CLICK""}","{""ImportId"":""QID167_LAST_CLICK""}","{""ImportId"":""QID167_PAGE_SUBMIT""}","{""ImportId"":""QID167_CLICK_COUNT""}","{""ImportId"":""QID181""}","{""ImportId"":""QID182_TEXT""}","{""ImportId"":""QID183""}","{""ImportId"":""QID184""}","{""ImportId"":""QID185""}","{""ImportId"":""QID186""}","{""ImportId"":""QID187""}","{""ImportId"":""QID188_1""}","{""ImportId"":""QID82_4""}","{""ImportId"":""QID82_5""}","{""ImportId"":""QID82_6""}","{""ImportId"":""QID82_7""}","{""ImportId"":""QID82_8""}","{""ImportId"":""QID110_FIRST_CLICK""}","{""ImportId"":""QID110_LAST_CLICK""}","{""ImportId"":""QID110_PAGE_SUBMIT""}","{""ImportId"":""QID110_CLICK_COUNT""}","{""ImportId"":""QID83_23""}","{""ImportId"":""QID83_24""}","{""ImportId"":""QID83_25""}","{""ImportId"":""QID83_26""}","{""ImportId"":""QID83_27""}","{""ImportId"":""QID83_28""}","{""ImportId"":""QID111_FIRST_CLICK""}","{""ImportId"":""QID111_LAST_CLICK""}","{""ImportId"":""QID111_PAGE_SUBMIT""}","{""ImportId"":""QID111_CLICK_COUNT""}","{""ImportId"":""QID84_30""}","{""ImportId"":""QID84_31""}","{""ImportId"":""QID84_32""}","{""ImportId"":""QID84_33""}","{""ImportId"":""QID84_34""}","{""ImportId"":""QID84_35""}","{""ImportId"":""QID112_FIRST_CLICK""}","{""ImportId"":""QID112_LAST_CLICK""}","{""ImportId"":""QID112_PAGE_SUBMIT""}","{""ImportId"":""QID112_CLICK_COUNT""}","{""ImportId"":""QID85_31""}","{""ImportId"":""QID85_32""}","{""ImportId"":""QID85_33""}","{""ImportId"":""QID85_34""}","{""ImportId"":""QID85_35""}","{""ImportId"":""QID113_FIRST_CLICK""}","{""ImportId"":""QID113_LAST_CLICK""}","{""ImportId"":""QID113_PAGE_SUBMIT""}","{""ImportId"":""QID113_CLICK_COUNT""}","{""ImportId"":""QID114_50""}","{""ImportId"":""QID114_51""}","{""ImportId"":""QID114_52""}","{""ImportId"":""QID114_53""}","{""ImportId"":""QID114_54""}","{""ImportId"":""QID116_FIRST_CLICK""}","{""ImportId"":""QID116_LAST_CLICK""}","{""ImportId"":""QID116_PAGE_SUBMIT""}","{""ImportId"":""QID116_CLICK_COUNT""}","{""ImportId"":""QID87_37""}","{""ImportId"":""QID87_38""}","{""ImportId"":""QID87_39""}","{""ImportId"":""QID87_40""}","{""ImportId"":""QID87_41""}","{""ImportId"":""QID117_FIRST_CLICK""}","{""ImportId"":""QID117_LAST_CLICK""}","{""ImportId"":""QID117_PAGE_SUBMIT""}","{""ImportId"":""QID117_CLICK_COUNT""}","{""ImportId"":""QID88_41""}","{""ImportId"":""QID88_42""}","{""ImportId"":""QID88_43""}","{""ImportId"":""QID88_44""}","{""ImportId"":""QID88_45""}","{""ImportId"":""QID118_FIRST_CLICK""}","{""ImportId"":""QID118_LAST_CLICK""}","{""ImportId"":""QID118_PAGE_SUBMIT""}","{""ImportId"":""QID118_CLICK_COUNT""}","{""ImportId"":""QID89_45""}","{""ImportId"":""QID89_46""}","{""ImportId"":""QID89_47""}","{""ImportId"":""QID89_48""}","{""ImportId"":""QID89_49""}","{""ImportId"":""QID119_FIRST_CLICK""}","{""ImportId"":""QID119_LAST_CLICK""}","{""ImportId"":""QID119_PAGE_SUBMIT""}","{""ImportId"":""QID119_CLICK_COUNT""}","{""ImportId"":""QID90_56""}","{""ImportId"":""QID90_57""}","{""ImportId"":""QID90_58""}","{""ImportId"":""QID90_59""}","{""ImportId"":""QID90_60""}","{""ImportId"":""QID120_FIRST_CLICK""}","{""ImportId"":""QID120_LAST_CLICK""}","{""ImportId"":""QID120_PAGE_SUBMIT""}","{""ImportId"":""QID120_CLICK_COUNT""}","{""ImportId"":""QID91_63""}","{""ImportId"":""QID91_64""}","{""ImportId"":""QID91_65""}","{""ImportId"":""QID91_66""}","{""ImportId"":""QID91_67""}","{""ImportId"":""QID121_FIRST_CLICK""}","{""ImportId"":""QID121_LAST_CLICK""}","{""ImportId"":""QID121_PAGE_SUBMIT""}","{""ImportId"":""QID121_CLICK_COUNT""}","{""ImportId"":""QID94_69""}","{""ImportId"":""QID94_70""}","{""ImportId"":""QID94_71""}","{""ImportId"":""QID94_72""}","{""ImportId"":""QID94_73""}","{""ImportId"":""QID122_FIRST_CLICK""}","{""ImportId"":""QID122_LAST_CLICK""}","{""ImportId"":""QID122_PAGE_SUBMIT""}","{""ImportId"":""QID122_CLICK_COUNT""}","{""ImportId"":""QID95_79""}","{""ImportId"":""QID95_80""}","{""ImportId"":""QID95_81""}","{""ImportId"":""QID95_82""}","{""ImportId"":""QID95_83""}","{""ImportId"":""QID123_FIRST_CLICK""}","{""ImportId"":""QID123_LAST_CLICK""}","{""ImportId"":""QID123_PAGE_SUBMIT""}","{""ImportId"":""QID123_CLICK_COUNT""}","{""ImportId"":""QID97_76""}","{""ImportId"":""QID97_77""}","{""ImportId"":""QID97_78""}","{""ImportId"":""QID97_79""}","{""ImportId"":""QID97_80""}","{""ImportId"":""QID124_FIRST_CLICK""}","{""ImportId"":""QID124_LAST_CLICK""}","{""ImportId"":""QID124_PAGE_SUBMIT""}","{""ImportId"":""QID124_CLICK_COUNT""}","{""ImportId"":""QID98_80""}","{""ImportId"":""QID98_81""}","{""ImportId"":""QID98_82""}","{""ImportId"":""QID98_83""}","{""ImportId"":""QID98_84""}","{""ImportId"":""QID125_FIRST_CLICK""}","{""ImportId"":""QID125_LAST_CLICK""}","{""ImportId"":""QID125_PAGE_SUBMIT""}","{""ImportId"":""QID125_CLICK_COUNT""}","{""ImportId"":""QID72_TEXT""}",1e4c866bda044438,"{""ImportId"":""assignmentId""}","{""ImportId"":""hitId""}","{""ImportId"":""study_time""}","{""ImportId"":""payment""}","{""ImportId"":""eligible""}"
4/13/18 19:04,4/13/18 19:07,1,650b30154cd11d1d,100,152,1,4/13/18 19:07,R_1OlhejlzRSLaKak,,,,,,,preview,EN,0,0,6.435,0,1,14,6,1,1,2,2,73,2,2,2,2,5,1.655,4.927,6.462,5,6,6,6,6,6,6,1.417,3.948,4.867,6,2,2,2,2,2,2,1.472,4.094,5.361,6,1,1,1,1,1,1.603,3.39,4.615,5,7,7,7,7,7,1.116,3.368,4.623,5,4,4,4,4,1,1.54,3.878,4.98,5,7,7,7,7,3,0.726,3.65,4.717,5,6,6,6,6,6,0.912,2.922,3.766,5,5,5,5,5,5,1.354,3.077,3.915,5,1,1,1,1,1,1.726,3.893,4.729,5,5,5,5,5,5,3.224,4.882,6.294,5,3,3,3,3,3,1.353,3.108,3.888,5,3,3,3,3,3,0.793,3.233,4.06,5,4,4,4,4,4,0.811,2.812,3.66,5,,650b30154cd11d1d,,,10,1.4,FALSE
4/16/18 14:05,4/16/18 14:09,1,650b30154cd11d1d,100,185,1,4/16/18 14:09,R_2pM10ok4GZXvSMP,,,,,,,preview,EN,0,0,11.165,0,4,99,8,3,1,5,3,68,4,3,3,1,2,2.052,6.745,7.849,5,2,4,2,3,2,5,0.968,4.75,5.867,6,3,5,1,7,1,6,1.087,4.527,5.714,6,3,7,2,3,3,1.104,3.889,4.791,5,4,1,6,5,6,0.538,2.767,4.014,5,2,7,1,1,3,0.753,3.104,4.283,6,3,1,1,3,4,24.538,28.688,30.275,7,3,1,2,7,2,0.865,3.827,4.782,5,1,1,1,1,1,1.256,3.723,5.176,5,3,5,3,2,7,1.221,5.627,7.454,8,7,2,2,2,3,0.827,4.594,5.8,6,4,4,4,5,2,1.032,5.08,5.476,6,2,1,2,3,3,3.987,7.727,11.859,7,7,1,1,4,7,1.186,5.52,7.673,5,experimenter,650b30154cd11d1d,,,10,1.4,FALSE
4/16/18 14:14,4/16/18 14:17,1,650b30154cd11d1d,100,147,1,4/16/18 14:17,R_xF2XJ7fttjiyk2B,,,,,,,preview,EN,5.425,5.425,5.995,1,,,,,,,,,2,4,4,2,5,0.613,8.067,9.211,5,2,2,2,1,2,4,1.274,6.054,7.433,6,2,3,2,4,2,3,0.812,5.637,7.861,6,4,4,5,3,6,5.416,8.525,9.695,5,2,2,4,2,3,0.863,7.041,7.778,6,3,3,2,2,1,0.857,6.067,7.179,5,2,5,4,3,3,0.627,5.56,7.034,7,2,3,4,3,6,0.881,7.438,8.897,7,3,2,3,3,3,0.998,4.134,6.946,5,3,5,2,2,2,1.453,4.431,5.634,5,2,3,2,2,3,0.626,3.395,4.541,5,3,2,2,3,2,1.169,4.059,5.222,5,1,2,1,5,4,1.563,5.334,6.349,5,2,3,3,2,3,0.566,4.345,5.471,5,experimenter,650b30154cd11d1d,,,10,1.4,TRUE
4/17/18 9:08,4/17/18 9:11,0,2727c97928f5d054,100,180,1,4/17/18 9:11,R_3Jel0eAcLtTXsJZ,,,,,,,anonymous,EN,0,0,10.965,0,1,23,1,4,1,3,2,42,5,4,5,4,5,4.426,7.371,9.145,5,4,4,3,5,5,4,1.891,3.787,4.676,6,6,4,6,5,5,5,4.059,6.251,9.084,7,3,5,3,5,4,1.784,5.144,5.608,7,4,5,5,6,6,1.819,4.387,5.725,5,4,5,4,5,1,1.765,4.061,4.701,5,4,5,5,6,3,3.595,12.154,14.603,7,5,4,6,5,6,2.346,6.466,7.107,5,5,6,6,4,5,2.162,5.05,5.667,7,4,3,4,3,3,2.707,6.011,7.082,5,4,4,5,3,4,2.544,4.055,5.809,5,4,5,4,3,2,1.787,4.492,5.445,5,5,4,5,4,5,10.654,14.669,15.248,7,6,5,5,4,4,2.26,4.197,9.503,5,,565b6ec57907da63,,3XT3KXP24ZYOQIF7AGOJXSQL8UF6I9,10,1.35,TRUE
4/17/18 9:10,4/17/18 9:12,0,b371befd4779881b,100,142,1,4/17/18 9:12,R_2uUOZ0q6LFZHDC0,,,,,,,anonymous,EN,3.018,5.687,5.977,2,1,37,1,4,1,4,3,22,5,5,4,5,6,0.724,4.176,5.314,7,4,5,4,5,5,3,0.703,5.36,6.756,12,4,3,4,6,4,5,0.713,3.512,4.629,12,3,5,3,5,4,3.138,6.202,7.163,9,4,3,4,6,4,0.69,3.927,4.72,10,6,4,5,5,1,0.731,7.779,10.523,7,4,3,4,5,2,0.614,7.209,7.681,15,4,4,7,5,6,0.789,4.75,7.158,12,4,4,5,3,5,0.654,3.297,4.586,8,5,5,3,4,5,0.828,3.375,4.254,10,5,4,5,3,5,0.999,4.823,5.145,6,3,5,5,5,4,2.073,7.242,8.844,13,6,3,5,5,5,0.776,4.378,5.13,9,4,5,4,5,5,1.88,4.754,6.964,11,none,fb7bfd5f08f84b6f,,3XT3KXP24ZYOQIF7AGOJXSQL8UF6I9,10,1.35,FALSE
4/17/18 9:08,4/17/18 9:12,0,9697cdf441420748,100,254,1,4/17/18 9:12,R_12c23PoZY3Ad2K6,,,,,,,anonymous,EN,0,0,6.305,0,1,39,1,4,1,4,9,50,5,2,2,2,5,1.882,19.061,19.765,6,3,7,2,1,1,5,2.815,15.652,16.548,6,4,6,5,2,2,6,2.642,17.84,19.015,6,3,2,4,5,3,5.029,15.817,16.702,6,3,4,5,4,5,3.234,13.585,14.224,6,7,3,2,7,1,3.019,13.684,14.671,6,1,7,3,7,3,1.899,8.042,9.051,5,7,1,1,6,6,3.327,11.079,11.838,5,1,7,1,6,1,3.888,13.317,14.369,5,1,7,1,7,1,1.671,9.626,10.229,5,4,3,3,6,6,2.305,13.858,14.624,5,2,6,2,2,6,5.067,12.12,12.735,5,3,3,3,5,6,2.887,10.39,10.735,6,4,3,3,5,5,3.307,15.693,16.331,5,no,deb98b7c4ff00518,,3XT3KXP24ZYOQIF7AGOJXSQL8UF6I9,10,1.35,TRUE
4/17/18 9:08,4/17/18 9:12,0,c6049b76adda8b5d,100,257,1,4/17/18 9:13,R_3lMMQc4s7AGpMqv,,,,,,,anonymous,EN,0,0,6.551,0,1,24,5,3,1,5,1,100,4,5,4,5,5,2.753,5.62,6.46,5,6,3,3,3,3,3,2.877,15.081,16.076,6,3,6,3,3,4,6,4.361,13.82,14.549,9,2,6,6,6,6,5.704,17.255,17.981,5,6,5,6,2,6,5.379,10.7,11.991,5,6,6,4,6,1,3.82,16.325,16.826,8,2,4,3,3,3,3.781,11.045,11.916,7,5,5,3,4,6,2.557,25.406,26.253,8,3,3,3,3,3,5.675,12.187,13.353,5,1,4,4,6,1,5.761,17.708,18.511,6,5,5,4,4,4,1.858,3.615,4.927,5,4,4,4,4,4,3.315,6.717,7.973,6,4,4,4,4,4,3.942,9.525,10.588,7,6,5,6,1,3,4.659,20.391,21.356,7,No.,a3e0b6585577b3a8,,3XT3KXP24ZYOQIF7AGOJXSQL8UF6I9,10,1.35,TRUE
4/17/18 9:09,4/17/18 9:13,0,2d235820143a72e8,100,245,1,4/17/18 9:13,R_1gpiHl0QhgXj03N,,,,,,,anonymous,EN,0,0,6.116,0,1,25,2,2,4,3,2,0,2,6,2,4,2,0,0,1.424,0,4,2,4,6,3,4,2.038,2.038,3.105,1,4,4,1,7,1,5,0,0,2.316,0,2,7,2,1,7,0,0,2.175,0,3,7,7,4,6,0,0,5.435,0,3,2,6,2,7,0,0,1.343,0,6,2,2,2,3,2.209,3.113,5.317,2,2,2,2,4,6,0,0,3.62,0,1,4,2,7,2,0,0,2.734,0,6,2,2,4,2,1.404,1.404,1.943,1,4,2,2,6,2,0,0,2.259,0,1,2,2,2,2,0,0,2.011,0,4,2,2,6,2,1.888,1.888,2.13,1,2,2,4,2,6,0,0,1.687,0,,f9392ce1d473bf60,,3XT3KXP24ZYOQIF7AGOJXSQL8UF6I9,10,1.35,FALSE
