"StartDate","EndDate","IPAddress","Duration..in.seconds.","Finished","RecordedDate","LocationLatitude","LocationLongitude","hb_hb_1","hb_hb_2","hb_hb_3","hb_hb_4","nat_nat_1","nat_nat_2r","nat_nat_3","nat_nat_4","nat_nat_5","medSkept_medSkept_1","medSkept_medSkept_2r","medSkept_medSkept_3","medSkept_medSkept_4","medSkept_medSkept_5","medSkept_medSkept_6","diseaseRare_diseaseRare_1","diseaseRare_diseaseRare_2","diseaseRare_diseaseRare_3","diseaseRare_check_5","diseaseSevere_diseaseSevere_1","diseaseSevere_diseaseSevere_2","diseaseSevere_diseaseSevere_3","diseaseSevere_diseaseSevere_4","diseaseSevere_diseaseSevere_5r","vaccEff_vaccEff_1","vaccEff_vaccEff_2r","vaccEff_vaccEff_3r","vaccEff_vaccEff_4","vaccDanger_vaccDanger_1","vaccDanger_vaccDanger_2","vaccDanger_vaccDanger_3","vaccDanger_vaccDanger_4r","vaccTox_vaccTox_1","vaccTox_vaccTox_2","vaccTox_vaccTox_3","vaccTox_vaccTox_4r","vaccStrain_vaccStrain_1","vaccStrain_vaccStrain_2r","vaccStrain_vaccStrain_3","vaccIntent_vaccIntent_1r","vaccIntent_vaccIntent_2","vaccIntent_vaccIntent_3r","vaccIntent_vaccIntent_4","vaccIntent_vaccIntent_5r","infantVuln_infantVuln_1r","infantVuln_infantVuln_2","infantVuln_infantVuln_3","parentDuty_parentDuty_1","parentDuty_parentDuty_2","parentDuty_parentDuty_3","parentDuty_parentDuty_4","parentDuty_check_3","parentExpert_parentExpert_1","parentExpert_parentExpert_2","parentExpert_parentExpert_3","parentExpert_parentExpert_4","parentExpert_parentExpert_5","infantImmLimCap_infantImmLimCap_1","infantImmLimCap_infantImmLimCap_2r","infantImmLimCap_infantImmLimCap_3","infantImmLimCap_infantImmLimCap_4","immSympt_immSympt_1","immSympt_immSympt_2r","immSympt_immSympt_3r","infantImmWeak_infantImmWeak_1","infantImmWeak_infantImmWeak_2","infantImmWeak_infantImmWeak_3","infantImmWeak_infantImmWeak_4r","sex","age","educ","comments","workerId","assignmentId","hitId"
"6/21/17 8:05","6/21/17 8:07","01c0720ac34dd752",134,1,"6/21/17 8:07",40.26,-76.86,7,4,5,5,5,5,6,5,5,7,4,5,5,6,6,5,5,4,5,5,5,4,6,5,6,4,5,4,1,3,5,7,7,5,4,5,2,7,5,4,5,5,5,1,7,7,7,7,5,4,4,3,6,5,5,5,5,5,4,4,6,5,6,6,7,5,6,4,1,20,3,"","35c088fe18a5abb7","3PM8NZGV8YGHCFLGED7KURPDK2EQXX","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:05","6/21/17 8:09","33c41b394b39fc96",258,1,"6/21/17 8:09",30.44,-97.6,4,5,4,4,5,5,4,5,4,6,4,4,3,4,6,5,4,4,5,4,4,3,4,4,6,4,4,4,4,3,4,6,4,4,4,5,3,4,4,4,6,3,5,3,4,4,5,6,6,4,5,3,6,4,4,5,4,4,5,6,4,4,4,6,6,6,6,4,0,42,6,"","37f3bbe5693dd320","3LRLIPTPEQ9J5ZFSQYV9EX26KBEAKM","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:04","6/21/17 8:10","8ea6d8436023a35c",314,1,"6/21/17 8:10",33.98,-81.26,3,6,5,6,7,2,7,7,1,7,3,3,7,6,7,1,1,1,5,6,7,2,6,1,3,5,6,5,7,7,7,1,5,5,6,1,6,2,6,6,5,7,6,2,6,7,7,7,7,7,7,3,7,7,7,6,5,7,1,7,7,6,3,5,7,7,7,7,0,38,2,"","702d85620af26437","3A0EX8ZRN8OJ8E910RWWIG1N087YBZ","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:05","6/21/17 8:10","397283724103e452",286,1,"6/21/17 8:10",39.26,-84.49,6,3,3,3,5,5,5,3,3,5,6,1,2,2,6,1,2,1,5,2,4,7,5,2,5,3,3,5,2,5,4,5,3,3,3,5,5,5,3,2,7,6,7,1,5,7,7,6,6,6,6,3,5,5,5,3,3,5,6,2,3,2,6,7,4,3,3,5,0,24,2,"","7c24c4bbfae19ee5","3EQHHY4HQSSHX77S5BJD8UURLGW5G8","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:05","6/21/17 8:10","860595676a742a2d",324,1,"6/21/17 8:10",34.94,-85.31,5,2,5,2,2,5,2,4,5,5,5,3,3,3,5,3,3,2,5,6,4,6,6,2,6,2,2,6,2,2,2,6,2,2,3,6,5,6,2,2,6,2,6,2,6,5,3,6,6,6,6,3,5,5,6,3,5,3,5,2,3,2,6,6,3,3,5,6,0,33,4,"no","06caaefb0a705e04","37ZHEEHM6WMVQZ9NYPRQNKJE8HM37D","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:07","6/21/17 8:10","22adf7764259d4ae",185,1,"6/21/17 8:10",40.71,-73.68,6,6,5,6,3,4,4,4,2,5,4,5,6,4,5,3,4,4,5,4,5,4,5,5,4,5,5,5,6,5,5,5,4,3,4,4,5,5,5,5,5,4,5,3,4,5,5,6,4,4,4,3,5,5,4,5,5,6,5,5,5,4,6,6,4,4,3,3,1,26,4,"","88d6a96e11aa24f5","338JKRMM26ZS39EKKDSC15MESUAAHI","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:04","6/21/17 8:11","87b53bd1a3a0a629",384,1,"6/21/17 8:11",45.54,-122.6,5,2,4,2,2,5,1,1,4,5,5,1,1,2,4,1,1,1,5,5,6,7,4,1,6,1,1,7,1,3,2,6,2,1,5,3,3,5,3,1,7,2,7,1,6,5,5,6,5,6,5,3,5,5,5,5,5,3,4,4,4,2,6,6,3,3,3,5,1,35,3,"nope","7882ccd5d6f2140b","3WYP994K17RD22S640FO70FVM7WY6E","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:04","6/21/17 8:11","6aee920bd26fb0c2",382,1,"6/21/17 8:11",29.65,-82.32,2,2,2,2,4,6,4,1,4,2,5,2,2,2,5,2,2,2,5,6,4,6,6,1,5,2,2,6,1,3,4,6,2,2,2,6,4,6,2,1,1,2,7,1,3,6,6,5,4,6,2,3,3,4,5,2,2,6,3,5,5,2,6,5,6,6,6,2,0,41,3,"Thanks and have a nice day.","40d68a2e8e9e401d","3PPTZCWALQK6HALVFVV5RC5OS2CQZU","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:04","6/21/17 8:11","daf4d53c0b58b035",395,1,"6/21/17 8:11",39.21,-76.83,4,2,6,2,2,7,3,1,1,4,6,1,1,1,6,1,1,1,5,7,7,7,7,1,7,1,1,7,1,1,1,7,1,1,1,7,2,6,2,1,7,1,7,1,5,7,7,6,5,6,3,3,5,3,6,4,1,6,5,3,4,2,6,6,6,5,6,3,0,37,4,"","3249e7e3b17e803a","3NVC2EB65QZE5J5OLYHQ0X3BCGUY38","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
"6/21/17 8:04","6/21/17 8:11","55c53230f1a97bd2",376,1,"6/21/17 8:11",30.87,-83.33,4,5,5,4,2,4,4,3,2,2,6,2,3,4,4,4,4,3,5,4,5,4,4,3,6,4,3,5,3,3,4,5,2,2,2,6,3,4,3,1,7,1,7,1,4,6,6,7,7,7,7,3,3,2,6,4,1,4,5,4,4,3,4,6,6,4,5,3,0,27,2,"n/a","f51ceab956006131","336YQZE83VEHPH3EGEH8LZEOH285MG","31KSVEGZ34SZDWXWRLVW9EQP01MWRY"
