"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","hb_hb_1","hb_hb_2","hb_hb_3","hb_hb_4","nat_nat_1","nat_nat_2r","nat_nat_3","nat_nat_4","nat_nat_5","medSkept_medSkept_1","medSkept_medSkept_2r","medSkept_medSkept_3","medSkept_medSkept_4","medSkept_medSkept_5","medSkept_medSkept_6","diseaseRare_diseaseRare_1","diseaseRare_diseaseRare_2","diseaseRare_diseaseRare_3","diseaseRare_check_5","diseaseRare_diseaseRare_4","diseaseSevere_diseaseSevere_1","diseaseSevere_diseaseSevere_2","diseaseSevere_diseaseSevere_3","diseaseSevere_diseaseSevere_4r","diseaseSevere_diseaseSevere_5","diseaseSevere_diseaseSevere_6","vaccEff_vaccEff_1","vaccEff_vaccEff_2r","vaccEff_vaccEff_3r","vaccEff_vaccEff_4","vaccDanger_vaccDanger_1","vaccDanger_vaccDanger_2","vaccDanger_vaccDanger_3","vaccDanger_vaccDanger_4r","vaccTox_vaccTox_1","vaccTox_vaccTox_2","vaccTox_vaccTox_3","vaccTox_vaccTox_4r","vaccStrain_vaccStrain_1","vaccStrain_vaccStrain_2r","vaccStrain_vaccStrain_3","vaccStrain_vaccStrain_4","vaccStrain_vaccStrain_5","vaccIntent_vaccIntent_1r","vaccIntent_vaccIntent_2","vaccIntent_vaccIntent_3r","vaccIntent_vaccIntent_4","vaccIntent_vaccIntent_5r","parentExpert_parentExpert_1","parentExpert_parentExpert_2","parentExpert_parentExpert_3","parentExpert_parentExpert_4r","infantImmLimCap_infantImmLimCap_1","infantImmLimCap_infantImmLimCap_2r","infantImmLimCap_infantImmLimCap_3","infantImmLimCap_infantImmLimCap_4","infantImmLimCap_infantImmLimCap_5","immSympt_immSympt_1","immSympt_immSympt_2r","immSympt_immSympt_3r","immSympt_immSympt_4","immSympt_immSympt_5r","immSympt_immSympt_6","immSympt_immSympt_7r","infantImmWeak_infantImmWeak_1","infantImmWeak_infantImmWeak_2","infantImmWeak_infantImmWeak_3","infantImmWeak_infantImmWeak_4r","overpar_overpar_1r","overpar_overpar_2r","overpar_overpar_3","overpar_overpar_4","overpar_overpar_5","sex","age","educ","comments","workerId","assignmentId","hitId","study_time","payment"
"Start Date","End Date","Response Type","07ceb499159bef0b","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference",NA,NA,"Distribution Channel","User Language","Please indicate how much you agree or disagree with each of the following statements. - The body is essentially self-healing and the task of a health care provider is to assist the healing process.","Please indicate how much you agree or disagree with each of the following statements. - Physical and mental health are maintained by an underlying energy or vital force.","Please indicate how much you agree or disagree with each of the following statements. - A patient‰Ûªs symptoms should be regarded as a manifestation of a general imbalance or dysfunction affecting the whole body.","Please indicate how much you agree or disagree with each of the following statements. - Health and disease are a reflection of balance between positive life enhancing forces and negative destructive forces.","Please indicate how much you agree or disagree with each of the following statements. - Natural things are always better than synthetic alternatives.","Please indicate how much you agree or disagree with each of the following statements. - In some cases, it‰Ûªs fair to say that science has improved on nature.","Please indicate how much you agree or disagree with each of the following statements. - I‰Ûªm always wary of any chemicals that were developed in a lab.","Please indicate how much you agree or disagree with each of the following statements. - Overall, advances in chemistry and the creation of synthetic chemicals have done more harm than good for human health.","Please indicate how much you agree or disagree with each of the following statements. - Childbirth should take place at home rather than in a hospital.","Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies are more interested in making money than in helping people be healthy.","Please indicate how much you agree or disagree with each of the following statements. - FDA regulations ensure that approved pharmaceutical drugs are safe.","Please indicate how much you agree or disagree with each of the following statements. - When it comes to health-related matters, I would be just as likely to trust the advice of a good friend as the advice of my doctor.","Please indicate how much you agree or disagree with each of the following statements. - The FDA and CDC are likely to suppress negative findings from their research if pharmaceutical companies put pressure on them.","Please indicate how much you agree or disagree with each of the following statements. - When trying to determine the causes of mysterious health conditions, most researchers are biased against considering whether medications or vaccinations could be the culprits.","Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies make huge profits from the sale of vaccines.","Please indicate how much you agree or disagree with each of the following statements. - Diseases like measles and whooping cough are so rare that there is no real need to worry about them.","Please indicate how much you agree or disagree with each of the following statements. - Nowadays parents can feel certain their children will not contract measles or mumps.","Please indicate how much you agree or disagree with each of the following statements. - Only someone who was paranoid would ever worry about their child contracting measles.","Please indicate how much you agree or disagree with each of the following statements. - For this item please choose somewhat agree.","Please indicate how much you agree or disagree with each of the following statements. - It is almost impossible for a child currently living in the US to contrast whooping cough.","Please indicate how much you agree or disagree with each of the following statements. - Measles can be life-threatening.","Please indicate how much you agree or disagree with each of the following statements. - It‰Ûªs common for children who get measles to be hospitalized.","Please indicate how much you agree or disagree with each of the following statements. - Whooping cough often makes you sick for months.","Please indicate how much you agree or disagree with each of the following statements. - Measles, mumps, and whooping cough are no more severe than the flu.","Please indicate how much you agree or disagree with each of the following statements. - Childhood diseases are serious diseases.","Please indicate how much you agree or disagree with each of the following statements. - Childhood diseases can cause permanent damage.","Please indicate how much you agree or disagree with each of the following statements. - Your chances of getting a disease after being vaccinated against it are incredibly low.","Please indicate how much you agree or disagree with each of the following statements. - Improved nutrition and sanitation played a larger role than vaccines in the decline of diseases like measles.","Please indicate how much you agree or disagree with each of the following statements. - Recent outbreaks of diseases like measles and whooping cough show that vaccines don‰Ûªt work very well.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are one of the most effective medical treatments.","Please indicate how much you agree or disagree with each of the following statements. - Childhood vaccines can cause autism.","Please indicate how much you agree or disagree with each of the following statements. - It can be dangerous for infants to receive multiple vaccines at once.","Please indicate how much you agree or disagree with each of the following statements. - Many children have severe adverse reactions to the MMR vaccine.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are a very safe medical treatment.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines contain dangerous amounts of toxins.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are actually highly toxic to humans.","Please indicate how much you agree or disagree with each of the following statements. - Exposure to certain additives in vaccines can cause major health problems.","Please indicate how much you agree or disagree with each of the following statements. - The quantities of chemical additives in vaccines are so small that they do not pose any health risks.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines strain the immune system much like the actual disease.","Please indicate how much you agree or disagree with each of the following statements. - One great benefit of vaccines is that they provide immunity without the immune system having to work so hard.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines can use up the capacity of the immune system, leaving a baby vulnerable.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are very taxing for an infant's immune system.","Please indicate how much you agree or disagree with each of the following statements. - Getting multiple vaccines at once can exhaust an infant‰Ûªs immune system.","Please indicate how much you agree or disagree with each of the following statements. - The risk of side effects outweighs any protective benefits of vaccines.","Please indicate how much you agree or disagree with each of the following statements. - If I had a young baby I would have him or her vaccinated.","Please indicate how much you agree or disagree with each of the following statements. - If I had a baby, I would opt to spread out his or her vaccinations, rather than following the traditional schedule.","Please indicate how much you agree or disagree with each of the following statements. - I feel confident that vaccinating children is the right thing to do.","Please indicate how much you agree or disagree with each of the following statements. - I would never vaccinate my child.","Please indicate how much you agree or disagree with each of the following statements. - Every individual is different and a parent knows their own child best.","Please indicate how much you agree or disagree with each of the following statements. - Parents have insights into their children‰Ûªs health and well-being that no health professional can match.","Please indicate how much you agree or disagree with each of the following statements. - When a child encounters health problems, the child‰Ûªs parents are often better equipped than doctors to identify the many subtle causes of those issues.","Please indicate how much you agree or disagree with each of the following statements. - Parents should trust a doctor‰Ûªs advice even if it goes against their intuitions.","Please indicate how much you agree or disagree with each of the following statements. - When babies are exposed to one illness it leaves them especially vulnerable to other viruses and infections.","Please indicate how much you agree or disagree with each of the following statements. - Babies‰Ûª can fight off multiple viruses at the same time.","Please indicate how much you agree or disagree with each of the following statements. - Babies‰Ûª immune systems can only develop a limited number of antibodies.","Please indicate how much you agree or disagree with each of the following statements. - Babies‰Ûª immune systems are severely limited in how many diseases they can fight off at one time.","Please indicate how much you agree or disagree with each of the following statements. - Babies can only develop immunity to one thing at a time.","Please indicate how much you agree or disagree with each of the following statements. - A fever when you're sick means your immune system is not working.","Please indicate how much you agree or disagree with each of the following statements. - Inflammation is a  natural part of the body's healing process.","Please indicate how much you agree or disagree with each of the following statements. - Fevers aren't actually caused by the disease itself, but by the body's immune response.","Please indicate how much you agree or disagree with each of the following statements. - Redness and swelling at the site of a cut are signs that the wound isn‰Ûªt healing.","Please indicate how much you agree or disagree with each of the following statements. - Some symptoms of the cold or flu help your body fight off illnesses.","Please indicate how much you agree or disagree with each of the following statements. - Swelling and inflammation are always bad for your health.","Please indicate how much you agree or disagree with each of the following statements. - It can sometimes be best for your recovery to let a fever run its course.","Please indicate how much you agree or disagree with each of the following statements. - Babies should be sheltered from exposure to viruses and bacteria to the greatest extent possible.","Please indicate how much you agree or disagree with each of the following statements. - Babies have a very limited ability to fight off diseases.","Please indicate how much you agree or disagree with each of the following statements. - Babies‰Ûª immune systems are weak.","Please indicate how much you agree or disagree with each of the following statements. - Babies have an innate ability to fight off diseases.","Please indicate how much you agree or disagree with each of the following statements. - Parents shouldn‰Ûªt obsess about the minutiae of parenting.","Please indicate how much you agree or disagree with each of the following statements. - Babies benefit from having parents who are relaxed about parenting.","Please indicate how much you agree or disagree with each of the following statements. - Parents should strive to control their baby‰Ûªs environments as much as possible.","Please indicate how much you agree or disagree with each of the following statements. - Parents of babies should never leave anything to chance.","Please indicate how much you agree or disagree with each of the following statements. - There is no such thing as being overprotective of a baby.","Please indicate your gender","Please enter your age","What is the highest level of education or degree that you have attained?","Thank you for your participation in this study. Do you have any comments about the study or about your responses?","b953548792ca98d5","assignmentId","hitId","study_time","payment"
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","c91890b20bf88706","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",NA,NA,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID82_4""}","{""ImportId"":""QID82_5""}","{""ImportId"":""QID82_6""}","{""ImportId"":""QID82_7""}","{""ImportId"":""QID83_8""}","{""ImportId"":""QID83_9""}","{""ImportId"":""QID83_10""}","{""ImportId"":""QID83_11""}","{""ImportId"":""QID83_12""}","{""ImportId"":""QID84_19""}","{""ImportId"":""QID84_20""}","{""ImportId"":""QID84_21""}","{""ImportId"":""QID84_22""}","{""ImportId"":""QID84_23""}","{""ImportId"":""QID84_24""}","{""ImportId"":""QID85_25""}","{""ImportId"":""QID85_26""}","{""ImportId"":""QID85_27""}","{""ImportId"":""QID85_28""}","{""ImportId"":""QID85_30""}","{""ImportId"":""QID86_33""}","{""ImportId"":""QID86_34""}","{""ImportId"":""QID86_35""}","{""ImportId"":""QID86_36""}","{""ImportId"":""QID86_37""}","{""ImportId"":""QID86_38""}","{""ImportId"":""QID87_33""}","{""ImportId"":""QID87_34""}","{""ImportId"":""QID87_35""}","{""ImportId"":""QID87_36""}","{""ImportId"":""QID88_37""}","{""ImportId"":""QID88_38""}","{""ImportId"":""QID88_39""}","{""ImportId"":""QID88_40""}","{""ImportId"":""QID89_41""}","{""ImportId"":""QID89_42""}","{""ImportId"":""QID89_43""}","{""ImportId"":""QID89_44""}","{""ImportId"":""QID90_45""}","{""ImportId"":""QID90_46""}","{""ImportId"":""QID90_47""}","{""ImportId"":""QID90_48""}","{""ImportId"":""QID90_50""}","{""ImportId"":""QID91_48""}","{""ImportId"":""QID91_49""}","{""ImportId"":""QID91_50""}","{""ImportId"":""QID91_51""}","{""ImportId"":""QID91_52""}","{""ImportId"":""QID94_65""}","{""ImportId"":""QID94_66""}","{""ImportId"":""QID94_67""}","{""ImportId"":""QID94_68""}","{""ImportId"":""QID95_74""}","{""ImportId"":""QID95_75""}","{""ImportId"":""QID95_76""}","{""ImportId"":""QID95_77""}","{""ImportId"":""QID95_78""}","{""ImportId"":""QID96_72""}","{""ImportId"":""QID96_73""}","{""ImportId"":""QID96_74""}","{""ImportId"":""QID96_75""}","{""ImportId"":""QID96_76""}","{""ImportId"":""QID96_77""}","{""ImportId"":""QID96_78""}","{""ImportId"":""QID97_72""}","{""ImportId"":""QID97_73""}","{""ImportId"":""QID97_74""}","{""ImportId"":""QID97_75""}","{""ImportId"":""QID98_69""}","{""ImportId"":""QID98_70""}","{""ImportId"":""QID98_71""}","{""ImportId"":""QID98_72""}","{""ImportId"":""QID98_73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID77""}","{""ImportId"":""QID72_TEXT""}","1e4c866bda044438","{""ImportId"":""assignmentId""}","{""ImportId"":""hitId""}","{""ImportId"":""study_time""}","{""ImportId"":""payment""}"
"6/26/17 10:59","6/26/17 11:02","0","5eedfe13476935e4","100","183","1","6/26/17 11:02","R_1LLRkcAhjiEZI4b","","","","",35.29,-89.71,"anonymous","EN","6","5","5","4","3","2","6","4","5","6","6","5","4","3","3","4","5","2","5","6","6","2","5","4","4","6","6","5","4","3","2","5","4","6","6","5","3","5","5","6","4","2","4","3","7","6","4","5","4","6","2","5","5","4","6","2","3","2","6","5","3","4","4","5","6","7","6","2","3","2","5","7","6","1","30","2","","8a20cd6f0120219a","3R0T90IZ1SC2WSG7KL6LM001DCVCGU","3YLPJ8OXX8D71Q0OQEV534TMHTRX40","12","1.6"
"6/26/17 10:59","6/26/17 11:03","0","9e8ebcfc521b2067","100","225","1","6/26/17 11:03","R_2VqGRCR1erK5a31","","","","",8,-66,"anonymous","EN","4","4","5","5","5","4","4","4","5","5","5","4","4","5","4","5","4","5","5","5","4","5","5","4","5","5","5","4","4","4","4","5","5","4","5","4","5","4","5","5","4","4","4","5","4","5","4","5","4","4","5","4","4","5","5","4","5","5","4","4","4","5","4","5","4","5","4","4","4","4","5","4","5","0","30","6","good","0ed4f47ab76aaef1","3QAPZX2QN4DSN6DK9QSCPV4ZU4T026","3YLPJ8OXX8D71Q0OQEV534TMHTRX40","12","1.6"
"6/26/17 10:59","6/26/17 11:04","0","f75166f3a7478ecc","100","285","1","6/26/17 11:04","R_1pzo949Zl8SxUeV","","","","",36.11,-115.21,"anonymous","EN","4","4","5","4","5","5","3","1","1","2","7","1","2","2","6","1","7","1","5","1","7","7","4","1","7","7","7","1","1","7","1","5","3","7","1","1","2","7","7","5","7","7","7","1","7","3","6","1","1","3","4","6","6","4","7","5","1","1","7","7","5","3","2","4","7","7","7","1","5","1","7","7","7","1","26","6","Thanks!","58e5ea651282a86b","3VD82FOHKQOQO5X584JTR9934YMCOH","3YLPJ8OXX8D71Q0OQEV534TMHTRX40","12","1.6"
"6/26/17 10:59","6/26/17 11:04","0","39ceb2308b4349e4","100","301","1","6/26/17 11:04","R_3JKorqVuxekdTXU","","","","",26.17,-80.11,"anonymous","EN","5","2","5","3","5","5","6","5","4","7","3","2","7","4","7","6","5","3","5","2","6","4","5","3","6","6","4","2","3","1","5","6","6","4","5","5","5","2","5","5","4","6","6","5","4","7","4","2","5","6","4","2","4","4","5","4","2","2","5","5","5","5","2","6","5","5","2","5","6","3","4","4","3","0","38","4","","496b7415605ae969","39ASUFLU6X7SFCVB5MCK0A0Z1E3XEZ","3YLPJ8OXX8D71Q0OQEV534TMHTRX40","12","1.6"
"6/26/17 10:59","6/26/17 11:05","0","5c5702f02af2d180","100","347","1","6/26/17 11:05","R_24Cq0ZkCu0HONhZ","","","","",36.61,-82.17,"anonymous","EN","3","2","5","3","5","5","5","3","1","3","5","2","2","3","3","2","3","2","5","2","6","6","6","2","5","5","6","2","2","6","4","5","5","6","3","3","3","5","5","6","2","5","5","2","6","7","6","1","5","5","2","3","3","5","3","5","2","2","6","6","2","6","2","5","5","5","5","5","6","5","2","2","3","0","40","4","no comments","cf7942852a90b5ae","3OSWBBLG1EXNN6HB9R10USIE122XD6","3YLPJ8OXX8D71Q0OQEV534TMHTRX40","12","1.6"
"6/26/17 10:59","6/26/17 11:05","0","87f71e46adea7821","100","352","1","6/26/17 11:05","R_3EJXdVtUvcrSRSH","","","","",42.25,-84.29,"anonymous","EN","6","2","2","2","3","6","2","2","2","2","6","2","2","2","2","6","6","6","5","3","6","5","6","2","7","6","6","2","2","6","2","2","2","6","2","2","2","7","2","6","2","2","2","6","6","2","6","2","5","3","1","6","2","6","2","2","2","2","6","6","6","2","6","2","1","3","3","6","3","5","5","6","2","0","26","4","","757fd6f04abfa2a6","3SB4CE2TJVVPPZEZPHAY4RA8GZ5XA4","3YLPJ8OXX8D71Q0OQEV534TMHTRX40","12","1.6"
"6/26/17 10:59","6/26/17 11:05","0","9c7b31d8dc2f2310","100","360","1","6/26/17 11:05","R_vPn7BvP8jP7U3C1","","","","",42.49,-83.14,"anonymous","EN","2","5","5","3","5","6","5","4","2","5","5","2","5","4","6","2","2","2","5","2","6","6","5","2","6","6","6","4","2","6","2","2","2","6","4","2","4","5","4","5","2","3","3","2","6","3","6","2","5","4","3","6","5","6","2","3","2","4","5","3","4","3","4","5","5","3","5","5","5","5","4","5","4","1","23","5","","7e604590f0c0b71b","3E47SOBEYQWGSJM2A96O7CDHSPNCIM","3YLPJ8OXX8D71Q0OQEV534TMHTRX40","12","1.6"
"6/26/17 10:59","6/26/17 11:05","0","d00ecaa060e70e1e","100","368","1","6/26/17 11:05","R_1NsuA3T2Rh9fPFv","","","","",47.72,-122.3,"anonymous","EN","2","1","1","1","2","5","1","1","1","5","7","1","2","1","2","1","2","1","5","1","7","6","6","1","7","7","7","1","1","7","1","3","3","7","1","1","2","7","2","7","1","1","1","1","7","2","7","1","1","2","2","5","5","5","6","7","4","1","7","7","3","5","4","6","4","5","5","4","7","3","3","4","4","0","23","4","","92018cb6f34834c0","3VNXK88KKCIJGRZZXWVGKB23U6FV9K","3YLPJ8OXX8D71Q0OQEV534TMHTRX40","12","1.6"
