"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","hb_1","hb_2","hb_3","hb_4","hb_check_5","nat_1","nat_2r","nat_3","nat_4","nat_5r","medSkept_1","medSkept_2r","medSkept_3","medSkept_4","medSkept_5r","diseaseRare_1","diseaseRare_2","diseaseRare_3r","diseaseRare_4","diseaseRare_5r","diseaseSevere_1","diseaseSevere_2","diseaseSevere_3r","diseaseSevere_4","diseaseSevere_5r","vaccEff_1","vaccEff_2r","vaccEff_3r","vaccEff_4","vaccDanger_1","vaccDanger_2r","vaccDanger_3","vaccDanger_4r","vaccDanger_check_3","vaccTox_1r","vaccTox_2","vaccTox_3","vaccTox_4r","vaccStrain_1","vaccStrain_2r","vaccStrain_3","vaccStrain_4r","vaccStrain_5","vaccIntent_1r","vaccIntent_2","vaccIntent_3r","vaccIntent_4","vaccIntent_5r","parentExpert_1","parentExpert_2","parentExpert_3","parentExpert_4r","parentExpert_5r","infantImmLimCap_1","infantImmLimCap_2r","infantImmLimCap_3","infantImmLimCap_4","infantImmLimCap_5r","infantImmWeak_1","infantImmWeak_2","infantImmWeak_3","infantImmWeak_4r","infantImmWeak_5r","overpar_1r","overpar_2","overpar_3","overpar_4","overpar_5r","overpar_6r","sex","age","educ","comments","workerId","assignmentId","hitId","study_time","payment"
"Start Date","End Date","Response Type","07ceb499159bef0b","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference",NA,NA,"Distribution Channel","User Language","Please indicate how much you agree or disagree with each of the following statements. - The body is essentially self-healing and the task of a health care provider is to assist the healing process.","Please indicate how much you agree or disagree with each of the following statements. - Physical and mental health are maintained by an underlying energy or vital force.","Please indicate how much you agree or disagree with each of the following statements. - A patient‰Ûªs symptoms should be regarded as a manifestation of a general imbalance or dysfunction affecting the whole body.","Please indicate how much you agree or disagree with each of the following statements. - Health and disease are a reflection of balance between positive life enhancing forces and negative destructive forces.","Please indicate how much you agree or disagree with each of the following statements. - Please select somewhat agree.","Please indicate how much you agree or disagree with each of the following statements. - Natural things are always better than synthetic alternatives.","Please indicate how much you agree or disagree with each of the following statements. - In some cases, it‰Ûªs fair to say that science has improved on nature.","Please indicate how much you agree or disagree with each of the following statements. - I‰Ûªm always wary of any chemicals that were developed in a lab.","Please indicate how much you agree or disagree with each of the following statements. - Overall, advances in chemistry and the creation of synthetic chemicals have done more harm than good for human health.","Please indicate how much you agree or disagree with each of the following statements. - Childbirth should take place in a hospital rather than at home.","Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies are more interested in making money than in helping people be healthy.","Please indicate how much you agree or disagree with each of the following statements. - FDA regulations ensure that approved pharmaceutical drugs are safe.","Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies put pressure on the FDA and CDC to suppress negative findings.","Please indicate how much you agree or disagree with each of the following statements. - Most researchers are biased against the idea that medications or vaccinations could cause health problems.","Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies don‰Ûªt make huge profits from the sale of vaccines.","Please indicate how much you agree or disagree with each of the following statements. - Diseases like measles and whooping cough are so rare that there is no real need to worry about them.","Please indicate how much you agree or disagree with each of the following statements. - Nowadays parents can feel certain their children will not contract measles or mumps.","Please indicate how much you agree or disagree with each of the following statements. - It‰Ûªs not  paranoid for parents to  worry about their children getting measles.","Please indicate how much you agree or disagree with each of the following statements. - It is almost impossible for a child currently living in the US to catch whooping cough.","Please indicate how much you agree or disagree with each of the following statements. - Measles and whooping cough are more common than people realize.","Please indicate how much you agree or disagree with each of the following statements. - Measles can be life-threatening.","Please indicate how much you agree or disagree with each of the following statements. - Whooping cough often makes you sick for months.","Please indicate how much you agree or disagree with each of the following statements. - Measles, mumps, and whooping cough are no more severe than the flu.","Please indicate how much you agree or disagree with each of the following statements. - Childhood diseases are serious diseases.","Please indicate how much you agree or disagree with each of the following statements. - Childhood diseases do not cause permanent damage.","Please indicate how much you agree or disagree with each of the following statements. - Your chances of getting a disease after being vaccinated against it are incredibly low.","Please indicate how much you agree or disagree with each of the following statements. - Improved nutrition and sanitation played a larger role than vaccines in the decline of diseases like measles.","Please indicate how much you agree or disagree with each of the following statements. - Recent outbreaks of diseases like measles and whooping cough show that vaccines don‰Ûªt work very well.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are one of the most effective medical treatments.","Please indicate how much you agree or disagree with each of the following statements. - Childhood vaccines can cause autism.","Please indicate how much you agree or disagree with each of the following statements. - It is safe for infants to receive multiple vaccines at once.","Please indicate how much you agree or disagree with each of the following statements. - Many children have severe adverse reactions to the MMR vaccine.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are a very safe medical treatment.","Please indicate how much you agree or disagree with each of the following statements. - Please select somewhat disagree.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines do not contain dangerous amounts of toxins.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are actually highly toxic to humans.","Please indicate how much you agree or disagree with each of the following statements. - Exposure to certain additives in vaccines can cause major health problems.","Please indicate how much you agree or disagree with each of the following statements. - The quantities of chemical additives in vaccines are so small that they do not pose any health risks.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines strain the immune system much like the actual disease.","Please indicate how much you agree or disagree with each of the following statements. - One great benefit of vaccines is that they provide immunity without the immune system having to work so hard.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines can use up the capacity of the immune system, leaving a baby vulnerable.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are not very taxing for an infant's immune system.","Please indicate how much you agree or disagree with each of the following statements. - Getting multiple vaccines at once can exhaust an infant‰Ûªs immune system.","Please indicate how much you agree or disagree with each of the following statements. - The risk of side effects outweighs any protective benefits of vaccines.","Please indicate how much you agree or disagree with each of the following statements. - If I had a young baby I would have him or her vaccinated.","Please indicate how much you agree or disagree with each of the following statements. - If I had a baby, I would opt to spread out his or her vaccinations, rather than following the traditional schedule.","Please indicate how much you agree or disagree with each of the following statements. - I feel confident that vaccinating children is the right thing to do.","Please indicate how much you agree or disagree with each of the following statements. - I would never vaccinate my child.","Please indicate how much you agree or disagree with each of the following statements. - Every individual is different and a parent knows their own child best.","Please indicate how much you agree or disagree with each of the following statements. - Parents have insights into their children‰Ûªs health and well-being that no health professional can match.","Please indicate how much you agree or disagree with each of the following statements. - When a child encounters health problems, the child‰Ûªs parents are often better equipped than doctors to identify the many subtle causes of those issues.","Please indicate how much you agree or disagree with each of the following statements. - Parents should trust a doctor‰Ûªs advice even if it goes against their intuitions.","Please indicate how much you agree or disagree with each of the following statements. - Advice from doctors is the best resource for keeping your child healthy.","Please indicate how much you agree or disagree with each of the following statements. - When babies are exposed to one illness it leaves them especially vulnerable to other viruses and infections.","Please indicate how much you agree or disagree with each of the following statements. - Babies are able to fight off multiple viruses at the same time.","Please indicate how much you agree or disagree with each of the following statements. - Babies‰Ûª immune systems can only develop a limited number of antibodies.","Please indicate how much you agree or disagree with each of the following statements. - Babies‰Ûª immune systems are severely limited in how much they can cope with at one time.","Please indicate how much you agree or disagree with each of the following statements. - Babies‰Ûª immune systems can deal with many threats at one time.","Please indicate how much you agree or disagree with each of the following statements. - Babies should be sheltered from exposure to viruses and bacteria to the greatest extent possible.","Please indicate how much you agree or disagree with each of the following statements. - Babies have a very limited ability to fight off diseases.","Please indicate how much you agree or disagree with each of the following statements. - Babies‰Ûª immune systems are weak.","Please indicate how much you agree or disagree with each of the following statements. - Babies have an innate ability to fight off diseases.*","Please indicate how much you agree or disagree with each of the following statements. - Babies‰Ûª immune systems are more robust than many people think.*","Please indicate how much you agree or disagree with each of the following statements. - Parents shouldn‰Ûªt obsess about every tiny detail of parenting.*","Please indicate how much you agree or disagree with each of the following statements. - Parents should strive to control their baby‰Ûªs environments as much as possible.","Please indicate how much you agree or disagree with each of the following statements. - Parents of babies should never leave anything to chance.","Please indicate how much you agree or disagree with each of the following statements. - There is no such thing as being overprotective of a baby.","Please indicate how much you agree or disagree with each of the following statements. - Many things that parents of babies worry about won‰Ûªt actually have major consequences for their children.*","Please indicate how much you agree or disagree with each of the following statements. - A parent‰Ûªs perfectionism can get in the way of raising a baby.*","Please indicate your gender","Please enter your age","What is the highest level of education or degree that you have attained?","Thank you for your participation in this study. Do you have any comments about the study or about your responses?","b953548792ca98d5","assignmentId","hitId","study_time","payment"
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","c91890b20bf88706","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",NA,NA,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID82_4""}","{""ImportId"":""QID82_5""}","{""ImportId"":""QID82_6""}","{""ImportId"":""QID82_7""}","{""ImportId"":""QID82_8""}","{""ImportId"":""QID83_18""}","{""ImportId"":""QID83_19""}","{""ImportId"":""QID83_20""}","{""ImportId"":""QID83_21""}","{""ImportId"":""QID83_22""}","{""ImportId"":""QID84_25""}","{""ImportId"":""QID84_26""}","{""ImportId"":""QID84_27""}","{""ImportId"":""QID84_28""}","{""ImportId"":""QID84_29""}","{""ImportId"":""QID85_31""}","{""ImportId"":""QID85_32""}","{""ImportId"":""QID85_33""}","{""ImportId"":""QID85_34""}","{""ImportId"":""QID85_35""}","{""ImportId"":""QID86_39""}","{""ImportId"":""QID86_40""}","{""ImportId"":""QID86_41""}","{""ImportId"":""QID86_42""}","{""ImportId"":""QID86_43""}","{""ImportId"":""QID87_37""}","{""ImportId"":""QID87_38""}","{""ImportId"":""QID87_39""}","{""ImportId"":""QID87_40""}","{""ImportId"":""QID88_41""}","{""ImportId"":""QID88_42""}","{""ImportId"":""QID88_43""}","{""ImportId"":""QID88_44""}","{""ImportId"":""QID88_45""}","{""ImportId"":""QID89_45""}","{""ImportId"":""QID89_46""}","{""ImportId"":""QID89_47""}","{""ImportId"":""QID89_48""}","{""ImportId"":""QID90_56""}","{""ImportId"":""QID90_57""}","{""ImportId"":""QID90_58""}","{""ImportId"":""QID90_59""}","{""ImportId"":""QID90_60""}","{""ImportId"":""QID91_63""}","{""ImportId"":""QID91_64""}","{""ImportId"":""QID91_65""}","{""ImportId"":""QID91_66""}","{""ImportId"":""QID91_67""}","{""ImportId"":""QID94_69""}","{""ImportId"":""QID94_70""}","{""ImportId"":""QID94_71""}","{""ImportId"":""QID94_72""}","{""ImportId"":""QID94_73""}","{""ImportId"":""QID95_79""}","{""ImportId"":""QID95_80""}","{""ImportId"":""QID95_81""}","{""ImportId"":""QID95_82""}","{""ImportId"":""QID95_83""}","{""ImportId"":""QID97_76""}","{""ImportId"":""QID97_77""}","{""ImportId"":""QID97_78""}","{""ImportId"":""QID97_79""}","{""ImportId"":""QID97_80""}","{""ImportId"":""QID98_74""}","{""ImportId"":""QID98_75""}","{""ImportId"":""QID98_76""}","{""ImportId"":""QID98_77""}","{""ImportId"":""QID98_78""}","{""ImportId"":""QID98_79""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID77""}","{""ImportId"":""QID72_TEXT""}","1e4c866bda044438","{""ImportId"":""assignmentId""}","{""ImportId"":""hitId""}","{""ImportId"":""study_time""}","{""ImportId"":""payment""}"
"6/30/17 8:03","6/30/17 8:05","0","ac5d5bdbd6ab73d4","100","103","1","6/30/17 8:05","R_3qImaUs0qn56SRM","","","","",41.24,-81.83,"anonymous","EN","3","4","6","5","5","3","6","4","4","5","5","3","4","6","4","4","3","4","2","5","3","6","1","3","5","3","5","4","6","6","2","3","5","4","5","6","3","4","5","5","3","4","4","4","4","5","7","4","3","6","3","5","4","4","4","5","2","3","6","2","3","4","5","3","4","2","4","6","1","1","21","5","very well done!","2cff11946bd5caea","3IRIK4HM3AK0ZZR188XZA9NCJ8KC64","382GHPVPHSRVLSTA6POHWO4IA2I346","12","1.6"
"6/30/17 8:02","6/30/17 8:06","0","00122b209fe2be39","100","230","1","6/30/17 8:06","R_3n0CklDIWCaN1G9","","","","",40.07,-74.6,"anonymous","EN","5","4","4","3","5","2","6","1","1","6","2","6","2","2","3","3","4","7","3","5","6","4","2","6","1","5","2","2","7","1","7","2","7","3","7","1","1","7","1","7","1","7","1","1","7","1","7","1","4","4","2","6","6","4","5","4","4","4","4","6","6","2","4","5","4","4","3","4","5","1","32","3","","e020855beb2bfcd4","3X1FV8S5JXRYV1M7B21QCSOQYT3GV9","382GHPVPHSRVLSTA6POHWO4IA2I346","12","1.6"
"6/30/17 8:02","6/30/17 8:06","0","4fbd9b954702a3d4","100","254","1","6/30/17 8:06","R_28BUVErEraCb09G","","","","",36.67,-93.26,"anonymous","EN","5","5","4","4","5","5","6","7","2","1","7","1","7","7","1","1","1","5","1","6","5","5","4","6","4","3","6","5","4","7","1","7","1","3","1","7","7","1","7","1","7","1","7","5","1","4","1","7","6","5","6","2","4","5","3","2","5","4","3","4","4","5","5","3","4","6","6","2","5","1","29","3","","bb28213cbfe321a0","3AAJC4I4FGSPVNHIK5BWUBT2EWPZJV","382GHPVPHSRVLSTA6POHWO4IA2I346","12","1.6"
"6/30/17 8:02","6/30/17 8:07","0","e1681adaf38b3e32","100","291","1","6/30/17 8:07","R_Xu1m7J3O0Zq0Nax","","","","",40.79,-73.81,"anonymous","EN","4","5","5","4","5","4","3","5","3","6","7","5","5","2","4","3","3","6","4","5","5","4","3","7","2","6","2","2","7","1","5","4","6","3","6","2","3","5","2","6","5","3","4","1","7","1","7","1","2","1","1","7","7","5","5","4","4","4","3","4","3","4","5","5","5","5","3","5","5","1","25","4","None, very interesting though. Thank you. ","d6b7ad314aa5d8fa","39N5ACM9HEN6B723BKMHEJDL8S79PQ","382GHPVPHSRVLSTA6POHWO4IA2I346","12","1.6"
"6/30/17 8:02","6/30/17 8:07","0","3a35bd3a2db2161e","100","295","1","6/30/17 8:07","R_OeEqBsw2F6TE1Yl","","","","",42.08,-71.04,"anonymous","EN","3","1","4","5","5","2","4","5","2","5","6","6","4","2","3","2","5","6","5","4","4","2","6","7","4","5","3","2","7","1","6","2","6","3","7","1","4","5","1","2","1","4","4","1","6","2","6","1","5","6","5","4","4","6","6","3","2","5","4","3","3","5","5","3","3","4","7","5","6","0","24","5","","17b738c4ff5cad55","3DY46V3X3PIJHAI8OF0M4X32VWN559","382GHPVPHSRVLSTA6POHWO4IA2I346","12","1.6"
"6/30/17 8:04","6/30/17 8:07","0","062b87d07b5ed3f0","100","178","1","6/30/17 8:07","R_2VL6xxwaGYCeEf0","","","","",40.91,-73.04,"anonymous","EN","3","3","4","5","5","6","5","4","4","5","4","4","4","4","3","3","4","3","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","3","4","5","3","4","4","6","4","4","5","3","3","3","5","5","1","24","4","","3e0acc8b5764682c","3TUI152ZZBN9ME0N7KMDZILCFC51Q0","382GHPVPHSRVLSTA6POHWO4IA2I346","12","1.6"
"6/30/17 8:02","6/30/17 8:07","0","fa995c36293b4fb4","100","315","1","6/30/17 8:07","R_2EoQBUG95pWkGsy","","","","",40.07,-75.13,"anonymous","EN","4","2","4","4","5","2","6","1","1","4","5","2","6","4","1","1","1","7","2","6","7","7","1","7","1","7","2","1","7","1","7","1","7","3","7","1","1","7","3","7","2","7","2","1","7","1","7","1","2","3","2","4","5","7","5","4","4","5","2","5","6","3","3","7","3","5","1","4","7","0","21","4","","01e9763560586080","3Q8GYXHFEP24GVRN3PNUI39CND9C5O","382GHPVPHSRVLSTA6POHWO4IA2I346","12","1.6"
"6/30/17 8:02","6/30/17 8:07","0","40cbff4619e1b30d","100","295","1","6/30/17 8:07","R_2AHf8YptMtMcN8U","","","","",17.3,-62.72,"anonymous","EN","1","1","1","1","5","1","7","1","1","7","1","7","1","1","7","2","2","6","2","6","7","7","1","7","1","7","1","1","7","1","7","1","7","3","7","1","1","7","1","7","1","7","1","1","7","1","7","1","4","6","2","6","6","3","5","2","3","5","2","3","3","5","5","7","1","1","1","7","7","1","24","4","","a741f8fb458b72a7","3K3R2QNK8B3J3CAZS6LBOP0KG9Z9UM","382GHPVPHSRVLSTA6POHWO4IA2I346","12","1.6"
