"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","hb_1","hb_2","hb_3","hb_4","hb_check_5","nat_1","nat_2r","nat_3","nat_4","nat_5","nat_6r","medSkept_1","medSkept_2r","medSkept_3","medSkept_4","medSkept_5r","medSkept_6r","diseaseRare_1","diseaseRare_2","diseaseRare_3r","diseaseRare_4","diseaseRare_5r","diseaseSevere_1","diseaseSevere_2","diseaseSevere_3r","diseaseSevere_4","diseaseSevere_5r","diseaseSevere_6","vaccEff_1","vaccEff_2r","vaccEff_3r","vaccEff_4","vaccDanger_1","vaccDanger_2r","vaccDanger_3","vaccDanger_4r","vaccDanger_check_3","vaccTox_1r","vaccTox_2","vaccTox_3","vaccTox_4r","vaccStrain_1","vaccStrain_2r","vaccStrain_3","vaccStrain_4r","vaccStrain_5","vaccIntent_1r","vaccIntent_2","vaccIntent_3r","vaccIntent_4","vaccIntent_5r","parentExpert_1","parentExpert_2","parentExpert_3","parentExpert_4r","parentExpert_5r","infantImmLimCap_1","infantImmLimCap_2r","infantImmLimCap_3","infantImmLimCap_4","infantImmLimCap_5r","infantImmWeak_1","infantImmWeak_2","infantImmWeak_3","infantImmWeak_4r","infantImmWeak_5r","overpar_1","overpar_2","overpar_3","overpar_4r","overpar_5r","sex","age","educ","comments","workerId","assignmentId","hitId","study_time","payment"
"1","Start Date","End Date","Response Type","07ceb499159bef0b","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference",NA,NA,"Distribution Channel","User Language","Please indicate how much you agree or disagree with each of the following statements. - The body is essentially self-healing and the task of a health care provider is to assist the healing process.","Please indicate how much you agree or disagree with each of the following statements. - Physical and mental health are maintained by an underlying energy or vital force.","Please indicate how much you agree or disagree with each of the following statements. - A patient’s symptoms should be regarded as a manifestation of a general imbalance or dysfunction affecting the whole body.","Please indicate how much you agree or disagree with each of the following statements. - Health and disease are a reflection of balance between positive life enhancing forces and negative destructive forces.","Please indicate how much you agree or disagree with each of the following statements. - Please select somewhat agree.","Please indicate how much you agree or disagree with each of the following statements. - Natural things are always better than synthetic alternatives.","Please indicate how much you agree or disagree with each of the following statements. - In some cases, it’s fair to say that science has improved on nature.","Please indicate how much you agree or disagree with each of the following statements. - I’m always wary of any chemicals that were developed in a lab.","Please indicate how much you agree or disagree with each of the following statements. - Overall, advances in chemistry and the creation of synthetic chemicals have done more harm than good for human health.","Please indicate how much you agree or disagree with each of the following statements. - Childbirth should take place at home rather than in a hospital.","Please indicate how much you agree or disagree with each of the following statements. - I’m not concerned about preservatives in food.","Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies are more interested in making money than in helping people be healthy.","Please indicate how much you agree or disagree with each of the following statements. - FDA regulations ensure that approved pharmaceutical drugs are safe.","Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies put pressure on the FDA and CDC to suppress negative findings.","Please indicate how much you agree or disagree with each of the following statements. - Most researchers are biased against the idea that medications or vaccinations could cause health problems.","Please indicate how much you agree or disagree with each of the following statements. - Pharmaceutical companies don’t make huge profits from the sale of vaccines.","Please indicate how much you agree or disagree with each of the following statements. - For researchers developing vaccines, safety is a top priority.","Please indicate how much you agree or disagree with each of the following statements. - Diseases like measles and whooping cough are so rare that there is no real need to worry about them.","Please indicate how much you agree or disagree with each of the following statements. - Nowadays parents can feel certain their children will not contract measles or mumps.","Please indicate how much you agree or disagree with each of the following statements. - It’s not  paranoid for parents to  worry about their children getting measles.","Please indicate how much you agree or disagree with each of the following statements. - It is almost impossible for a child currently living in the US to catch whooping cough.","Please indicate how much you agree or disagree with each of the following statements. - Measles and whooping cough are more common than people realize.","Please indicate how much you agree or disagree with each of the following statements. - Measles can be life-threatening.","Please indicate how much you agree or disagree with each of the following statements. - Whooping cough often makes you sick for months.","Please indicate how much you agree or disagree with each of the following statements. - Measles, mumps, and whooping cough are no more severe than the flu.","Please indicate how much you agree or disagree with each of the following statements. - Childhood diseases are serious diseases.","Please indicate how much you agree or disagree with each of the following statements. - Childhood diseases cannot cause permanent damage.","Please indicate how much you agree or disagree with each of the following statements. - It’s common for children who get measles to be hospitalized.","Please indicate how much you agree or disagree with each of the following statements. - Your chances of getting a disease after being vaccinated against it are incredibly low.","Please indicate how much you agree or disagree with each of the following statements. - Improved nutrition and sanitation played a larger role than vaccines in the decline of diseases like measles.","Please indicate how much you agree or disagree with each of the following statements. - Recent outbreaks of diseases like measles and whooping cough show that vaccines don’t work very well.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are one of the most effective medical treatments.","Please indicate how much you agree or disagree with each of the following statements. - Childhood vaccines can cause autism.","Please indicate how much you agree or disagree with each of the following statements. - It is safe for infants to receive multiple vaccines at once.","Please indicate how much you agree or disagree with each of the following statements. - Many children have severe adverse reactions to the MMR vaccine.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are a very safe medical treatment.","Please indicate how much you agree or disagree with each of the following statements. - Please select somewhat disagree.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines do not contain dangerous amounts of toxins.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are actually highly toxic to humans.","Please indicate how much you agree or disagree with each of the following statements. - Exposure to certain additives in vaccines can cause major health problems.","Please indicate how much you agree or disagree with each of the following statements. - The quantities of chemical additives in vaccines are so small that they do not pose any health risks.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines strain the immune system much like the actual disease.","Please indicate how much you agree or disagree with each of the following statements. - One great benefit of vaccines is that they provide immunity without the immune system having to work so hard.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines can use up the capacity of the immune system, leaving a baby vulnerable.","Please indicate how much you agree or disagree with each of the following statements. - Vaccines are not very taxing for an infant's immune system.","Please indicate how much you agree or disagree with each of the following statements. - Getting multiple vaccines at once can exhaust an infant’s immune system.","Please indicate how much you agree or disagree with each of the following statements. - The risk of side effects outweighs any protective benefits of vaccines.","Please indicate how much you agree or disagree with each of the following statements. - If I had a young baby I would have him or her vaccinated.","Please indicate how much you agree or disagree with each of the following statements. - If I had a baby, I would opt to spread out his or her vaccinations, rather than following the traditional schedule.","Please indicate how much you agree or disagree with each of the following statements. - I feel confident that vaccinating children is the right thing to do.","Please indicate how much you agree or disagree with each of the following statements. - I would never vaccinate my child.","Please indicate how much you agree or disagree with each of the following statements. - Every individual is different and a parent knows their own child best.","Please indicate how much you agree or disagree with each of the following statements. - Parents have insights into their children’s health and well-being that no health professional can match.","Please indicate how much you agree or disagree with each of the following statements. - When a child encounters health problems, the child’s parents are often better equipped than doctors to identify the many subtle causes of those issues.","Please indicate how much you agree or disagree with each of the following statements. - Parents should trust a doctor’s advice even if it goes against their intuitions.","Please indicate how much you agree or disagree with each of the following statements. - Advice from doctors is the best resource for keeping your child healthy.","Please indicate how much you agree or disagree with each of the following statements. - When babies are exposed to one illness it leaves them especially vulnerable to other viruses and infections.","Please indicate how much you agree or disagree with each of the following statements. - Babies are able to fight off multiple viruses at the same time.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems can only develop a limited number of antibodies.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems are severely limited in how much they can cope with at one time.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems can deal with many threats at one time.","Please indicate how much you agree or disagree with each of the following statements. - Babies should be sheltered from exposure to viruses and bacteria to the greatest extent possible.","Please indicate how much you agree or disagree with each of the following statements. - Babies have a very limited ability to fight off diseases.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems are weak.","Please indicate how much you agree or disagree with each of the following statements. - Babies have an innate ability to fight off diseases.","Please indicate how much you agree or disagree with each of the following statements. - Babies’ immune systems are more robust than many people think.","Please indicate how much you agree or disagree with each of the following statements. - Parents should strive to control their baby’s environments as much as possible.","Please indicate how much you agree or disagree with each of the following statements. - Parents of babies should never leave anything to chance.","Please indicate how much you agree or disagree with each of the following statements. - There is no such thing as being overprotective of a baby.","Please indicate how much you agree or disagree with each of the following statements. - Many things that parents of babies worry about won’t actually have major consequences.","Please indicate how much you agree or disagree with each of the following statements. - Some parents go overboard trying to make everything perfect for their babies.","Please indicate your gender","Please enter your age","What is the highest level of education or degree that you have attained?","Thank you for your participation in this study. Do you have any comments about the study or about your responses?","b953548792ca98d5","assignmentId","hitId","study_time","payment"
"2","{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","c91890b20bf88706","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",NA,NA,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID82_4""}","{""ImportId"":""QID82_5""}","{""ImportId"":""QID82_6""}","{""ImportId"":""QID82_7""}","{""ImportId"":""QID82_8""}","{""ImportId"":""QID83_23""}","{""ImportId"":""QID83_24""}","{""ImportId"":""QID83_25""}","{""ImportId"":""QID83_26""}","{""ImportId"":""QID83_27""}","{""ImportId"":""QID83_28""}","{""ImportId"":""QID84_30""}","{""ImportId"":""QID84_31""}","{""ImportId"":""QID84_32""}","{""ImportId"":""QID84_33""}","{""ImportId"":""QID84_34""}","{""ImportId"":""QID84_35""}","{""ImportId"":""QID85_31""}","{""ImportId"":""QID85_32""}","{""ImportId"":""QID85_33""}","{""ImportId"":""QID85_34""}","{""ImportId"":""QID85_35""}","{""ImportId"":""QID86_44""}","{""ImportId"":""QID86_45""}","{""ImportId"":""QID86_46""}","{""ImportId"":""QID86_47""}","{""ImportId"":""QID86_48""}","{""ImportId"":""QID86_49""}","{""ImportId"":""QID87_37""}","{""ImportId"":""QID87_38""}","{""ImportId"":""QID87_39""}","{""ImportId"":""QID87_40""}","{""ImportId"":""QID88_41""}","{""ImportId"":""QID88_42""}","{""ImportId"":""QID88_43""}","{""ImportId"":""QID88_44""}","{""ImportId"":""QID88_45""}","{""ImportId"":""QID89_45""}","{""ImportId"":""QID89_46""}","{""ImportId"":""QID89_47""}","{""ImportId"":""QID89_48""}","{""ImportId"":""QID90_56""}","{""ImportId"":""QID90_57""}","{""ImportId"":""QID90_58""}","{""ImportId"":""QID90_59""}","{""ImportId"":""QID90_60""}","{""ImportId"":""QID91_63""}","{""ImportId"":""QID91_64""}","{""ImportId"":""QID91_65""}","{""ImportId"":""QID91_66""}","{""ImportId"":""QID91_67""}","{""ImportId"":""QID94_69""}","{""ImportId"":""QID94_70""}","{""ImportId"":""QID94_71""}","{""ImportId"":""QID94_72""}","{""ImportId"":""QID94_73""}","{""ImportId"":""QID95_79""}","{""ImportId"":""QID95_80""}","{""ImportId"":""QID95_81""}","{""ImportId"":""QID95_82""}","{""ImportId"":""QID95_83""}","{""ImportId"":""QID97_76""}","{""ImportId"":""QID97_77""}","{""ImportId"":""QID97_78""}","{""ImportId"":""QID97_79""}","{""ImportId"":""QID97_80""}","{""ImportId"":""QID98_80""}","{""ImportId"":""QID98_81""}","{""ImportId"":""QID98_82""}","{""ImportId"":""QID98_83""}","{""ImportId"":""QID98_84""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID77""}","{""ImportId"":""QID72_TEXT""}","1e4c866bda044438","{""ImportId"":""assignmentId""}","{""ImportId"":""hitId""}","{""ImportId"":""study_time""}","{""ImportId"":""payment""}"
"3","2017-07-14 10:55:19","2017-07-14 10:57:13","0","91ea0bc0095dbb95","100","113","1","2017-07-14 10:57:13","R_ukxGinFRGyRpeZb","","","","",39.06,-76.98,"anonymous","EN","4","4","7","2","5","6","4","5","4","5","5","6","4","3","5","4","4","6","7","5","6","5","7","7","5","6","3","4","6","6","2","5","2","6","2","7","3","5","5","5","4","1","2","5","2","2","5","6","5","5","7","5","3","3","6","5","6","5","6","6","6","6","3","5","6","5","7","4","6","4","5","1","19","3","","964c9ae68d47edb7","3W8CV64QJ2ZEYQ4FS7EC5ABUN6P9HO","337F8MIIMZDZ40UDN26YUQ6B81J04G","12","1.60"
"4","2017-07-14 10:54:38","2017-07-14 10:57:18","0","a4f8f47fc69afdc5","100","159","1","2017-07-14 10:57:18","R_1cTiv6FcFw7LZju","","","","",39.69,-75,"anonymous","EN","2","4","3","1","5","4","2","4","6","5","2","7","3","2","3","5","7","5","2","4","6","3","3","1","2","3","5","7","2","6","5","7","3","2","4","7","5","2","6","7","5","6","7","2","1","3","2","4","6","7","5","3","2","7","4","5","1","5","6","3","4","2","5","1","3","7","1","2","4","5","7","1","24","3","","37a4215d991f720a","34YB12FSQYOF5ESYXA0ZPW5D85JMG1","337F8MIIMZDZ40UDN26YUQ6B81J04G","12","1.60"
"5","2017-07-14 10:54:46","2017-07-14 10:58:11","0","53bee3eeec3854f3","100","204","1","2017-07-14 10:58:11","R_3mn01Fm2Jo9tn2Q","","","","",36.67,-93.26,"anonymous","EN","4","4","4","4","5","6","6","4","6","2","6","6","6","6","6","6","6","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","3","5","3","6","3","5","2","3","4","4","4","4","4","4","1","7","4","6","1","4","3","3","4","5","4","4","3","4","4","6","6","6","6","6","5","4","3","4","3","1","24","4","","ce9bdb3d14e4d15a","3R2UR8A0IAGER380Z0FG5MUD6VUOXA","337F8MIIMZDZ40UDN26YUQ6B81J04G","12","1.60"
"6","2017-07-14 10:54:49","2017-07-14 10:58:28","0","dedc1bde6b6e914b","100","219","1","2017-07-14 10:58:29","R_2SvpOD33koMVEjY","","","","",35.12,-84.82,"anonymous","EN","3","4","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","3","4","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","0","43","3","","b9d4a49bb26bc75e","352YTHGROVDD1KY3BCILO20E1EBH40","337F8MIIMZDZ40UDN26YUQ6B81J04G","12","1.60"
"7","2017-07-14 10:54:39","2017-07-14 10:58:41","0","43e2c94f3c8122ee","100","241","1","2017-07-14 10:58:41","R_RUFg9GhjWdZN5PX","","","","",39.27,-84.26,"anonymous","EN","1","1","1","1","5","1","7","1","1","1","6","1","7","1","1","7","7","1","1","7","1","7","7","7","1","7","1","7","6","1","1","7","1","7","1","7","3","7","1","1","7","1","7","1","7","1","1","7","1","7","1","1","1","1","6","7","7","1","2","7","1","7","7","7","1","1","4","5","2","3","5","0","25","4","","de2023c7f2d0aae6","3TR2532VIPUN7DX7I0ELXD07AXL6JF","337F8MIIMZDZ40UDN26YUQ6B81J04G","12","1.60"
"8","2017-07-14 10:54:35","2017-07-14 10:59:13","0","2a9032a7fe267281","100","277","1","2017-07-14 10:59:14","R_1gN059IicPH6I5M","","","","",43.6,-116.2,"anonymous","EN","1","1","4","4","5","1","7","1","1","1","7","5","7","2","1","2","7","1","4","7","1","5","6","5","3","7","1","4","7","1","1","7","1","6","1","7","3","7","1","1","7","3","6","1","3","5","1","7","1","7","1","2","1","1","7","6","4","4","7","5","3","4","5","6","2","3","6","7","4","6","4","0","23","3","","3b4c79d2b1f56cd9","33F859I566DXMJJCQRS8WG6KB6SBH0","337F8MIIMZDZ40UDN26YUQ6B81J04G","12","1.60"
"9","2017-07-14 10:55:32","2017-07-14 10:59:40","0","65b655b6691226d8","100","248","1","2017-07-14 10:59:41","R_1OJ2t5S2Od9kXqu","","","","",42.77,-73.89,"anonymous","EN","6","1","1","1","5","1","7","1","1","1","6","2","7","4","2","7","7","1","3","5","4","5","5","5","1","7","1","5","7","3","1","7","1","7","3","7","3","7","1","3","7","1","5","1","5","1","1","7","1","7","1","5","4","3","7","7","4","5","4","4","5","5","4","4","5","4","3","5","4","5","6","0","24","3","","976ea7b381c99209","3K772S5NP8BVTMVW0IUYXOC5E35EH3","337F8MIIMZDZ40UDN26YUQ6B81J04G","12","1.60"
"10","2017-07-14 10:54:51","2017-07-14 10:59:50","0","c772d3831a321c83","100","298","1","2017-07-14 10:59:51","R_3JK4jBsjNoJlvlE","","","","",40.91,-74.17,"anonymous","EN","5","3","5","3","5","5","5","5","4","2","3","6","5","5","6","3","4","3","5","3","3","5","5","5","5","5","5","5","5","5","5","5","4","5","5","3","3","2","5","5","3","6","3","6","3","6","3","5","3","5","3","5","5","3","4","5","3","3","5","3","5","3","5","5","3","3","5","5","6","5","5","0","50","4","","ceac60a1354d0bc1","3IJXV6UZ1XJKYLBLS6WJW7C3T5ARIM","337F8MIIMZDZ40UDN26YUQ6B81J04G","12","1.60"
